atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
19.05	K	VI	256.83	3.0	0.3	NIST	L3496
19.05	K	VI	257.66	2.0	0.2	NIST	L3496
19.05	K	VI	258.02	4.0	0.4	NIST	L3496
19.05	K	VI	258.41	1.0	0.1	NIST	L3496
19.05	K	VI	258.87	3.0	0.3	NIST	L3496
19.05	K	VI	259.61	2.0	0.2	NIST	L3496
19.05	K	VI	266.34	4.0	0.4	NIST	L3496
19.05	K	VI	374.94	5.0	0.5	NIST	L1111
19.05	K	VI	384.51	2.0	0.2	NIST	L1111
19.05	K	VI	385.55	4.0	0.4	NIST	L1111
19.05	K	VI	387.81	6.0	0.6	NIST	L1111
19.05	K	VI	388.24	3.0	0.3	NIST	L1111
19.05	K	VI	394.48	3.0	0.3	NIST	L1111
19.05	K	VI	395.41	3.0	0.3	NIST	L1111
19.05	K	VI	396.24	1.0	0.1	NIST	L1111
19.05	K	VI	398.1	3.0	0.3	NIST	L1111
19.05	K	VI	399.08	2.0	0.2	NIST	L1111
19.05	K	VI	399.42	2.0	0.2	NIST	L1111
19.05	K	VI	400.96	4.0	0.4	NIST	L1111
19.05	K	VI	428.54	1.0	0.1	NIST	L1111
19.05	K	VI	458.045	2.0	0.2	NIST	L3633
19.05	K	VI	460.44	4.0	0.4	NIST	L3633
19.05	K	VI	464.275	5.0	0.5	NIST	L3633
19.05	K	VI	488.132	5.0	0.5	NIST	L3633
19.05	K	VI	611.864	4.0	0.4	NIST	L3633
19.05	K	VI	616.122	4.0	0.4	NIST	L3633
19.05	K	VI	616.189	3.0	0.3	NIST	L3633
19.05	K	VI	623.012	9.0	0.9	NIST	L3633
19.05	K	VI	625.41	8.0	0.8	NIST	L3633
19.05	K	VI	710.526	7.0	0.7	NIST	L3633
19.05	K	VI	716.016	9.0	0.9	NIST	L3633
19.05	K	VI	716.289	5.0	0.5	NIST	L3633
19.05	K	VI	724.278	10.0	1.0	NIST	L3633
19.05	K	VI	725.328	4.0	0.4	NIST	L3633
