atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
19.07	K	VIII	97.793	1.0	0.1	NIST	L3851
19.07	K	VIII	109.434	1.0	0.1	NIST	L3851
19.07	K	VIII	109.535	3.0	0.3	NIST	L3851
19.07	K	VIII	109.711	2.0	0.2	NIST	L3851
19.07	K	VIII	121.885	1.0	0.1	NIST	L3851
19.07	K	VIII	122.054	3.0	0.3	NIST	L3851
19.07	K	VIII	122.413	4.0	0.4	NIST	L3851
19.07	K	VIII	132.715	2.0	0.2	NIST	L3851
19.07	K	VIII	135.889	1.0	0.1	NIST	L3851
19.07	K	VIII	137.118	1.0	0.1	NIST	L3851
19.07	K	VIII	137.248	2.0	0.2	NIST	L3851
19.07	K	VIII	137.424	3.0	0.3	NIST	L3851
19.07	K	VIII	137.458	1.0	0.1	NIST	L3851
19.07	K	VIII	137.563	4.0	0.4	NIST	L3851
19.07	K	VIII	137.601	2.0	0.2	NIST	L3851
19.07	K	VIII	138.632	5.0	0.5	NIST	L3851
19.07	K	VIII	138.842	1.0	0.1	NIST	L3851
19.07	K	VIII	139.101	1.0	0.1	NIST	L3851
19.07	K	VIII	143.805	6.0	0.6	NIST	L3851
19.07	K	VIII	146.352	2.0	0.2	NIST	L3851
19.07	K	VIII	146.382	2.0	0.2	NIST	L3851
19.07	K	VIII	155.701	4.0	0.4	NIST	L3851
19.07	K	VIII	155.951	5.0	0.5	NIST	L3851
19.07	K	VIII	155.976	3.0	0.3	NIST	L3851
19.07	K	VIII	156.495	6.0	0.6	NIST	L3851
19.07	K	VIII	156.533	3.0	0.3	NIST	L3851
19.07	K	VIII	167.896	3.0	0.3	NIST	L3851
19.07	K	VIII	167.934	3.0	0.3	NIST	L3851
19.07	K	VIII	172.028	2.0	0.2	NIST	L3851
19.07	K	VIII	182.643	2.0	0.2	NIST	L3851
19.07	K	VIII	196.461	2.0	0.2	NIST	L3851
19.07	K	VIII	198.538	3.0	0.3	NIST	L3851
19.07	K	VIII	198.978	5.0	0.5	NIST	L3851
19.07	K	VIII	199.922	6.0	0.6	NIST	L3851
19.07	K	VIII	203.701	1.0	0.1	NIST	L3851
19.07	K	VIII	204.201	1.0	0.1	NIST	L3851
19.07	K	VIII	204.26	1.0	0.1	NIST	L3851
19.07	K	VIII	204.644	2.0	0.2	NIST	L3851
19.07	K	VIII	205.344	2.0	0.2	NIST	L3851
19.07	K	VIII	221.281	4.0	0.4	NIST	L3851
19.07	K	VIII	230.656	2.0	0.2	NIST	L3851
19.07	K	VIII	230.694	3.0	0.3	NIST	L3851
19.07	K	VIII	230.75	4.0	0.4	NIST	L3851
19.07	K	VIII	362.275	6.0	0.6	NIST	L10522
19.07	K	VIII	373.581	2.0	0.2	NIST	L10522
19.07	K	VIII	405.813	3.0	0.3	NIST	L10375
19.07	K	VIII	416.642	5.0	0.5	NIST	L10522
19.07	K	VIII	418.456	2.0	0.2	NIST	L1558
19.07	K	VIII	418.582	1.0	0.1	NIST	L1558
19.07	K	VIII	420.859	6.0	0.6	NIST	L10375
19.07	K	VIII	422.414	4.0	0.4	NIST	L1558
