atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
19.09	K	X	35.307	4.0	0.0085	NIST	L7409
19.09	K	X	35.779	2.0	0.0043	NIST	L7409
19.09	K	X	36.229	1.0	0.0021	NIST	L7409
19.09	K	X	41.151	2.0	0.0043	NIST	L3851
19.09	K	X	41.548	2.0	0.0043	NIST	L3851
19.09	K	X	414.54	90.0	0.1915	NIST	L7205
19.09	K	X	421.7	30.0	0.0638	NIST	L7205
19.09	K	X	436.81	230.0	0.4894	NIST	L7205
19.09	K	X	438.04	50.0	0.1064	NIST	L7205
19.09	K	X	446.75	350.0	0.7447	NIST	L7205
19.09	K	X	451.89	100.0	0.2128	NIST	L7205
19.09	K	X	464.68	350.0	0.7447	NIST	L7205
19.09	K	X	469.68	60.0	0.1277	NIST	L7205
19.09	K	X	470.75	160.0	0.3404	NIST	L7205
19.09	K	X	472.66	230.0	0.4894	NIST	L7205
19.09	K	X	474.38	300.0	0.6383	NIST	L7205
19.09	K	X	475.91	200.0	0.4255	NIST	L7205
19.09	K	X	476.94	450.0	0.9574	NIST	L7205
19.09	K	X	477.1	50.0	0.1064	NIST	L7205
19.09	K	X	477.54	470.0	1.0	NIST	L7205
19.09	K	X	481.55	60.0	0.1277	NIST	L7205
19.09	K	X	521.62	100.0	0.2128	NIST	L7205
19.09	K	X	560.74	90.0	0.1915	NIST	L7205
19.09	K	X	594.36	120.0	0.2553	NIST	L7205
19.09	K	X	606.57	100.0	0.2128	NIST	L7205
19.09	K	X	622.12	70.0	0.1489	NIST	L7205
19.09	K	X	624.09	90.0	0.1915	NIST	L7205
19.09	K	X	626.02	290.0	0.617	NIST	L7205
19.09	K	X	626.39	100.0	0.2128	NIST	L7205
19.09	K	X	655.55	140.0	0.2979	NIST	L7205
19.09	K	X	656.19	100.0	0.2128	NIST	L7205
