atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
19.12	K	XIII	27.337	8.0	0.004	NIST	L2563
19.12	K	XIII	27.384	8.0	0.004	NIST	L2563
19.12	K	XIII	27.44	2.0	0.001	NIST	L2563
19.12	K	XIII	27.507	3.0	0.0015	NIST	L2563
19.12	K	XIII	27.53	3.0	0.0015	NIST	L2563
19.12	K	XIII	27.586	9.0	0.0045	NIST	L2563
19.12	K	XIII	27.835	2.0	0.001	NIST	L2563
19.12	K	XIII	28.012	4.0	0.002	NIST	L2563
19.12	K	XIII	28.16	4.0	0.002	NIST	L2563
19.12	K	XIII	28.327	5.0	0.0025	NIST	L2563
19.12	K	XIII	28.958	2.0	0.001	NIST	L2563
19.12	K	XIII	138.5	200.0	0.1	NIST	L5579
19.12	K	XIII	142.681	200.0	0.1	NIST	L5579
19.12	K	XIII	143.741	2000.0	1.0	NIST	L5579
19.12	K	XIII	149.447	30.0	0.015	NIST	L5579
19.12	K	XIII	151.073	6.0	0.003	NIST	L5579
19.12	K	XIII	152.793	100.0	0.05	NIST	L5579
19.12	K	XIII	156.067	5.0	0.0025	NIST	L5579
19.12	K	XIII	157.902	40.0	0.02	NIST	L5579
19.12	K	XIII	161.302	20.0	0.01	NIST	L5579
19.12	K	XIII	164.193	40.0	0.02	NIST	L5579
19.12	K	XIII	166.214	20.0	0.01	NIST	L5579
19.12	K	XIII	168.165	5.0	0.0025	NIST	L5579
19.12	K	XIII	168.471	40.0	0.02	NIST	L5579
19.12	K	XIII	178.205	200.0	0.1	NIST	L5579
19.12	K	XIII	179.514	500.0	0.25	NIST	L5579
19.12	K	XIII	179.855	3.0	0.0015	NIST	L5579
19.12	K	XIII	198.524	20.0	0.01	NIST	L5579
19.12	K	XIII	199.567	10.0	0.005	NIST	L5579
19.12	K	XIII	201.505	500.0	0.25	NIST	L5579
19.12	K	XIII	202.104	500.0	0.25	NIST	L5579
19.12	K	XIII	208.106	200.0	0.1	NIST	L5579
19.12	K	XIII	219.793	15.0	0.0075	NIST	L5579
19.12	K	XIII	945.9	98.0	0.049	NIST	L12269
19.12	K	XIII	994.44	180.0	0.09	NIST	L12269
