atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
19.13	K	XIV	25.7	4.0	0.008	NIST	L2563
19.13	K	XIV	25.75	5.0	0.01	NIST	L2563
19.13	K	XIV	25.909	7.0	0.014	NIST	L2563
19.13	K	XIV	26.816	2.0	0.004	NIST	L2563
19.13	K	XIV	147.556	15.0	0.03	NIST	L5600
19.13	K	XIV	150.495	60.0	0.12	NIST	L5600
19.13	K	XIV	151.713	250.0	0.5	NIST	L5600
19.13	K	XIV	153.97	300.0	0.6	NIST	L5600
19.13	K	XIV	154.265	1.0	0.002	NIST	L5600
19.13	K	XIV	168.961	8.0	0.016	NIST	L5600
19.13	K	XIV	169.165	4.0	0.008	NIST	L5600
19.13	K	XIV	172.252	500.0	1.0	NIST	L5600
19.13	K	XIV	173.58	15.0	0.03	NIST	L5600
19.13	K	XIV	175.024	8.0	0.016	NIST	L5600
19.13	K	XIV	175.723	400.0	0.8	NIST	L5600
19.13	K	XIV	185.883	150.0	0.3	NIST	L5600
19.13	K	XIV	190.551	7.0	0.014	NIST	L5600
19.13	K	XIV	190.779	5.0	0.01	NIST	L5600
19.13	K	XIV	195.422	40.0	0.08	NIST	L5600
19.13	K	XIV	196.151	8.0	0.016	NIST	L5600
19.13	K	XIV	200.097	2.0	0.004	NIST	L5600
19.13	K	XIV	204.014	3.0	0.006	NIST	L5600
19.13	K	XIV	217.615	3.0	0.006	NIST	L5600
19.13	K	XIV	224.457	6.0	0.012	NIST	L5600
19.13	K	XIV	231.066	3.0	0.006	NIST	L5600
19.13	K	XIV	231.297	6.0	0.012	NIST	L5600
