atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
36.00	Kr	I	848.173	5.0	0.0013	NIST	L4676
36.00	Kr	I	848.532	7.0	0.0017	NIST	L4676
36.00	Kr	I	848.964	8.0	0.002	NIST	L4676
36.00	Kr	I	849.495	9.0	0.0023	NIST	L4676
36.00	Kr	I	850.154	10.0	0.0025	NIST	L4676
36.00	Kr	I	850.988	13.0	0.0033	NIST	L4676
36.00	Kr	I	852.064	18.0	0.0045	NIST	L4676
36.00	Kr	I	853.486	20.0	0.005	NIST	L4676
36.00	Kr	I	855.424	24.0	0.006	NIST	L4676
36.00	Kr	I	858.157	27.0	0.0068	NIST	L4676
36.00	Kr	I	862.198	35.0	0.0088	NIST	L4676
36.00	Kr	I	868.543	44.0	0.011	NIST	L4676
36.00	Kr	I	879.388	46.0	0.0115	NIST	L4676
36.00	Kr	I	888.058	14.0	0.0035	NIST	L4676
36.00	Kr	I	888.134	1.0	0.0003	NIST	L4676
36.00	Kr	I	888.339	15.0	0.0037	NIST	L4676
36.00	Kr	I	888.428	2.0	0.0005	NIST	L4676
36.00	Kr	I	888.642	10.0	0.0025	NIST	L4676
36.00	Kr	I	888.672	15.0	0.0037	NIST	L4676
36.00	Kr	I	888.777	2.0	0.0005	NIST	L4676
36.00	Kr	I	889.034	13.0	0.0033	NIST	L4676
36.00	Kr	I	889.069	15.0	0.0037	NIST	L4676
36.00	Kr	I	889.198	3.0	0.0008	NIST	L4676
36.00	Kr	I	889.508	12.0	0.003	NIST	L4676
36.00	Kr	I	889.55	16.0	0.004	NIST	L4676
36.00	Kr	I	889.707	3.0	0.0008	NIST	L4676
36.00	Kr	I	890.089	14.0	0.0035	NIST	L4676
36.00	Kr	I	890.139	16.0	0.004	NIST	L4676
36.00	Kr	I	890.333	4.0	0.001	NIST	L4676
36.00	Kr	I	890.811	14.0	0.0035	NIST	L4676
36.00	Kr	I	890.871	18.0	0.0045	NIST	L4676
36.00	Kr	I	891.115	7.0	0.0017	NIST	L4676
36.00	Kr	I	891.723	16.0	0.004	NIST	L4676
