atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
36.03	Kr	IV	480.61	1.0	0.0067	NIST	L5117
36.03	Kr	IV	488.44	4.0	0.0267	NIST	L5117
36.03	Kr	IV	492.71	7.0	0.0467	NIST	L5117
36.03	Kr	IV	493.86	8.0	0.0533	NIST	L5117
36.03	Kr	IV	494.14	7.0	0.0467	NIST	L5117
36.03	Kr	IV	495.66	3.0	0.02	NIST	L5117
36.03	Kr	IV	496.46	9.0	0.06	NIST	L5117
36.03	Kr	IV	496.79	3.0	0.02	NIST	L5117
36.03	Kr	IV	498.69	8.0	0.0533	NIST	L5117
36.03	Kr	IV	499.05	3.0	0.02	NIST	L5117
36.03	Kr	IV	501.5	3.0	0.02	NIST	L7257
36.03	Kr	IV	502.87	4.0	0.0267	NIST	L7257
36.03	Kr	IV	503.23	4.0	0.0267	NIST	L7257
36.03	Kr	IV	503.69	6.0	0.04	NIST	L5117
36.03	Kr	IV	513.29	6.0	0.04	NIST	L7257
36.03	Kr	IV	513.74	6.0	0.04	NIST	L7257
36.03	Kr	IV	514.82	3.0	0.02	NIST	L5117
36.03	Kr	IV	517.3	6.0	0.04	NIST	L7257
36.03	Kr	IV	517.71	7.0	0.0467	NIST	L7257
36.03	Kr	IV	518.17	7.0	0.0467	NIST	L7257
36.03	Kr	IV	520.9	4.0	0.0267	NIST	L7257
36.03	Kr	IV	521.15	4.0	0.0267	NIST	L5117
36.03	Kr	IV	521.17	7.0	0.0467	NIST	L7257
36.03	Kr	IV	524.78	3.0	0.02	NIST	L7257
36.03	Kr	IV	526.57	9.0	0.06	NIST	L7257
36.03	Kr	IV	528.08	9.0	0.06	NIST	L7257
36.03	Kr	IV	529.39	8.0	0.0533	NIST	L7257
36.03	Kr	IV	530.89	8.0	0.0533	NIST	L7257
36.03	Kr	IV	532.77	4.0	0.0267	NIST	L7257
36.03	Kr	IV	535.63	9.0	0.06	NIST	L7257
36.03	Kr	IV	542.34	6.0	0.04	NIST	L7257
36.03	Kr	IV	543.03	1.0	0.0067	NIST	L7257
36.03	Kr	IV	547.27	9.0	0.06	NIST	L7257
36.03	Kr	IV	552.48	10.0	0.0667	NIST	L7257
36.03	Kr	IV	553.43	5.0	0.0333	NIST	L7257
36.03	Kr	IV	557.75	7.0	0.0467	NIST	L7257
36.03	Kr	IV	557.95	10.0	0.0667	NIST	L7257
36.03	Kr	IV	560.92	5.0	0.0333	NIST	L7257
36.03	Kr	IV	565.16	6.0	0.04	NIST	L7257
36.03	Kr	IV	566.44	10.0	0.0667	NIST	L7257
36.03	Kr	IV	573.59	7.0	0.0467	NIST	L7257
36.03	Kr	IV	574.08	9.0	0.06	NIST	L7257
36.03	Kr	IV	574.36	10.0	0.0667	NIST	L7257
36.03	Kr	IV	574.87	6.0	0.04	NIST	L7257
36.03	Kr	IV	578.96	7.0	0.0467	NIST	L7257
36.03	Kr	IV	581.42	6.0	0.04	NIST	L7257
36.03	Kr	IV	582.04	7.0	0.0467	NIST	L7257
36.03	Kr	IV	583.68	4.0	0.0267	NIST	L7257
36.03	Kr	IV	591.83	3.0	0.02	NIST	L7257
36.03	Kr	IV	595.16	3.0	0.02	NIST	L7257
36.03	Kr	IV	595.72	11.0	0.0733	NIST	L7257
36.03	Kr	IV	601.83	2.0	0.0133	NIST	L7257
36.03	Kr	IV	603.75	10.0	0.0667	NIST	L7257
36.03	Kr	IV	609.87	50.0	0.3333	NIST	L7257
36.03	Kr	IV	611.07	15.0	0.1	NIST	L7257
36.03	Kr	IV	611.831	3.0	0.02	NIST	L6153
36.03	Kr	IV	616.14	11.0	0.0733	NIST	L7257
36.03	Kr	IV	616.56	11.0	0.0733	NIST	L7257
36.03	Kr	IV	617.04	4.0	0.0267	NIST	L7257
36.03	Kr	IV	622.94	20.0	0.1333	NIST	L7257
36.03	Kr	IV	634.8	11.0	0.0733	NIST	L7257
36.03	Kr	IV	636.67	10.0	0.0667	NIST	L7257
36.03	Kr	IV	637.292	1.0	0.0067	NIST	L6153
36.03	Kr	IV	642.31	15.0	0.1	NIST	L7257
36.03	Kr	IV	643.48	10.0	0.0667	NIST	L7257
36.03	Kr	IV	649.25	3.0	0.02	NIST	L7257
36.03	Kr	IV	670.589	9.0	0.06	NIST	L6153
36.03	Kr	IV	677.53	5.0	0.0333	NIST	L7257
36.03	Kr	IV	678.97	10.0	0.0667	NIST	L7257
36.03	Kr	IV	681.924	4.0	0.0267	NIST	L6153
36.03	Kr	IV	683.028	7.0	0.0467	NIST	L6153
36.03	Kr	IV	685.76	9.0	0.06	NIST	L7257
36.03	Kr	IV	690.873	12.0	0.08	NIST	L6153
36.03	Kr	IV	699.812	10.0	0.0667	NIST	L6153
36.03	Kr	IV	711.504	10.0	0.0667	NIST	L6153
36.03	Kr	IV	733.48	1.0	0.0067	NIST	L7257
36.03	Kr	IV	740.169	10.0	0.0667	NIST	L6153
36.03	Kr	IV	753.267	2.0	0.0133	NIST	L6153
36.03	Kr	IV	755.355	10.0	0.0667	NIST	L6153
36.03	Kr	IV	755.74	6.0	0.04	NIST	L7257
36.03	Kr	IV	766.61	8.0	0.0533	NIST	L7257
36.03	Kr	IV	769.006	9.0	0.06	NIST	L6153
36.03	Kr	IV	771.56	10.0	0.0667	NIST	L6153
36.03	Kr	IV	776.795	12.0	0.08	NIST	L6153
36.03	Kr	IV	781.592	12.0	0.08	NIST	L6153
36.03	Kr	IV	782.16	4.0	0.0267	NIST	L7257
36.03	Kr	IV	786.957	8.0	0.0533	NIST	L6153
36.03	Kr	IV	788.77	7.0	0.0467	NIST	L7257
36.03	Kr	IV	795.52	12.0	0.08	NIST	L7257
36.03	Kr	IV	799.12	10.0	0.0667	NIST	L7257
36.03	Kr	IV	805.25	10.0	0.0667	NIST	L7257
36.03	Kr	IV	805.743	12.0	0.08	NIST	L6153
36.03	Kr	IV	812.74	10.0	0.0667	NIST	L7257
36.03	Kr	IV	816.31	10.0	0.0667	NIST	L7257
36.03	Kr	IV	816.816	15.0	0.1	NIST	L6153
36.03	Kr	IV	819.41	7.0	0.0467	NIST	L7257
36.03	Kr	IV	823.23	6.0	0.04	NIST	L7257
36.03	Kr	IV	825.49	6.0	0.04	NIST	L7257
36.03	Kr	IV	836.76	6.0	0.04	NIST	L7257
36.03	Kr	IV	841.74	9.0	0.06	NIST	L7257
36.03	Kr	IV	842.03	18.0	0.12	NIST	L6153
36.03	Kr	IV	851.88	4.0	0.0267	NIST	L7257
36.03	Kr	IV	865.62	11.0	0.0733	NIST	L7257
36.03	Kr	IV	871.718	10.0	0.0667	NIST	L6153
