atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
36.24	Kr	XXV	21.84	5.0	0.0083	NIST	L6464
36.24	Kr	XXV	110.242	10.0	0.0167	NIST	L6464
36.24	Kr	XXV	126.886	4.0	0.0067	NIST	L10226
36.24	Kr	XXV	129.42	50.0	0.0833	NIST	L10416
36.24	Kr	XXV	133.24	10.0	0.0167	NIST	L10375
36.24	Kr	XXV	136.04	11.0	0.0183	NIST	L10375
36.24	Kr	XXV	136.97	14.0	0.0233	NIST	L10375
36.24	Kr	XXV	141.664	15.0	0.025	NIST	L10226
36.24	Kr	XXV	143.9	10.0	0.0167	NIST	L10375
36.24	Kr	XXV	144.4	8.0	0.0133	NIST	L10375
36.24	Kr	XXV	145.508	10.0	0.0167	NIST	L10226
36.24	Kr	XXV	146.15	7.0	0.0117	NIST	L10375
36.24	Kr	XXV	148.61	16.0	0.0267	NIST	L10375
36.24	Kr	XXV	149.768	23.0	0.0383	NIST	L10375
36.24	Kr	XXV	150.42	13.0	0.0217	NIST	L10375
36.24	Kr	XXV	155.09	15.0	0.025	NIST	L10375
36.24	Kr	XXV	158.181	600.0	1.0	NIST	L10226
36.24	Kr	XXV	161.31	4.0	0.0067	NIST	L10375
36.24	Kr	XXV	163.32	60.0	0.1	NIST	L10416
36.24	Kr	XXV	166.083	2.0	0.0033	NIST	L10226
36.24	Kr	XXV	168.9	8.0	0.0133	NIST	L10375
36.24	Kr	XXV	169.61	40.0	0.0667	NIST	L10416
36.24	Kr	XXV	171.14	70.0	0.1167	NIST	L10416
36.24	Kr	XXV	172.38	10.0	0.0167	NIST	L10375
36.24	Kr	XXV	174.01	10.0	0.0167	NIST	L10375
36.24	Kr	XXV	174.86	6.0	0.01	NIST	L10375
36.24	Kr	XXV	175.77	10.0	0.0167	NIST	L10375
36.24	Kr	XXV	181.9	18.0	0.03	NIST	L10375
36.24	Kr	XXV	186.79	8.0	0.0133	NIST	L10375
36.24	Kr	XXV	192.92	15.0	0.025	NIST	L10375
36.24	Kr	XXV	195.63	20.0	0.0333	NIST	L10416
36.24	Kr	XXV	197.62	7.0	0.0117	NIST	L6464
36.24	Kr	XXV	217.03	5.0	0.0083	NIST	L10416
36.24	Kr	XXV	242.548	20.0	0.0333	NIST	L10226
