atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
57.00	La	I	2725.58	55.0	0.0764	NIST	L3475
57.00	La	I	3215.81	35.0	0.0486	NIST	L3475
57.00	La	I	3342.23	95.0	0.1319	NIST	L3475
57.00	La	I	3461.18	65.0	0.0903	NIST	L3475
57.00	La	I	3514.07	45.0	0.0625	NIST	L3475
57.00	La	I	3574.43	200.0	0.2778	NIST	L3475
57.00	La	I	3613.08	75.0	0.1042	NIST	L3475
57.00	La	I	3636.67	35.0	0.0486	NIST	L3475
57.00	La	I	3641.53	170.0	0.2361	NIST	L3475
57.00	La	I	3649.53	90.0	0.125	NIST	L3475
57.00	La	I	3672.02	17.0	0.0236	NIST	L3475
57.00	La	I	3704.54	120.0	0.1667	NIST	L3475
57.00	La	I	3898.6	50.0	0.0694	NIST	L3475
57.00	La	I	3902.58	35.0	0.0486	NIST	L3475
57.00	La	I	3927.56	160.0	0.2222	NIST	L3475
57.00	La	I	3953.68	40.0	0.0556	NIST	L3475
57.00	La	I	4015.39	180.0	0.25	NIST	L3475
57.00	La	I	4037.21	140.0	0.1944	NIST	L3475
57.00	La	I	4060.33	220.0	0.3056	NIST	L3475
57.00	La	I	4064.79	160.0	0.2222	NIST	L3475
57.00	La	I	4065.58	60.0	0.0833	NIST	L3475
57.00	La	I	4079.18	120.0	0.1667	NIST	L3475
57.00	La	I	4089.61	180.0	0.25	NIST	L3475
57.00	La	I	4104.87	110.0	0.1528	NIST	L3475
57.00	La	I	4137.04	110.0	0.1528	NIST	L3475
57.00	La	I	4157.52	40.0	0.0556	NIST	L3475
57.00	La	I	4160.26	100.0	0.1389	NIST	L3475
57.00	La	I	4172.32	50.0	0.0694	NIST	L3475
57.00	La	I	4177.48	70.0	0.0972	NIST	L3475
57.00	La	I	4187.32	280.0	0.3889	NIST	L3475
57.00	La	I	4262.34	50.0	0.0694	NIST	L3475
57.00	La	I	4280.27	300.0	0.4167	NIST	L3475
57.00	La	I	4340.73	40.0	0.0556	NIST	L3475
57.00	La	I	4354.8	60.0	0.0833	NIST	L3475
57.00	La	I	4389.87	60.0	0.0833	NIST	L3475
57.00	La	I	4402.65	50.0	0.0694	NIST	L3475
57.00	La	I	4423.9	160.0	0.2222	NIST	L3475
57.00	La	I	4452.15	100.0	0.1389	NIST	L3475
57.00	La	I	4468.97	40.0	0.0556	NIST	L3475
57.00	La	I	4486.06	40.0	0.0556	NIST	L3475
57.00	La	I	4493.11	40.0	0.0556	NIST	L3475
57.00	La	I	4494.71	40.0	0.0556	NIST	L3475
57.00	La	I	4500.22	90.0	0.125	NIST	L3475
57.00	La	I	4541.79	30.0	0.0417	NIST	L3475
57.00	La	I	4549.5	80.0	0.1111	NIST	L3475
57.00	La	I	4567.91	160.0	0.2222	NIST	L3475
57.00	La	I	4570.02	200.0	0.2778	NIST	L3475
57.00	La	I	4602.05	35.0	0.0486	NIST	L3475
57.00	La	I	4615.07	23.0	0.0319	NIST	L3475
57.00	La	I	4646.34	45.0	0.0625	NIST	L3475
57.00	La	I	4648.65	80.0	0.1111	NIST	L3475
57.00	La	I	4650.33	35.0	0.0486	NIST	L3475
57.00	La	I	4652.08	45.0	0.0625	NIST	L3475
57.00	La	I	4660.7	35.0	0.0486	NIST	L3475
57.00	La	I	4700.26	35.0	0.0486	NIST	L3475
57.00	La	I	4702.64	35.0	0.0486	NIST	L3475
57.00	La	I	4708.19	35.0	0.0486	NIST	L3475
57.00	La	I	4750.41	45.0	0.0625	NIST	L3475
57.00	La	I	4766.89	160.0	0.2222	NIST	L3475
57.00	La	I	4770.43	35.0	0.0486	NIST	L3475
57.00	La	I	4800.0	28.0	0.0389	NIST	L3475
57.00	La	I	4800.25	23.0	0.0319	NIST	L3475
57.00	La	I	4817.17	28.0	0.0389	NIST	L3475
57.00	La	I	4839.52	70.0	0.0972	NIST	L3475
57.00	La	I	4850.82	70.0	0.0972	NIST	L3475
57.00	La	I	4854.95	23.0	0.0319	NIST	L3475
57.00	La	I	4870.56	35.0	0.0486	NIST	L3475
57.00	La	I	4878.86	65.0	0.0903	NIST	L3475
57.00	La	I	4887.61	26.0	0.0361	NIST	L3475
57.00	La	I	4901.87	65.0	0.0903	NIST	L3475
57.00	La	I	4905.13	26.0	0.0361	NIST	L3475
57.00	La	I	4945.85	26.0	0.0361	NIST	L3475
57.00	La	I	4949.77	370.0	0.5139	NIST	L3475
57.00	La	I	4977.95	35.0	0.0486	NIST	L3475
57.00	La	I	4993.88	65.0	0.0903	NIST	L3475
57.00	La	I	5001.79	50.0	0.0694	NIST	L3475
57.00	La	I	5046.88	140.0	0.1944	NIST	L3475
57.00	La	I	5050.57	210.0	0.2917	NIST	L3475
57.00	La	I	5056.46	170.0	0.2361	NIST	L3475
57.00	La	I	5067.9	45.0	0.0625	NIST	L3475
57.00	La	I	5078.92	24.0	0.0333	NIST	L3475
57.00	La	I	5103.13	24.0	0.0333	NIST	L3475
57.00	La	I	5106.23	200.0	0.2778	NIST	L3475
57.00	La	I	5120.88	45.0	0.0625	NIST	L3475
57.00	La	I	5135.44	21.0	0.0292	NIST	L3475
57.00	La	I	5139.16	24.0	0.0333	NIST	L3475
57.00	La	I	5145.42	450.0	0.625	NIST	L3475
57.00	La	I	5158.69	290.0	0.4028	NIST	L3475
57.00	La	I	5167.79	80.0	0.1111	NIST	L3475
57.00	La	I	5177.31	580.0	0.8056	NIST	L3475
57.00	La	I	5179.12	24.0	0.0333	NIST	L3475
57.00	La	I	5183.92	90.0	0.125	NIST	L3475
57.00	La	I	5211.86	720.0	1.0	NIST	L3475
57.00	La	I	5234.27	520.0	0.7222	NIST	L3475
57.00	La	I	5239.55	35.0	0.0486	NIST	L3475
57.00	La	I	5240.83	26.0	0.0361	NIST	L3475
57.00	La	I	5253.46	340.0	0.4722	NIST	L3475
57.00	La	I	5257.85	35.0	0.0486	NIST	L3475
57.00	La	I	5271.19	370.0	0.5139	NIST	L3475
57.00	La	I	5276.42	50.0	0.0694	NIST	L3475
57.00	La	I	5304.02	45.0	0.0625	NIST	L3475
57.00	La	I	5307.53	24.0	0.0333	NIST	L3475
57.00	La	I	5320.16	16.0	0.0222	NIST	L3475
57.00	La	I	5323.57	35.0	0.0486	NIST	L3475
57.00	La	I	5357.86	110.0	0.1528	NIST	L3475
57.00	La	I	5365.89	21.0	0.0292	NIST	L3475
57.00	La	I	5380.01	21.0	0.0292	NIST	L3475
57.00	La	I	5415.68	26.0	0.0361	NIST	L3475
57.00	La	I	5429.86	40.0	0.0556	NIST	L3475
57.00	La	I	5437.54	21.0	0.0292	NIST	L3475
57.00	La	I	5455.15	500.0	0.6944	NIST	L3475
57.00	La	I	5466.92	13.0	0.0181	NIST	L3475
57.00	La	I	5491.07	26.0	0.0361	NIST	L3475
57.00	La	I	5501.34	470.0	0.6528	NIST	L3475
57.00	La	I	5502.25	26.0	0.0361	NIST	L3475
57.00	La	I	5502.67	18.0	0.025	NIST	L3475
57.00	La	I	5503.81	90.0	0.125	NIST	L3475
57.00	La	I	5506.0	50.0	0.0694	NIST	L3475
57.00	La	I	5515.28	40.0	0.0556	NIST	L3475
57.00	La	I	5517.34	65.0	0.0903	NIST	L3475
57.00	La	I	5529.87	18.0	0.025	NIST	L3475
57.00	La	I	5532.06	13.0	0.0181	NIST	L3475
57.00	La	I	5541.26	65.0	0.0903	NIST	L3475
57.00	La	I	5544.91	24.0	0.0333	NIST	L3475
57.00	La	I	5565.44	50.0	0.0694	NIST	L3475
57.00	La	I	5565.72	40.0	0.0556	NIST	L3475
57.00	La	I	5568.46	80.0	0.1111	NIST	L3475
57.00	La	I	5570.38	16.0	0.0222	NIST	L3475
57.00	La	I	5588.34	80.0	0.1111	NIST	L3475
57.00	La	I	5631.22	160.0	0.2222	NIST	L3475
57.00	La	I	5632.03	65.0	0.0903	NIST	L3475
57.00	La	I	5639.31	40.0	0.0556	NIST	L3475
57.00	La	I	5648.25	240.0	0.3333	NIST	L3475
