atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
71.00	Lu	I	2549.44	20.0	0.0026	NIST	L3475
71.00	Lu	I	2549.72	20.0	0.0026	NIST	L3475
71.00	Lu	I	2677.25	90.0	0.0118	NIST	L3475
71.00	Lu	I	2685.08	570.0	0.075	NIST	L3475
71.00	Lu	I	2685.54	90.0	0.0118	NIST	L3475
71.00	Lu	I	2715.91	90.0	0.0118	NIST	L3475
71.00	Lu	I	2719.09	180.0	0.0237	NIST	L3475
71.00	Lu	I	2728.95	480.0	0.0632	NIST	L3475
71.00	Lu	I	2765.74	750.0	0.0987	NIST	L3475
71.00	Lu	I	2845.13	330.0	0.0434	NIST	L3475
71.00	Lu	I	2885.14	570.0	0.075	NIST	L3475
71.00	Lu	I	2903.05	300.0	0.0395	NIST	L3475
71.00	Lu	I	2949.73	270.0	0.0355	NIST	L3475
71.00	Lu	I	2989.27	1800.0	0.2368	NIST	L3475
71.00	Lu	I	3080.11	390.0	0.0513	NIST	L3475
71.00	Lu	I	3081.47	5100.0	0.6711	NIST	L3475
71.00	Lu	I	3118.43	3000.0	0.3947	NIST	L3475
71.00	Lu	I	3171.36	2400.0	0.3158	NIST	L3475
71.00	Lu	I	3278.97	3800.0	0.5	NIST	L3475
71.00	Lu	I	3281.74	7600.0	1.0	NIST	L3475
71.00	Lu	I	3312.11	6200.0	0.8158	NIST	L3475
71.00	Lu	I	3359.56	7600.0	1.0	NIST	L3475
71.00	Lu	I	3376.5	6200.0	0.8158	NIST	L3475
71.00	Lu	I	3385.5	950.0	0.125	NIST	L3475
71.00	Lu	I	3391.55	160.0	0.0211	NIST	L3475
71.00	Lu	I	3396.82	1400.0	0.1842	NIST	L3475
71.00	Lu	I	3508.42	1600.0	0.2105	NIST	L3475
71.00	Lu	I	3567.84	4800.0	0.6316	NIST	L3475
71.00	Lu	I	3596.34	340.0	0.0447	NIST	L3475
71.00	Lu	I	3620.31	170.0	0.0224	NIST	L7597
