atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
71.02	Lu	III	677.34	1.0	0.0002	NIST	L1402
71.02	Lu	III	691.05	7.0	0.0016	NIST	L1402
71.02	Lu	III	700.25	30.0	0.0067	NIST	L1402
71.02	Lu	III	714.89	50.0	0.0111	NIST	L1402
71.02	Lu	III	738.76	100.0	0.0222	NIST	L1402
71.02	Lu	III	755.03	200.0	0.0444	NIST	L1402
71.02	Lu	III	755.16	3.0	0.0007	NIST	L1402
71.02	Lu	III	810.73	500.0	0.1111	NIST	L1402
71.02	Lu	III	830.53	100.0	0.0222	NIST	L1402
71.02	Lu	III	832.28	2000.0	0.4444	NIST	L1402
71.02	Lu	III	972.66	10.0	0.0022	NIST	L1402
71.02	Lu	III	991.26	2.0	0.0004	NIST	L1402
71.02	Lu	III	996.44	100.0	0.0222	NIST	L1402
71.02	Lu	III	1001.18	400.0	0.0889	NIST	L1402
71.02	Lu	III	1022.4	1.0	0.0002	NIST	L1402
71.02	Lu	III	1029.83	100.0	0.0222	NIST	L1402
71.02	Lu	III	1030.33	200.0	0.0444	NIST	L1402
71.02	Lu	III	1031.54	100.0	0.0222	NIST	L1402
71.02	Lu	III	1056.53	50.0	0.0111	NIST	L1402
71.02	Lu	III	1061.99	20.0	0.0044	NIST	L1402
71.02	Lu	III	1092.84	3.0	0.0007	NIST	L1402
71.02	Lu	III	1187.34	200.0	0.0444	NIST	L1402
71.02	Lu	III	1228.7	50.0	0.0111	NIST	L1402
71.02	Lu	III	1277.53	200.0	0.0444	NIST	L1402
71.02	Lu	III	1283.41	30.0	0.0067	NIST	L1402
71.02	Lu	III	1331.93	100.0	0.0222	NIST	L1402
71.02	Lu	III	1854.57	1000.0	0.2222	NIST	L1402
71.02	Lu	III	2050.72	40.0	0.0089	NIST	L1402
71.02	Lu	III	2065.35	1500.0	0.3333	NIST	L1402
71.02	Lu	III	2070.56	1500.0	0.3333	NIST	L1402
71.02	Lu	III	2083.34	100.0	0.0222	NIST	L1402
71.02	Lu	III	2099.44	200.0	0.0444	NIST	L1402
71.02	Lu	III	2236.14	1000.0	0.2222	NIST	L1402
71.02	Lu	III	2236.22	2000.0	0.4444	NIST	L1402
71.02	Lu	III	2381.59	500.0	0.1111	NIST	L1402
71.02	Lu	III	2563.51	300.0	0.0667	NIST	L1402
71.02	Lu	III	2603.35	4500.0	1.0	NIST	L1402
71.02	Lu	III	2721.65	200.0	0.0444	NIST	L1402
71.02	Lu	III	2772.55	2000.0	0.4444	NIST	L1402
71.02	Lu	III	2781.16	20.0	0.0044	NIST	L1402
71.02	Lu	III	2788.37	10.0	0.0022	NIST	L1402
71.02	Lu	III	2800.9	500.0	0.1111	NIST	L1402
71.02	Lu	III	2993.21	20.0	0.0044	NIST	L1402
71.02	Lu	III	3057.86	1000.0	0.2222	NIST	L1402
71.02	Lu	III	4251.44	200.0	0.0444	NIST	L1402
71.02	Lu	III	4271.91	300.0	0.0667	NIST	L1402
71.02	Lu	III	4490.0	200.0	0.0444	NIST	L1402
71.02	Lu	III	4956.43	400.0	0.0889	NIST	L1402
71.02	Lu	III	5046.12	10.0	0.0022	NIST	L1402
71.02	Lu	III	5145.86	150.0	0.0333	NIST	L1402
71.02	Lu	III	5419.42	70.0	0.0156	NIST	L1402
71.02	Lu	III	5519.88	60.0	0.0133	NIST	L1402
71.02	Lu	III	5526.8	5.0	0.0011	NIST	L1402
71.02	Lu	III	5748.71	5.0	0.0011	NIST	L1402
71.02	Lu	III	5786.46	70.0	0.0156	NIST	L1402
71.02	Lu	III	5869.71	80.0	0.0178	NIST	L1402
71.02	Lu	III	5889.76	60.0	0.0133	NIST	L1402
71.02	Lu	III	6197.96	300.0	0.0667	NIST	L1402
71.02	Lu	III	6198.13	600.0	0.1333	NIST	L1402
71.02	Lu	III	7309.95	100.0	0.0222	NIST	L1402
71.02	Lu	III	7310.25	200.0	0.0444	NIST	L1402
71.02	Lu	III	7534.27	50.0	0.0111	NIST	L1402
71.02	Lu	III	7936.45	70.0	0.0156	NIST	L1402
71.02	Lu	III	8008.59	3.0	0.0007	NIST	L1402
