atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
12.04	Mg	V	95.896	100.0	0.1	NIST	L5142
12.04	Mg	V	95.914	50.0	0.05	NIST	L5142
12.04	Mg	V	95.963	100.0	0.1	NIST	L5142
12.04	Mg	V	96.029	80.0	0.08	NIST	L5142
12.04	Mg	V	96.083	100.0	0.1	NIST	L5142
12.04	Mg	V	96.15	10.0	0.01	NIST	L5142
12.04	Mg	V	97.391	100.0	0.1	NIST	L5142
12.04	Mg	V	97.44	200.0	0.2	NIST	L5142
12.04	Mg	V	97.562	150.0	0.15	NIST	L5142
12.04	Mg	V	97.633	20.0	0.02	NIST	L5142
12.04	Mg	V	98.231	100.0	0.1	NIST	L5142
12.04	Mg	V	98.27	200.0	0.2	NIST	L5142
12.04	Mg	V	98.405	100.0	0.1	NIST	L5142
12.04	Mg	V	98.44	150.0	0.15	NIST	L5142
12.04	Mg	V	98.476	10.0	0.01	NIST	L5142
12.04	Mg	V	98.635	200.0	0.2	NIST	L5142
12.04	Mg	V	98.803	100.0	0.1	NIST	L5142
12.04	Mg	V	98.872	50.0	0.05	NIST	L5142
12.04	Mg	V	99.066	200.0	0.2	NIST	L5142
12.04	Mg	V	99.611	200.0	0.2	NIST	L5142
12.04	Mg	V	99.787	100.0	0.1	NIST	L5142
12.04	Mg	V	101.67	300.0	0.3	NIST	L5142
12.04	Mg	V	101.781	300.0	0.3	NIST	L5142
12.04	Mg	V	102.074	200.0	0.2	NIST	L5142
12.04	Mg	V	103.902	400.0	0.4	NIST	L5142
12.04	Mg	V	103.942	300.0	0.3	NIST	L5142
12.04	Mg	V	104.099	200.0	0.2	NIST	L5142
12.04	Mg	V	104.132	150.0	0.15	NIST	L5142
12.04	Mg	V	104.179	100.0	0.1	NIST	L5142
12.04	Mg	V	104.211	50.0	0.05	NIST	L5142
12.04	Mg	V	104.447	70.0	0.07	NIST	L5142
12.04	Mg	V	107.653	100.0	0.1	NIST	L5142
12.04	Mg	V	109.162	10.0	0.01	NIST	L5142
12.04	Mg	V	109.8	200.0	0.2	NIST	L5142
12.04	Mg	V	110.016	50.0	0.05	NIST	L5142
12.04	Mg	V	110.103	10.0	0.01	NIST	L5142
12.04	Mg	V	110.81	200.0	0.2	NIST	L5142
12.04	Mg	V	110.846	400.0	0.4	NIST	L5142
12.04	Mg	V	111.021	300.0	0.3	NIST	L5142
12.04	Mg	V	111.081	200.0	0.2	NIST	L5142
12.04	Mg	V	111.149	250.0	0.25	NIST	L5142
12.04	Mg	V	111.189	300.0	0.3	NIST	L5142
12.04	Mg	V	111.239	250.0	0.25	NIST	L5142
12.04	Mg	V	111.41	200.0	0.2	NIST	L5142
12.04	Mg	V	111.461	200.0	0.2	NIST	L5142
12.04	Mg	V	111.486	200.0	0.2	NIST	L5142
12.04	Mg	V	111.547	300.0	0.3	NIST	L5142
12.04	Mg	V	113.209	100.0	0.1	NIST	L5142
12.04	Mg	V	113.276	20.0	0.02	NIST	L5142
12.04	Mg	V	113.409	50.0	0.05	NIST	L5142
12.04	Mg	V	113.515	30.0	0.03	NIST	L5142
12.04	Mg	V	113.699	400.0	0.4	NIST	L5142
12.04	Mg	V	113.819	100.0	0.1	NIST	L5142
12.04	Mg	V	113.93	300.0	0.3	NIST	L5142
12.04	Mg	V	113.988	300.0	0.3	NIST	L5142
12.04	Mg	V	114.026	100.0	0.1	NIST	L5142
12.04	Mg	V	114.052	400.0	0.4	NIST	L5142
12.04	Mg	V	114.197	200.0	0.2	NIST	L5142
12.04	Mg	V	114.22	150.0	0.15	NIST	L5142
12.04	Mg	V	114.284	200.0	0.2	NIST	L5142
12.04	Mg	V	114.317	100.0	0.1	NIST	L5142
12.04	Mg	V	114.488	20.0	0.02	NIST	L5142
12.04	Mg	V	114.721	10.0	0.01	NIST	L5142
12.04	Mg	V	114.764	200.0	0.2	NIST	L5142
12.04	Mg	V	114.782	600.0	0.6	NIST	L5142
12.04	Mg	V	115.0	300.0	0.3	NIST	L5142
12.04	Mg	V	115.016	300.0	0.3	NIST	L5142
12.04	Mg	V	115.092	400.0	0.4	NIST	L5142
12.04	Mg	V	115.398	400.0	0.4	NIST	L5142
12.04	Mg	V	115.536	400.0	0.4	NIST	L5142
12.04	Mg	V	118.084	700.0	0.7	NIST	L5142
12.04	Mg	V	118.809	500.0	0.5	NIST	L5142
12.04	Mg	V	118.857	5.0	0.005	NIST	L5142
12.04	Mg	V	118.925	10.0	0.01	NIST	L5142
12.04	Mg	V	119.4	400.0	0.4	NIST	L5142
12.04	Mg	V	119.445	400.0	0.4	NIST	L5142
12.04	Mg	V	119.697	5.0	0.005	NIST	L5142
12.04	Mg	V	121.644	1000.0	1.0	NIST	L5142
12.04	Mg	V	121.655	100.0	0.1	NIST	L5142
12.04	Mg	V	121.922	500.0	0.5	NIST	L5142
12.04	Mg	V	122.033	400.0	0.4	NIST	L5142
12.04	Mg	V	125.601	400.0	0.4	NIST	L5142
12.04	Mg	V	126.28	400.0	0.4	NIST	L5142
12.04	Mg	V	126.294	100.0	0.1	NIST	L5142
12.04	Mg	V	126.546	200.0	0.2	NIST	L5142
12.04	Mg	V	126.678	10.0	0.01	NIST	L5142
12.04	Mg	V	127.206	1.0	0.001	NIST	L5142
12.04	Mg	V	132.163	500.0	0.5	NIST	L5142
12.04	Mg	V	132.175	300.0	0.3	NIST	L5142
12.04	Mg	V	132.476	200.0	0.2	NIST	L5142
12.04	Mg	V	132.492	300.0	0.3	NIST	L5142
12.04	Mg	V	132.62	300.0	0.3	NIST	L5142
12.04	Mg	V	135.628	200.0	0.2	NIST	L5142
12.04	Mg	V	135.644	40.0	0.04	NIST	L5142
12.04	Mg	V	135.947	100.0	0.1	NIST	L5142
12.04	Mg	V	135.961	50.0	0.05	NIST	L5142
12.04	Mg	V	136.121	40.0	0.04	NIST	L5142
12.04	Mg	V	137.229	600.0	0.6	NIST	L5142
12.04	Mg	V	137.412	800.0	0.8	NIST	L5142
12.04	Mg	V	137.745	700.0	0.7	NIST	L5142
12.04	Mg	V	137.882	600.0	0.6	NIST	L5142
12.04	Mg	V	138.751	100.0	0.1	NIST	L5142
12.04	Mg	V	142.935	1000.0	1.0	NIST	L5142
12.04	Mg	V	144.547	10.0	0.01	NIST	L5142
12.04	Mg	V	145.488	800.0	0.8	NIST	L5142
12.04	Mg	V	146.084	900.0	0.9	NIST	L5142
12.04	Mg	V	146.465	500.0	0.5	NIST	L5142
12.04	Mg	V	146.623	400.0	0.4	NIST	L5142
12.04	Mg	V	151.807	150.0	0.15	NIST	L5142
12.04	Mg	V	152.021	100.0	0.1	NIST	L5142
12.04	Mg	V	152.153	300.0	0.3	NIST	L5142
12.04	Mg	V	152.181	50.0	0.05	NIST	L5142
12.04	Mg	V	152.386	100.0	0.1	NIST	L5142
12.04	Mg	V	152.526	100.0	0.1	NIST	L5142
12.04	Mg	V	251.584	400.0	0.4	NIST	L1965
12.04	Mg	V	252.709	1.0	0.001	NIST	L5142
12.04	Mg	V	253.187	10.0	0.01	NIST	L5142
12.04	Mg	V	276.582	1000.0	1.0	NIST	L1965
12.04	Mg	V	312.302	300.0	0.3	NIST	L1965
12.04	Mg	V	351.0887	600.0	0.6	NIST	L1965
12.04	Mg	V	352.2009	500.0	0.5	NIST	L1965
12.04	Mg	V	353.0919	900.0	0.9	NIST	L1965
12.04	Mg	V	353.3004	400.0	0.4	NIST	L1965
12.04	Mg	V	354.2249	500.0	0.5	NIST	L1965
12.04	Mg	V	355.3291	600.0	0.6	NIST	L1965
12.04	Mg	V	376.663	100.0	0.1	NIST	L5142
