atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
12.05	Mg	VI	75.334	100.0	0.125	NIST	L7482
12.05	Mg	VI	75.834	200.0	0.25	NIST	L7482
12.05	Mg	VI	75.89	10.0	0.0125	NIST	L7482
12.05	Mg	VI	77.405	200.0	0.25	NIST	L7482
12.05	Mg	VI	77.511	100.0	0.125	NIST	L7482
12.05	Mg	VI	77.639	10.0	0.0125	NIST	L7482
12.05	Mg	VI	78.239	10.0	0.0125	NIST	L7482
12.05	Mg	VI	79.817	200.0	0.25	NIST	L7482
12.05	Mg	VI	79.83	400.0	0.5	NIST	L7482
12.05	Mg	VI	79.857	400.0	0.5	NIST	L7482
12.05	Mg	VI	80.032	200.0	0.25	NIST	L7482
12.05	Mg	VI	80.075	200.0	0.25	NIST	L7482
12.05	Mg	VI	80.563	100.0	0.125	NIST	L7482
12.05	Mg	VI	80.724	10.0	0.0125	NIST	L7482
12.05	Mg	VI	80.93	200.0	0.25	NIST	L7482
12.05	Mg	VI	81.106	300.0	0.375	NIST	L7482
12.05	Mg	VI	82.475	100.0	0.125	NIST	L7482
12.05	Mg	VI	82.853	100.0	0.125	NIST	L7482
12.05	Mg	VI	83.403	400.0	0.5	NIST	L7482
12.05	Mg	VI	83.519	300.0	0.375	NIST	L7482
12.05	Mg	VI	83.56	200.0	0.25	NIST	L7482
12.05	Mg	VI	84.745	200.0	0.25	NIST	L7482
12.05	Mg	VI	85.153	10.0	0.0125	NIST	L7482
12.05	Mg	VI	85.577	200.0	0.25	NIST	L7482
12.05	Mg	VI	85.622	300.0	0.375	NIST	L7482
12.05	Mg	VI	86.807	200.0	0.25	NIST	L7482
12.05	Mg	VI	87.406	10.0	0.0125	NIST	L7482
12.05	Mg	VI	88.827	200.0	0.25	NIST	L7482
12.05	Mg	VI	88.952	200.0	0.25	NIST	L7482
12.05	Mg	VI	89.021	10.0	0.0125	NIST	L7482
12.05	Mg	VI	89.649	10.0	0.0125	NIST	L7482
12.05	Mg	VI	92.964	100.0	0.125	NIST	L7482
12.05	Mg	VI	93.109	100.0	0.125	NIST	L7482
12.05	Mg	VI	93.493	300.0	0.375	NIST	L7482
12.05	Mg	VI	95.385	400.0	0.5	NIST	L7482
12.05	Mg	VI	95.421	400.0	0.5	NIST	L7482
12.05	Mg	VI	95.483	500.0	0.625	NIST	L7482
12.05	Mg	VI	95.637	300.0	0.375	NIST	L7482
12.05	Mg	VI	95.675	300.0	0.375	NIST	L7482
12.05	Mg	VI	96.085	100.0	0.125	NIST	L7482
12.05	Mg	VI	96.159	100.0	0.125	NIST	L7482
12.05	Mg	VI	96.24	100.0	0.125	NIST	L7482
12.05	Mg	VI	96.256	200.0	0.25	NIST	L7482
12.05	Mg	VI	96.303	200.0	0.25	NIST	L7482
12.05	Mg	VI	96.388	100.0	0.125	NIST	L7482
12.05	Mg	VI	96.467	10.0	0.0125	NIST	L7482
12.05	Mg	VI	96.67	200.0	0.25	NIST	L7482
12.05	Mg	VI	96.704	200.0	0.25	NIST	L7482
12.05	Mg	VI	96.797	100.0	0.125	NIST	L7482
12.05	Mg	VI	96.857	100.0	0.125	NIST	L7482
12.05	Mg	VI	96.903	10.0	0.0125	NIST	L7482
12.05	Mg	VI	96.939	400.0	0.5	NIST	L7482
12.05	Mg	VI	96.973	400.0	0.5	NIST	L7482
12.05	Mg	VI	97.251	500.0	0.625	NIST	L7482
12.05	Mg	VI	97.278	500.0	0.625	NIST	L7482
12.05	Mg	VI	98.983	400.0	0.5	NIST	L7482
12.05	Mg	VI	99.025	200.0	0.25	NIST	L7482
12.05	Mg	VI	99.279	400.0	0.5	NIST	L7482
12.05	Mg	VI	99.333	400.0	0.5	NIST	L7482
12.05	Mg	VI	99.713	300.0	0.375	NIST	L7482
12.05	Mg	VI	99.738	300.0	0.375	NIST	L7482
12.05	Mg	VI	100.702	500.0	0.625	NIST	L7482
12.05	Mg	VI	100.904	400.0	0.5	NIST	L7482
12.05	Mg	VI	101.508	200.0	0.25	NIST	L7482
12.05	Mg	VI	101.556	300.0	0.375	NIST	L7482
12.05	Mg	VI	102.189	500.0	0.625	NIST	L7482
12.05	Mg	VI	102.239	500.0	0.625	NIST	L7482
12.05	Mg	VI	104.597	500.0	0.625	NIST	L7482
12.05	Mg	VI	105.41	200.0	0.25	NIST	L7482
12.05	Mg	VI	105.502	300.0	0.375	NIST	L7482
12.05	Mg	VI	105.778	100.0	0.125	NIST	L7482
12.05	Mg	VI	107.82	400.0	0.5	NIST	L7482
12.05	Mg	VI	108.015	300.0	0.375	NIST	L7482
12.05	Mg	VI	108.114	200.0	0.25	NIST	L7482
12.05	Mg	VI	108.148	100.0	0.125	NIST	L7482
12.05	Mg	VI	108.338	100.0	0.125	NIST	L7482
12.05	Mg	VI	108.441	10.0	0.0125	NIST	L7482
12.05	Mg	VI	111.16	300.0	0.375	NIST	L7482
12.05	Mg	VI	111.199	400.0	0.5	NIST	L7482
12.05	Mg	VI	111.552	500.0	0.625	NIST	L7482
12.05	Mg	VI	111.746	400.0	0.5	NIST	L7482
12.05	Mg	VI	111.864	400.0	0.5	NIST	L7482
12.05	Mg	VI	113.189	500.0	0.625	NIST	L7482
12.05	Mg	VI	114.412	10.0	0.0125	NIST	L7482
12.05	Mg	VI	114.624	10.0	0.0125	NIST	L7482
12.05	Mg	VI	114.725	10.0	0.0125	NIST	L7482
12.05	Mg	VI	116.968	500.0	0.625	NIST	L7482
12.05	Mg	VI	117.226	300.0	0.375	NIST	L7482
12.05	Mg	VI	117.527	100.0	0.125	NIST	L7482
12.05	Mg	VI	121.025	500.0	0.625	NIST	L7482
12.05	Mg	VI	121.29	300.0	0.375	NIST	L7482
12.05	Mg	VI	123.59	100.0	0.125	NIST	L7482
12.05	Mg	VI	125.206	300.0	0.375	NIST	L7482
12.05	Mg	VI	125.459	300.0	0.375	NIST	L7482
12.05	Mg	VI	125.6	400.0	0.5	NIST	L7482
12.05	Mg	VI	126.45	100.0	0.125	NIST	L7482
12.05	Mg	VI	126.488	100.0	0.125	NIST	L7482
12.05	Mg	VI	130.294	200.0	0.25	NIST	L7482
12.05	Mg	VI	130.63	100.0	0.125	NIST	L7482
12.05	Mg	VI	137.814	10.0	0.0125	NIST	L7482
12.05	Mg	VI	268.984	650.0	0.8125	NIST	u19
12.05	Mg	VI	270.39	750.0	0.9375	NIST	u19
12.05	Mg	VI	288.646	10.0	0.0125	NIST	u19
12.05	Mg	VI	291.365	300.0	0.375	NIST	u19
12.05	Mg	VI	291.457	200.0	0.25	NIST	u19
12.05	Mg	VI	293.021	200.0	0.25	NIST	u19
12.05	Mg	VI	293.116	400.0	0.5	NIST	u19
12.05	Mg	VI	314.561	300.0	0.375	NIST	u19
12.05	Mg	VI	314.669	400.0	0.5	NIST	u19
12.05	Mg	VI	319.821	150.0	0.1875	NIST	u19
12.05	Mg	VI	322.463	300.0	0.375	NIST	u19
12.05	Mg	VI	322.492	50.0	0.0625	NIST	u19
12.05	Mg	VI	349.114	70.0	0.0875	NIST	u19
12.05	Mg	VI	349.17	100.0	0.125	NIST	u19
12.05	Mg	VI	387.79	200.0	0.25	NIST	u19
12.05	Mg	VI	388.016	300.0	0.375	NIST	u19
12.05	Mg	VI	399.2819	600.0	0.75	NIST	u19
12.05	Mg	VI	400.6667	700.0	0.875	NIST	u19
12.05	Mg	VI	403.3097	800.0	1.0	NIST	u19
12.05	Mg	VI	436.14	40.0	0.05	NIST	u19
12.05	Mg	VI	439.868	70.0	0.0875	NIST	u19
12.05	Mg	VI	441.157	200.0	0.25	NIST	u19
12.05	Mg	VI	444.964	30.0	0.0375	NIST	u19
