atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
25.13	Mn	XIV	79.72	1.0	0.1	NIST	L15325
25.13	Mn	XIV	79.761	2.0	0.2	NIST	L15325
25.13	Mn	XIV	79.826	3.0	0.3	NIST	L15325
25.13	Mn	XIV	212.77	4.0	0.4	NIST	L7072
25.13	Mn	XIV	221.65	2.0	0.2	NIST	L7072
25.13	Mn	XIV	235.52	4.0	0.4	NIST	L10460
25.13	Mn	XIV	241.1	6.0	0.6	NIST	L7072
25.13	Mn	XIV	242.646	1.0	0.1	NIST	L10460
25.13	Mn	XIV	243.46	6.0	0.6	NIST	L7072
25.13	Mn	XIV	243.93	3.0	0.3	NIST	L7072
25.13	Mn	XIV	246.14	3.0	0.3	NIST	L7072
25.13	Mn	XIV	246.633	3.0	0.3	NIST	L10460
25.13	Mn	XIV	248.41	3.0	0.3	NIST	L7072
25.13	Mn	XIV	248.63	3.0	0.3	NIST	L7072
25.13	Mn	XIV	248.87	3.0	0.3	NIST	L7072
25.13	Mn	XIV	249.66	7.0	0.7	NIST	L7072
25.13	Mn	XIV	250.33	3.0	0.3	NIST	L7072
25.13	Mn	XIV	250.45	3.0	0.3	NIST	L7072
25.13	Mn	XIV	251.361	6.0	0.6	NIST	L10460
25.13	Mn	XIV	255.36	5.0	0.5	NIST	L7072
25.13	Mn	XIV	257.24	7.0	0.7	NIST	L7072
25.13	Mn	XIV	258.1	6.0	0.6	NIST	L7072
25.13	Mn	XIV	260.45	7.0	0.7	NIST	L7072
25.13	Mn	XIV	264.71	4.0	0.4	NIST	L7072
25.13	Mn	XIV	275.71	5.0	0.5	NIST	L7072
25.13	Mn	XIV	276.131	3.0	0.3	NIST	L10460
25.13	Mn	XIV	277.11	3.0	0.3	NIST	L10488
25.13	Mn	XIV	282.444	5.0	0.5	NIST	L10460
25.13	Mn	XIV	284.752	3.0	0.3	NIST	L10460
25.13	Mn	XIV	285.492	2.0	0.2	NIST	L10460
25.13	Mn	XIV	289.56	2.0	0.2	NIST	L7072
25.13	Mn	XIV	304.84	10.0	1.0	NIST	L7072
25.13	Mn	XIV	311.639	5.0	0.5	NIST	L10460
25.13	Mn	XIV	315.98	6.0	0.6	NIST	L7072
25.13	Mn	XIV	325.22	7.0	0.7	NIST	L7072
25.13	Mn	XIV	327.85	8.0	0.8	NIST	L7072
25.13	Mn	XIV	330.41	6.0	0.6	NIST	L7072
25.13	Mn	XIV	335.98	5.0	0.5	NIST	L7072
25.13	Mn	XIV	339.1	3.0	0.3	NIST	L7072
25.13	Mn	XIV	339.25	5.0	0.5	NIST	L7072
25.13	Mn	XIV	339.6	6.0	0.6	NIST	L7072
25.13	Mn	XIV	342.58	8.0	0.8	NIST	L7072
25.13	Mn	XIV	343.43	7.0	0.7	NIST	L7072
25.13	Mn	XIV	343.84	4.0	0.4	NIST	L7072
25.13	Mn	XIV	349.44	6.0	0.6	NIST	L7072
25.13	Mn	XIV	349.67	7.0	0.7	NIST	L7072
25.13	Mn	XIV	352.73	5.0	0.5	NIST	L7072
25.13	Mn	XIV	354.29	5.0	0.5	NIST	L7072
25.13	Mn	XIV	358.31	7.0	0.7	NIST	L7072
25.13	Mn	XIV	402.96	7.0	0.7	NIST	L7072
25.13	Mn	XIV	416.35	5.0	0.5	NIST	L7072
25.13	Mn	XIV	418.51	4.0	0.4	NIST	L7072
25.13	Mn	XIV	429.13	4.0	0.4	NIST	L7072
25.13	Mn	XIV	430.61	1.0	0.1	NIST	L7072
25.13	Mn	XIV	471.94	3.0	0.3	NIST	L7072
25.13	Mn	XIV	518.05	6.0	0.6	NIST	L7072
25.13	Mn	XIV	582.12	3.0	0.3	NIST	L7072
