atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
25.15	Mn	XVI	11.853	2.0	0.0333	NIST	L1476
25.15	Mn	XVI	11.971	1.0	0.0167	NIST	L1476
25.15	Mn	XVI	12.373	2.0	0.0333	NIST	L1476
25.15	Mn	XVI	12.51	5.0	0.0833	NIST	L1476
25.15	Mn	XVI	14.098	3.0	0.05	NIST	L1476
25.15	Mn	XVI	51.847	3.0	0.05	NIST	L6938
25.15	Mn	XVI	51.999	2.0	0.0333	NIST	L6938
25.15	Mn	XVI	52.147	2.0	0.0333	NIST	L6938
25.15	Mn	XVI	52.344	1.0	0.0167	NIST	L6938
25.15	Mn	XVI	54.832	2.0	0.0333	NIST	L6938
25.15	Mn	XVI	54.988	1.0	0.0167	NIST	L6938
25.15	Mn	XVI	55.09	1.0	0.0167	NIST	L6938
25.15	Mn	XVI	55.472	1.0	0.0167	NIST	L6938
25.15	Mn	XVI	55.517	1.0	0.0167	NIST	L6938
25.15	Mn	XVI	55.56	5.0	0.0833	NIST	L6938
25.15	Mn	XVI	55.659	10.0	0.1667	NIST	L6938
25.15	Mn	XVI	55.728	2.0	0.0333	NIST	L6938
25.15	Mn	XVI	55.962	1.0	0.0167	NIST	L6938
25.15	Mn	XVI	56.032	15.0	0.25	NIST	L6938
25.15	Mn	XVI	56.11	3.0	0.05	NIST	L6938
25.15	Mn	XVI	56.207	5.0	0.0833	NIST	L6938
25.15	Mn	XVI	56.432	5.0	0.0833	NIST	L6938
25.15	Mn	XVI	56.7	2.0	0.0333	NIST	L6938
25.15	Mn	XVI	64.224	5.0	0.0833	NIST	L6938
25.15	Mn	XVI	65.153	2.0	0.0333	NIST	L6938
25.15	Mn	XVI	65.216	6.0	0.1	NIST	L6938
25.15	Mn	XVI	65.47	8.0	0.1333	NIST	L6938
25.15	Mn	XVI	65.508	4.0	0.0667	NIST	L6938
25.15	Mn	XVI	65.927	30.0	0.5	NIST	L6938
25.15	Mn	XVI	66.036	4.0	0.0667	NIST	L6938
25.15	Mn	XVI	66.129	50.0	0.8333	NIST	L6938
25.15	Mn	XVI	66.209	3.0	0.05	NIST	L6938
25.15	Mn	XVI	66.393	40.0	0.6667	NIST	L6938
25.15	Mn	XVI	66.503	30.0	0.5	NIST	L6938
25.15	Mn	XVI	66.706	60.0	1.0	NIST	L6938
25.15	Mn	XVI	66.773	50.0	0.8333	NIST	L6938
25.15	Mn	XVI	67.099	60.0	1.0	NIST	L6938
25.15	Mn	XVI	67.149	3.0	0.05	NIST	L6938
25.15	Mn	XVI	67.314	2.0	0.0333	NIST	L6938
25.15	Mn	XVI	68.662	7.0	0.1167	NIST	L6938
25.15	Mn	XVI	69.124	5.0	0.0833	NIST	L6938
25.15	Mn	XVI	288.003	2.0	0.0333	NIST	L6775
25.15	Mn	XVI	293.27	3.0	0.05	NIST	L6775
25.15	Mn	XVI	297.698	3.0	0.05	NIST	L6775
25.15	Mn	XVI	298.648	1.0	0.0167	NIST	L6775
25.15	Mn	XVI	301.513	5.0	0.0833	NIST	L6775
25.15	Mn	XVI	347.12	1.0	0.0167	NIST	L6775
25.15	Mn	XVI	363.918	1.0	0.0167	NIST	L6775
25.15	Mn	XVI	365.169	2.0	0.0333	NIST	L6775
25.15	Mn	XVI	373.525	2.0	0.0333	NIST	L6775
25.15	Mn	XVI	376.202	4.0	0.0667	NIST	L6775
25.15	Mn	XVI	377.414	2.0	0.0333	NIST	L6775
25.15	Mn	XVI	396.402	4.0	0.0667	NIST	L6775
25.15	Mn	XVI	413.382	3.0	0.05	NIST	L6775
25.15	Mn	XVI	438.577	2.0	0.0333	NIST	L6775
