atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
42.04	Mo	V	248.019	28000.0	0.0002	NIST	L19131
42.04	Mo	V	248.23	16000.0	0.0001	NIST	L19131
42.04	Mo	V	248.516	8000.0	0.0001	NIST	L19131
42.04	Mo	V	248.708	30000.0	0.0002	NIST	L19131
42.04	Mo	V	248.759	6000.0	0.0	NIST	L19131
42.04	Mo	V	249.221	28000.0	0.0002	NIST	L19131
42.04	Mo	V	249.432	34000.0	0.0002	NIST	L19131
42.04	Mo	V	249.74	34000.0	0.0002	NIST	L19131
42.04	Mo	V	249.892	9900.0	0.0001	NIST	L19131
42.04	Mo	V	250.363	14000.0	0.0001	NIST	L19131
42.04	Mo	V	250.584	18000.0	0.0001	NIST	L19131
42.04	Mo	V	250.617	30000.0	0.0002	NIST	L19131
42.04	Mo	V	251.007	59000.0	0.0004	NIST	L19131
42.04	Mo	V	251.477	4000.0	0.0	NIST	L19131
42.04	Mo	V	251.551	18000.0	0.0001	NIST	L19131
42.04	Mo	V	252.226	4000.0	0.0	NIST	L19131
42.04	Mo	V	252.421	26000.0	0.0002	NIST	L19131
42.04	Mo	V	252.513	26000.0	0.0002	NIST	L19131
42.04	Mo	V	253.103	59000.0	0.0004	NIST	L19131
42.04	Mo	V	253.401	18000.0	0.0001	NIST	L19131
42.04	Mo	V	253.599	200000.0	0.0013	NIST	L19131
42.04	Mo	V	253.82	120000.0	0.0008	NIST	L19131
42.04	Mo	V	254.099	22000.0	0.0001	NIST	L19131
42.04	Mo	V	254.12	32000.0	0.0002	NIST	L19131
42.04	Mo	V	254.408	49000.0	0.0003	NIST	L19131
42.04	Mo	V	254.474	9800.0	0.0001	NIST	L19131
42.04	Mo	V	254.609	9800.0	0.0001	NIST	L19131
42.04	Mo	V	255.274	18000.0	0.0001	NIST	L19131
42.04	Mo	V	255.775	9800.0	0.0001	NIST	L19131
42.04	Mo	V	255.842	14000.0	0.0001	NIST	L19131
42.04	Mo	V	256.284	9800.0	0.0001	NIST	L19131
42.04	Mo	V	256.48	8600.0	0.0001	NIST	L19131
42.04	Mo	V	256.71	2000.0	0.0	NIST	L19131
42.04	Mo	V	256.762	7800.0	0.0001	NIST	L19131
42.04	Mo	V	256.944	12000.0	0.0001	NIST	L19131
42.04	Mo	V	257.339	2000.0	0.0	NIST	L19131
42.04	Mo	V	257.738	5900.0	0.0	NIST	L19131
42.04	Mo	V	257.756	12000.0	0.0001	NIST	L19131
42.04	Mo	V	257.861	3900.0	0.0	NIST	L19131
42.04	Mo	V	258.069	9800.0	0.0001	NIST	L19131
42.04	Mo	V	258.116	20000.0	0.0001	NIST	L19131
42.04	Mo	V	258.333	31000.0	0.0002	NIST	L19131
42.04	Mo	V	258.45	3100.0	0.0	NIST	L19131
42.04	Mo	V	258.507	27000.0	0.0002	NIST	L19131
42.04	Mo	V	258.667	12000.0	0.0001	NIST	L19131
42.04	Mo	V	258.814	1200.0	0.0	NIST	L19131
42.04	Mo	V	258.844	33000.0	0.0002	NIST	L19131
42.04	Mo	V	258.936	78000.0	0.0005	NIST	L19131
42.04	Mo	V	258.999	23000.0	0.0002	NIST	L19131
42.04	Mo	V	259.051	120000.0	0.0008	NIST	L19131
42.04	Mo	V	259.274	39000.0	0.0003	NIST	L19131
42.04	Mo	V	259.389	14000.0	0.0001	NIST	L19131
42.04	Mo	V	259.449	31000.0	0.0002	NIST	L19131
42.04	Mo	V	259.526	16000.0	0.0001	NIST	L19131
42.04	Mo	V	259.537	18000.0	0.0001	NIST	L19131
42.04	Mo	V	259.703	7800.0	0.0001	NIST	L19131
42.04	Mo	V	259.782	9700.0	0.0001	NIST	L19131
42.04	Mo	V	259.804	7800.0	0.0001	NIST	L19131
42.04	Mo	V	259.893	14000.0	0.0001	NIST	L19131
42.04	Mo	V	260.119	27000.0	0.0002	NIST	L19131
42.04	Mo	V	260.209	12000.0	0.0001	NIST	L19131
42.04	Mo	V	260.23	12000.0	0.0001	NIST	L19131
42.04	Mo	V	260.485	25000.0	0.0002	NIST	L19131
42.04	Mo	V	260.516	780.0	0.0	NIST	L19131
42.04	Mo	V	260.559	9700.0	0.0001	NIST	L19131
42.04	Mo	V	260.647	25000.0	0.0002	NIST	L19131
42.04	Mo	V	260.88	12000.0	0.0001	NIST	L19131
42.04	Mo	V	261.612	58000.0	0.0004	NIST	L19131
42.04	Mo	V	262.101	25000.0	0.0002	NIST	L19131
42.04	Mo	V	262.395	150000.0	0.001	NIST	L19131
42.04	Mo	V	262.443	27000.0	0.0002	NIST	L19131
42.04	Mo	V	263.107	7700.0	0.0001	NIST	L19131
42.04	Mo	V	263.211	120000.0	0.0008	NIST	L19131
42.04	Mo	V	264.032	1900.0	0.0	NIST	L19131
42.04	Mo	V	264.398	23000.0	0.0002	NIST	L19131
42.04	Mo	V	265.322	27000.0	0.0002	NIST	L19131
42.04	Mo	V	265.442	5800.0	0.0	NIST	L19131
42.04	Mo	V	265.659	9600.0	0.0001	NIST	L19131
42.04	Mo	V	265.825	9600.0	0.0001	NIST	L19131
42.04	Mo	V	265.858	58000.0	0.0004	NIST	L19131
42.04	Mo	V	265.921	77000.0	0.0005	NIST	L19131
42.04	Mo	V	265.963	12000.0	0.0001	NIST	L19131
42.04	Mo	V	266.077	7700.0	0.0001	NIST	L19131
42.04	Mo	V	266.129	3800.0	0.0	NIST	L19131
42.04	Mo	V	266.232	1900.0	0.0	NIST	L19131
42.04	Mo	V	266.496	38000.0	0.0003	NIST	L19131
42.04	Mo	V	266.586	29000.0	0.0002	NIST	L19131
42.04	Mo	V	266.642	38000.0	0.0003	NIST	L19131
42.04	Mo	V	266.668	19000.0	0.0001	NIST	L19131
42.04	Mo	V	266.808	3800.0	0.0	NIST	L19131
42.04	Mo	V	266.883	57000.0	0.0004	NIST	L19131
42.04	Mo	V	266.922	21000.0	0.0001	NIST	L19131
42.04	Mo	V	267.229	19000.0	0.0001	NIST	L19131
42.04	Mo	V	267.539	77000.0	0.0005	NIST	L19131
42.04	Mo	V	267.594	5700.0	0.0	NIST	L19131
42.04	Mo	V	267.613	29000.0	0.0002	NIST	L19131
42.04	Mo	V	267.651	5700.0	0.0	NIST	L19131
42.04	Mo	V	267.731	7600.0	0.0001	NIST	L19131
42.04	Mo	V	267.772	5700.0	0.0	NIST	L19131
42.04	Mo	V	268.284	73000.0	0.0005	NIST	L19131
42.04	Mo	V	268.756	29000.0	0.0002	NIST	L19131
42.04	Mo	V	268.798	1900.0	0.0	NIST	L19131
42.04	Mo	V	268.82	1900.0	0.0	NIST	L19131
42.04	Mo	V	268.908	9500.0	0.0001	NIST	L19131
42.04	Mo	V	268.955	23000.0	0.0002	NIST	L19131
42.04	Mo	V	269.197	9500.0	0.0001	NIST	L19131
42.04	Mo	V	269.489	19000.0	0.0001	NIST	L19131
42.04	Mo	V	269.603	7600.0	0.0001	NIST	L19131
42.04	Mo	V	270.101	7600.0	0.0001	NIST	L19131
42.04	Mo	V	270.201	15000.0	0.0001	NIST	L19131
42.04	Mo	V	270.824	76000.0	0.0005	NIST	L19131
42.04	Mo	V	270.94	57000.0	0.0004	NIST	L19131
42.04	Mo	V	272.535	38000.0	0.0003	NIST	L19131
42.04	Mo	V	273.143	25000.0	0.0002	NIST	L19131
42.04	Mo	V	273.847	13000.0	0.0001	NIST	L19131
42.04	Mo	V	273.991	7500.0	0.0001	NIST	L19131
42.04	Mo	V	274.086	23000.0	0.0002	NIST	L19131
42.04	Mo	V	274.583	150000.0	0.001	NIST	L19131
42.04	Mo	V	274.723	3800.0	0.0	NIST	L19131
42.04	Mo	V	274.937	190000.0	0.0013	NIST	L19131
42.04	Mo	V	275.075	100000.0	0.0007	NIST	L19131
42.04	Mo	V	275.133	38000.0	0.0003	NIST	L19131
42.04	Mo	V	275.21	28000.0	0.0002	NIST	L19131
42.04	Mo	V	275.28	94000.0	0.0006	NIST	L19131
42.04	Mo	V	275.309	7500.0	0.0001	NIST	L19131
42.04	Mo	V	275.563	56000.0	0.0004	NIST	L19131
42.04	Mo	V	275.93	11000.0	0.0001	NIST	L19131
42.04	Mo	V	276.133	11000.0	0.0001	NIST	L19131
42.04	Mo	V	276.389	13000.0	0.0001	NIST	L19131
42.04	Mo	V	276.427	11000.0	0.0001	NIST	L19131
42.04	Mo	V	276.513	17000.0	0.0001	NIST	L19131
42.04	Mo	V	276.532	110000.0	0.0007	NIST	L19131
42.04	Mo	V	277.095	7500.0	0.0001	NIST	L19131
42.04	Mo	V	277.771	28000.0	0.0002	NIST	L19131
42.04	Mo	V	277.841	47000.0	0.0003	NIST	L19131
42.04	Mo	V	278.163	1100.0	0.0	NIST	L19131
42.04	Mo	V	278.338	13000.0	0.0001	NIST	L19131
42.04	Mo	V	279.093	19000.0	0.0001	NIST	L19131
42.04	Mo	V	279.855	5600.0	0.0	NIST	L19131
42.04	Mo	V	280.784	5600.0	0.0	NIST	L19131
42.04	Mo	V	280.825	110000.0	0.0007	NIST	L19131
42.04	Mo	V	281.128	5600.0	0.0	NIST	L19131
42.04	Mo	V	281.733	9300.0	0.0001	NIST	L19131
42.04	Mo	V	282.033	1900.0	0.0	NIST	L19131
42.04	Mo	V	282.747	5500.0	0.0	NIST	L19131
42.04	Mo	V	282.98	3700.0	0.0	NIST	L19131
42.04	Mo	V	283.012	3700.0	0.0	NIST	L19131
42.04	Mo	V	283.281	13000.0	0.0001	NIST	L19131
42.04	Mo	V	283.551	20000.0	0.0001	NIST	L19131
42.04	Mo	V	283.613	24000.0	0.0002	NIST	L19131
42.04	Mo	V	283.98	5500.0	0.0	NIST	L19131
42.04	Mo	V	284.014	7400.0	0.0	NIST	L19131
42.04	Mo	V	284.412	15000.0	0.0001	NIST	L19131
42.04	Mo	V	284.629	28000.0	0.0002	NIST	L19131
42.04	Mo	V	284.751	22000.0	0.0001	NIST	L19131
42.04	Mo	V	284.99	26000.0	0.0002	NIST	L19131
42.04	Mo	V	285.055	2900.0	0.0	NIST	L19131
42.04	Mo	V	285.276	46000.0	0.0003	NIST	L19131
42.04	Mo	V	285.335	17000.0	0.0001	NIST	L19131
42.04	Mo	V	285.952	31000.0	0.0002	NIST	L19131
42.04	Mo	V	287.087	73000.0	0.0005	NIST	L19131
42.04	Mo	V	287.249	15000.0	0.0001	NIST	L19131
42.04	Mo	V	287.282	2200.0	0.0	NIST	L19131
42.04	Mo	V	287.929	1800.0	0.0	NIST	L19131
42.04	Mo	V	288.563	5500.0	0.0	NIST	L19131
42.04	Mo	V	288.888	110000.0	0.0007	NIST	L19131
42.04	Mo	V	288.936	110000.0	0.0007	NIST	L19131
42.04	Mo	V	289.078	5500.0	0.0	NIST	L19131
42.04	Mo	V	289.57	110000.0	0.0007	NIST	L19131
42.04	Mo	V	290.368	1800.0	0.0	NIST	L19131
42.04	Mo	V	290.719	13000.0	0.0001	NIST	L19131
42.04	Mo	V	291.142	7300.0	0.0	NIST	L19131
42.04	Mo	V	291.3	5400.0	0.0	NIST	L19131
42.04	Mo	V	291.426	13000.0	0.0001	NIST	L19131
42.04	Mo	V	291.48	3600.0	0.0	NIST	L19131
42.04	Mo	V	291.735	3600.0	0.0	NIST	L19131
42.04	Mo	V	291.769	1800.0	0.0	NIST	L19131
42.04	Mo	V	292.518	22000.0	0.0001	NIST	L19131
42.04	Mo	V	292.534	20000.0	0.0001	NIST	L19131
42.04	Mo	V	292.837	140000.0	0.0009	NIST	L19131
42.04	Mo	V	293.134	5400.0	0.0	NIST	L19131
42.04	Mo	V	293.462	29000.0	0.0002	NIST	L19131
42.04	Mo	V	293.879	72000.0	0.0005	NIST	L19131
42.04	Mo	V	294.088	27000.0	0.0002	NIST	L19131
42.04	Mo	V	294.24	1800.0	0.0	NIST	L19131
42.04	Mo	V	294.369	29000.0	0.0002	NIST	L19131
42.04	Mo	V	294.713	110000.0	0.0007	NIST	L19131
42.04	Mo	V	295.328	9000.0	0.0001	NIST	L19131
42.04	Mo	V	296.087	36000.0	0.0002	NIST	L19131
42.04	Mo	V	296.297	20000.0	0.0001	NIST	L19131
42.04	Mo	V	296.808	5400.0	0.0	NIST	L19131
42.04	Mo	V	297.338	130000.0	0.0009	NIST	L19131
42.04	Mo	V	297.653	1800.0	0.0	NIST	L19131
42.04	Mo	V	297.96	16000.0	0.0001	NIST	L19131
42.04	Mo	V	297.99	7200.0	0.0	NIST	L19131
42.04	Mo	V	298.34	110000.0	0.0007	NIST	L19131
42.04	Mo	V	299.974	5300.0	0.0	NIST	L19131
42.04	Mo	V	300.148	3600.0	0.0	NIST	L19131
42.04	Mo	V	301.106	110000.0	0.0007	NIST	L19131
42.04	Mo	V	302.188	7100.0	0.0	NIST	L19131
42.04	Mo	V	302.73	18000.0	0.0001	NIST	L19131
42.04	Mo	V	302.992	8800.0	0.0001	NIST	L19131
42.04	Mo	V	303.676	3500.0	0.0	NIST	L19131
42.04	Mo	V	304.058	7100.0	0.0	NIST	L19131
42.04	Mo	V	304.967	44000.0	0.0003	NIST	L19131
42.04	Mo	V	305.174	35000.0	0.0002	NIST	L19131
42.04	Mo	V	306.083	1100.0	0.0	NIST	L19131
42.04	Mo	V	306.106	26000.0	0.0002	NIST	L19131
42.04	Mo	V	306.339	110000.0	0.0007	NIST	L19131
42.04	Mo	V	307.063	21000.0	0.0001	NIST	L19131
42.04	Mo	V	307.237	8800.0	0.0001	NIST	L19131
42.04	Mo	V	307.266	1800.0	0.0	NIST	L19131
42.04	Mo	V	307.698	26000.0	0.0002	NIST	L19131
42.04	Mo	V	308.764	8700.0	0.0001	NIST	L19131
42.04	Mo	V	308.917	5200.0	0.0	NIST	L19131
42.04	Mo	V	309.293	120000.0	0.0008	NIST	L19131
42.04	Mo	V	310.29	12000.0	0.0001	NIST	L19131
42.04	Mo	V	310.441	1000.0	0.0	NIST	L19131
