atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
42.06	Mo	VII	107.005	1.0	0.001	NIST	L1483
42.06	Mo	VII	109.79	1.0	0.001	NIST	L1483
42.06	Mo	VII	114.286	2.0	0.002	NIST	L1483
42.06	Mo	VII	119.141	2.0	0.002	NIST	L1483
42.06	Mo	VII	122.487	4.0	0.004	NIST	L1483
42.06	Mo	VII	125.704	1.0	0.001	NIST	L1483
42.06	Mo	VII	126.631	5.0	0.005	NIST	L1483
42.06	Mo	VII	128.141	1.0	0.001	NIST	L1483
42.06	Mo	VII	136.507	20.0	0.02	NIST	L1483
42.06	Mo	VII	140.833	80.0	0.08	NIST	L10359
42.06	Mo	VII	144.973	70.0	0.07	NIST	L10359
42.06	Mo	VII	149.462	90.0	0.09	NIST	L10359
42.06	Mo	VII	151.747	5.0	0.005	NIST	L10359
42.06	Mo	VII	198.834	1000.0	1.0	NIST	L10359
42.06	Mo	VII	204.418	40.0	0.04	NIST	L10359
42.06	Mo	VII	207.435	10.0	0.01	NIST	L10359
42.06	Mo	VII	207.776	1000.0	1.0	NIST	L10359
42.06	Mo	VII	210.571	25.0	0.025	NIST	L10359
42.06	Mo	VII	213.056	30.0	0.03	NIST	L10359
42.06	Mo	VII	213.916	25.0	0.025	NIST	L10359
42.06	Mo	VII	214.524	30.0	0.03	NIST	L10359
42.06	Mo	VII	215.642	100.0	0.1	NIST	L10359
42.06	Mo	VII	216.928	25.0	0.025	NIST	L10359
42.06	Mo	VII	217.432	25.0	0.025	NIST	L10359
42.06	Mo	VII	217.838	30.0	0.03	NIST	L10359
42.06	Mo	VII	218.048	200.0	0.2	NIST	L10359
42.06	Mo	VII	218.675	150.0	0.15	NIST	L10359
42.06	Mo	VII	219.157	100.0	0.1	NIST	L10359
42.06	Mo	VII	220.137	200.0	0.2	NIST	L10359
42.06	Mo	VII	220.385	20.0	0.02	NIST	L10359
42.06	Mo	VII	220.632	20.0	0.02	NIST	L10359
42.06	Mo	VII	220.734	60.0	0.06	NIST	L10359
42.06	Mo	VII	221.946	150.0	0.15	NIST	L10359
42.06	Mo	VII	222.043	50.0	0.05	NIST	L10359
42.06	Mo	VII	222.685	150.0	0.15	NIST	L10359
42.06	Mo	VII	223.556	20.0	0.02	NIST	L10359
42.06	Mo	VII	223.878	20.0	0.02	NIST	L10359
42.06	Mo	VII	224.34	200.0	0.2	NIST	L10359
42.06	Mo	VII	226.163	80.0	0.08	NIST	L10359
42.06	Mo	VII	227.576	10.0	0.01	NIST	L10359
42.06	Mo	VII	229.538	20.0	0.02	NIST	L10359
42.06	Mo	VII	229.808	150.0	0.15	NIST	L10359
42.06	Mo	VII	229.919	80.0	0.08	NIST	L10359
42.06	Mo	VII	230.268	25.0	0.025	NIST	L10359
42.06	Mo	VII	231.842	10.0	0.01	NIST	L10359
42.06	Mo	VII	232.558	50.0	0.05	NIST	L10359
42.06	Mo	VII	233.453	80.0	0.08	NIST	L10359
42.06	Mo	VII	234.722	25.0	0.025	NIST	L10359
42.06	Mo	VII	234.962	150.0	0.15	NIST	L10359
42.06	Mo	VII	235.007	10.0	0.01	NIST	L10359
42.06	Mo	VII	235.486	150.0	0.15	NIST	L10359
42.06	Mo	VII	235.694	80.0	0.08	NIST	L10359
42.06	Mo	VII	237.02	30.0	0.03	NIST	L10359
42.06	Mo	VII	239.504	1000.0	1.0	NIST	L10359
42.06	Mo	VII	265.096	40.0	0.04	NIST	L10359
42.06	Mo	VII	278.458	20.0	0.02	NIST	L10359
42.06	Mo	VII	292.644	900.0	0.9	NIST	L10359
42.06	Mo	VII	300.488	200.0	0.2	NIST	L10359
42.06	Mo	VII	305.149	60.0	0.06	NIST	L10359
42.06	Mo	VII	308.77	150.0	0.15	NIST	L10359
42.06	Mo	VII	310.807	20.0	0.02	NIST	L10359
42.06	Mo	VII	312.09	70.0	0.07	NIST	L10359
42.06	Mo	VII	312.722	30.0	0.03	NIST	L10359
42.06	Mo	VII	313.432	120.0	0.12	NIST	L10359
42.06	Mo	VII	314.656	30.0	0.03	NIST	L10359
42.06	Mo	VII	315.3	70.0	0.07	NIST	L10359
42.06	Mo	VII	316.772	100.0	0.1	NIST	L10359
42.06	Mo	VII	317.798	400.0	0.4	NIST	L10359
42.06	Mo	VII	319.473	90.0	0.09	NIST	L10359
42.06	Mo	VII	319.938	90.0	0.09	NIST	L10359
42.06	Mo	VII	321.661	80.0	0.08	NIST	L10359
42.06	Mo	VII	323.221	300.0	0.3	NIST	L10359
42.06	Mo	VII	324.638	400.0	0.4	NIST	L10359
42.06	Mo	VII	326.263	30.0	0.03	NIST	L10359
42.06	Mo	VII	326.616	250.0	0.25	NIST	L10359
42.06	Mo	VII	327.266	500.0	0.5	NIST	L10359
42.06	Mo	VII	328.577	200.0	0.2	NIST	L10359
42.06	Mo	VII	328.611	80.0	0.08	NIST	L10359
42.06	Mo	VII	328.838	150.0	0.15	NIST	L10359
42.06	Mo	VII	329.294	400.0	0.4	NIST	L10359
42.06	Mo	VII	329.861	500.0	0.5	NIST	L10359
42.06	Mo	VII	331.444	150.0	0.15	NIST	L10359
42.06	Mo	VII	331.511	300.0	0.3	NIST	L10359
42.06	Mo	VII	331.623	300.0	0.3	NIST	L10359
42.06	Mo	VII	332.604	200.0	0.2	NIST	L10359
42.06	Mo	VII	333.069	30.0	0.03	NIST	L10359
42.06	Mo	VII	333.652	90.0	0.09	NIST	L10359
42.06	Mo	VII	333.687	80.0	0.08	NIST	L10359
42.06	Mo	VII	335.142	70.0	0.07	NIST	L10359
42.06	Mo	VII	335.516	150.0	0.15	NIST	L10359
42.06	Mo	VII	335.737	100.0	0.1	NIST	L10359
42.06	Mo	VII	335.995	150.0	0.15	NIST	L10359
42.06	Mo	VII	336.52	200.0	0.2	NIST	L10359
42.06	Mo	VII	336.584	200.0	0.2	NIST	L10359
42.06	Mo	VII	337.946	100.0	0.1	NIST	L10359
42.06	Mo	VII	338.42	100.0	0.1	NIST	L10359
42.06	Mo	VII	338.504	200.0	0.2	NIST	L10359
42.06	Mo	VII	338.899	500.0	0.5	NIST	L10359
42.06	Mo	VII	339.351	200.0	0.2	NIST	L10359
42.06	Mo	VII	339.664	150.0	0.15	NIST	L10359
42.06	Mo	VII	340.955	400.0	0.4	NIST	L10359
42.06	Mo	VII	341.494	400.0	0.4	NIST	L10359
42.06	Mo	VII	341.524	400.0	0.4	NIST	L10359
42.06	Mo	VII	342.102	200.0	0.2	NIST	L10359
42.06	Mo	VII	342.131	400.0	0.4	NIST	L10359
42.06	Mo	VII	342.705	30.0	0.03	NIST	L10359
42.06	Mo	VII	343.659	50.0	0.05	NIST	L10359
42.06	Mo	VII	343.998	100.0	0.1	NIST	L10359
42.06	Mo	VII	346.222	150.0	0.15	NIST	L10359
42.06	Mo	VII	346.647	400.0	0.4	NIST	L10359
42.06	Mo	VII	349.217	100.0	0.1	NIST	L10359
42.06	Mo	VII	351.143	100.0	0.1	NIST	L10359
42.06	Mo	VII	351.944	400.0	0.4	NIST	L10359
42.06	Mo	VII	353.234	20.0	0.02	NIST	L10359
42.06	Mo	VII	353.494	300.0	0.3	NIST	L10359
42.06	Mo	VII	353.777	100.0	0.1	NIST	L10359
42.06	Mo	VII	353.945	500.0	0.5	NIST	L10359
42.06	Mo	VII	354.474	150.0	0.15	NIST	L10359
42.06	Mo	VII	355.132	300.0	0.3	NIST	L10359
42.06	Mo	VII	357.175	100.0	0.1	NIST	L10359
42.06	Mo	VII	357.824	100.0	0.1	NIST	L10359
42.06	Mo	VII	360.003	100.0	0.1	NIST	L10359
42.06	Mo	VII	360.635	100.0	0.1	NIST	L10359
42.06	Mo	VII	363.077	100.0	0.1	NIST	L10359
42.06	Mo	VII	364.666	90.0	0.09	NIST	L10359
42.06	Mo	VII	365.659	100.0	0.1	NIST	L10359
42.06	Mo	VII	366.734	5.0	0.005	NIST	L10359
42.06	Mo	VII	367.366	90.0	0.09	NIST	L10359
42.06	Mo	VII	367.526	60.0	0.06	NIST	L10359
42.06	Mo	VII	370.063	15.0	0.015	NIST	L10359
42.06	Mo	VII	370.351	90.0	0.09	NIST	L10359
42.06	Mo	VII	372.702	70.0	0.07	NIST	L10359
42.06	Mo	VII	373.455	60.0	0.06	NIST	L10359
42.06	Mo	VII	375.715	100.0	0.1	NIST	L10359
42.06	Mo	VII	376.341	200.0	0.2	NIST	L10359
42.06	Mo	VII	376.513	200.0	0.2	NIST	L10359
42.06	Mo	VII	377.217	100.0	0.1	NIST	L10359
42.06	Mo	VII	377.33	80.0	0.08	NIST	L10359
42.06	Mo	VII	377.934	20.0	0.02	NIST	L10359
42.06	Mo	VII	378.366	50.0	0.05	NIST	L10359
42.06	Mo	VII	378.679	80.0	0.08	NIST	L10359
42.06	Mo	VII	381.005	70.0	0.07	NIST	L10359
42.06	Mo	VII	384.219	90.0	0.09	NIST	L10359
42.06	Mo	VII	384.255	200.0	0.2	NIST	L10359
42.06	Mo	VII	384.939	100.0	0.1	NIST	L10359
42.06	Mo	VII	385.298	200.0	0.2	NIST	L10359
42.06	Mo	VII	386.442	6.0	0.006	NIST	L10359
42.06	Mo	VII	386.683	40.0	0.04	NIST	L10359
42.06	Mo	VII	387.585	100.0	0.1	NIST	L10359
42.06	Mo	VII	392.359	60.0	0.06	NIST	L10359
42.06	Mo	VII	392.546	100.0	0.1	NIST	L10359
42.06	Mo	VII	396.734	150.0	0.15	NIST	L10359
42.06	Mo	VII	397.016	400.0	0.4	NIST	L10359
42.06	Mo	VII	401.543	30.0	0.03	NIST	L10359
42.06	Mo	VII	403.608	200.0	0.2	NIST	L10359
42.06	Mo	VII	403.963	50.0	0.05	NIST	L10359
42.06	Mo	VII	407.393	200.0	0.2	NIST	L10359
42.06	Mo	VII	407.515	400.0	0.4	NIST	L10359
42.06	Mo	VII	409.797	60.0	0.06	NIST	L10359
42.06	Mo	VII	410.994	200.0	0.2	NIST	L10359
42.06	Mo	VII	412.34	200.0	0.2	NIST	L10359
42.06	Mo	VII	412.623	300.0	0.3	NIST	L10359
42.06	Mo	VII	412.679	150.0	0.15	NIST	L10359
42.06	Mo	VII	415.504	250.0	0.25	NIST	L10359
42.06	Mo	VII	416.064	300.0	0.3	NIST	L10359
42.06	Mo	VII	416.179	150.0	0.15	NIST	L10359
42.06	Mo	VII	416.805	400.0	0.4	NIST	L10359
42.06	Mo	VII	417.828	200.0	0.2	NIST	L10359
42.06	Mo	VII	418.227	150.0	0.15	NIST	L10359
42.06	Mo	VII	422.232	900.0	0.9	NIST	L10359
42.06	Mo	VII	422.465	500.0	0.5	NIST	L10359
42.06	Mo	VII	423.259	80.0	0.08	NIST	L10359
42.06	Mo	VII	423.478	200.0	0.2	NIST	L10359
42.06	Mo	VII	423.601	400.0	0.4	NIST	L10359
42.06	Mo	VII	423.634	150.0	0.15	NIST	L10359
42.06	Mo	VII	423.677	150.0	0.15	NIST	L10359
42.06	Mo	VII	423.856	20.0	0.02	NIST	L10359
42.06	Mo	VII	426.939	300.0	0.3	NIST	L10359
42.06	Mo	VII	427.611	200.0	0.2	NIST	L10359
42.06	Mo	VII	429.873	400.0	0.4	NIST	L10359
42.06	Mo	VII	431.956	300.0	0.3	NIST	L10359
42.06	Mo	VII	434.156	500.0	0.5	NIST	L10359
42.06	Mo	VII	434.377	400.0	0.4	NIST	L10359
42.06	Mo	VII	434.754	200.0	0.2	NIST	L10359
42.06	Mo	VII	434.835	200.0	0.2	NIST	L10359
42.06	Mo	VII	434.881	300.0	0.3	NIST	L10359
42.06	Mo	VII	435.856	100.0	0.1	NIST	L10359
42.06	Mo	VII	436.388	400.0	0.4	NIST	L10359
42.06	Mo	VII	436.786	100.0	0.1	NIST	L10359
42.06	Mo	VII	438.052	200.0	0.2	NIST	L10359
42.06	Mo	VII	438.976	500.0	0.5	NIST	L10359
42.06	Mo	VII	441.466	400.0	0.4	NIST	L10359
42.06	Mo	VII	444.087	400.0	0.4	NIST	L10359
42.06	Mo	VII	446.248	300.0	0.3	NIST	L10359
42.06	Mo	VII	446.79	300.0	0.3	NIST	L10359
42.06	Mo	VII	447.983	10.0	0.01	NIST	L10359
42.06	Mo	VII	448.411	60.0	0.06	NIST	L10359
42.06	Mo	VII	450.321	150.0	0.15	NIST	L10359
42.06	Mo	VII	450.742	40.0	0.04	NIST	L10359
42.06	Mo	VII	450.922	300.0	0.3	NIST	L10359
42.06	Mo	VII	455.852	100.0	0.1	NIST	L10359
42.06	Mo	VII	457.223	300.0	0.3	NIST	L10359
42.06	Mo	VII	462.675	80.0	0.08	NIST	L10359
42.06	Mo	VII	463.105	70.0	0.07	NIST	L10359
42.06	Mo	VII	463.553	50.0	0.05	NIST	L10359
42.06	Mo	VII	466.198	125.0	0.125	NIST	L10359
42.06	Mo	VII	466.29	150.0	0.15	NIST	L10359
42.06	Mo	VII	469.711	90.0	0.09	NIST	L10359
42.06	Mo	VII	470.173	250.0	0.25	NIST	L10359
42.06	Mo	VII	470.719	250.0	0.25	NIST	L10359
42.06	Mo	VII	476.181	200.0	0.2	NIST	L10359
42.06	Mo	VII	482.917	80.0	0.08	NIST	L10359
42.06	Mo	VII	483.166	50.0	0.05	NIST	L10359
42.06	Mo	VII	484.09	200.0	0.2	NIST	L10359
42.06	Mo	VII	484.581	90.0	0.09	NIST	L10359
42.06	Mo	VII	488.05	80.0	0.08	NIST	L10359
42.06	Mo	VII	489.231	150.0	0.15	NIST	L10359
42.06	Mo	VII	489.731	100.0	0.1	NIST	L10359
42.06	Mo	VII	492.225	100.0	0.1	NIST	L10359
42.06	Mo	VII	492.731	100.0	0.1	NIST	L10359
42.06	Mo	VII	497.009	80.0	0.08	NIST	L10359
42.06	Mo	VII	498.099	2.0	0.002	NIST	L10359
42.06	Mo	VII	498.286	120.0	0.12	NIST	L10359
42.06	Mo	VII	498.398	40.0	0.04	NIST	L10359
42.06	Mo	VII	498.623	10.0	0.01	NIST	L10359
42.06	Mo	VII	503.845	100.0	0.1	NIST	L10359
42.06	Mo	VII	507.023	5.0	0.005	NIST	L10359
42.06	Mo	VII	507.63	20.0	0.02	NIST	L10359
42.06	Mo	VII	507.74	80.0	0.08	NIST	L10359
42.06	Mo	VII	513.26	8.0	0.008	NIST	L10359
42.06	Mo	VII	513.395	50.0	0.05	NIST	L10359
42.06	Mo	VII	525.435	2.0	0.002	NIST	L10213
42.06	Mo	VII	537.99	50.0	0.05	NIST	L10359
42.06	Mo	VII	541.374	90.0	0.09	NIST	L10359
42.06	Mo	VII	543.522	90.0	0.09	NIST	L10359
42.06	Mo	VII	544.183	80.0	0.08	NIST	L10359
42.06	Mo	VII	545.448	70.0	0.07	NIST	L10359
42.06	Mo	VII	547.426	5.0	0.005	NIST	L10359
42.06	Mo	VII	548.343	90.0	0.09	NIST	L10359
42.06	Mo	VII	549.553	50.0	0.05	NIST	L10359
42.06	Mo	VII	551.922	70.0	0.07	NIST	L10359
42.06	Mo	VII	553.514	90.0	0.09	NIST	L10359
42.06	Mo	VII	554.65	120.0	0.12	NIST	L10359
42.06	Mo	VII	555.742	90.0	0.09	NIST	L10359
42.06	Mo	VII	557.052	50.0	0.05	NIST	L10359
42.06	Mo	VII	559.569	10.0	0.01	NIST	L10359
42.06	Mo	VII	560.157	9.0	0.009	NIST	L10359
42.06	Mo	VII	561.221	5.0	0.005	NIST	L10213
42.06	Mo	VII	578.8	60.0	0.06	NIST	L10359
42.06	Mo	VII	583.723	60.0	0.06	NIST	L10359
42.06	Mo	VII	587.147	40.0	0.04	NIST	L10359
42.06	Mo	VII	590.65	50.0	0.05	NIST	L10359
42.06	Mo	VII	595.932	10.0	0.01	NIST	L10359
42.06	Mo	VII	597.024	200.0	0.2	NIST	L10359
42.06	Mo	VII	600.32	90.0	0.09	NIST	L10359
42.06	Mo	VII	615.002	10.0	0.01	NIST	L10359
42.06	Mo	VII	617.315	90.0	0.09	NIST	L10359
42.06	Mo	VII	617.573	70.0	0.07	NIST	L10359
42.06	Mo	VII	620.324	50.0	0.05	NIST	L10359
42.06	Mo	VII	622.02	80.0	0.08	NIST	L10359
42.06	Mo	VII	622.187	30.0	0.03	NIST	L10359
42.06	Mo	VII	624.069	80.0	0.08	NIST	L10359
42.06	Mo	VII	638.922	90.0	0.09	NIST	L10359
42.06	Mo	VII	642.394	80.0	0.08	NIST	L10359
42.06	Mo	VII	645.417	80.0	0.08	NIST	L10359
42.06	Mo	VII	647.484	5.0	0.005	NIST	L10359
42.06	Mo	VII	648.934	60.0	0.06	NIST	L10359
42.06	Mo	VII	653.037	80.0	0.08	NIST	L10359
42.06	Mo	VII	655.174	70.0	0.07	NIST	L10359
42.06	Mo	VII	660.477	90.0	0.09	NIST	L10359
42.06	Mo	VII	666.191	3.0	0.003	NIST	L10359
42.06	Mo	VII	674.419	90.0	0.09	NIST	L10359
42.06	Mo	VII	674.944	50.0	0.05	NIST	L10359
42.06	Mo	VII	677.709	40.0	0.04	NIST	L10359
42.06	Mo	VII	682.586	3.0	0.003	NIST	L10359
42.06	Mo	VII	693.169	70.0	0.07	NIST	L10359
42.06	Mo	VII	695.027	2.0	0.002	NIST	L10359
42.06	Mo	VII	695.17	30.0	0.03	NIST	L10359
42.06	Mo	VII	714.754	5.0	0.005	NIST	L10359
42.06	Mo	VII	724.677	40.0	0.04	NIST	L10359
42.06	Mo	VII	730.614	150.0	0.15	NIST	L10359
42.06	Mo	VII	744.575	10.0	0.01	NIST	L10359
42.06	Mo	VII	755.586	20.0	0.02	NIST	L10359
42.06	Mo	VII	765.995	40.0	0.04	NIST	L10359
42.06	Mo	VII	766.847	20.0	0.02	NIST	L10359
42.06	Mo	VII	777.147	60.0	0.06	NIST	L10359
42.06	Mo	VII	778.946	80.0	0.08	NIST	L10359
42.06	Mo	VII	792.282	40.0	0.04	NIST	L10359
42.06	Mo	VII	795.621	30.0	0.03	NIST	L10359
42.06	Mo	VII	806.573	70.0	0.07	NIST	L10359
42.06	Mo	VII	812.564	70.0	0.07	NIST	L10359
42.06	Mo	VII	819.019	70.0	0.07	NIST	L10359
42.06	Mo	VII	824.826	20.0	0.02	NIST	L10359
42.06	Mo	VII	826.546	80.0	0.08	NIST	L10359
42.06	Mo	VII	837.429	200.0	0.2	NIST	L10359
42.06	Mo	VII	839.451	150.0	0.15	NIST	L10359
42.06	Mo	VII	844.198	40.0	0.04	NIST	L10359
42.06	Mo	VII	848.282	50.0	0.05	NIST	L10359
42.06	Mo	VII	849.687	70.0	0.07	NIST	L10359
42.06	Mo	VII	850.388	100.0	0.1	NIST	L10359
42.06	Mo	VII	856.531	200.0	0.2	NIST	L10359
42.06	Mo	VII	859.956	200.0	0.2	NIST	L10359
42.06	Mo	VII	860.274	30.0	0.03	NIST	L10359
42.06	Mo	VII	863.763	40.0	0.04	NIST	L10359
42.06	Mo	VII	865.967	80.0	0.08	NIST	L10359
42.06	Mo	VII	867.03	150.0	0.15	NIST	L10359
42.06	Mo	VII	872.13	200.0	0.2	NIST	L10359
42.06	Mo	VII	874.485	70.0	0.07	NIST	L10359
42.06	Mo	VII	876.064	300.0	0.3	NIST	L10359
42.06	Mo	VII	877.057	100.0	0.1	NIST	L10359
42.06	Mo	VII	877.817	90.0	0.09	NIST	L10359
42.06	Mo	VII	879.332	200.0	0.2	NIST	L10359
42.06	Mo	VII	879.819	150.0	0.15	NIST	L10359
42.06	Mo	VII	880.244	400.0	0.4	NIST	L10359
42.06	Mo	VII	880.555	150.0	0.15	NIST	L10359
42.06	Mo	VII	881.96	200.0	0.2	NIST	L10359
42.06	Mo	VII	883.472	70.0	0.07	NIST	L10359
42.06	Mo	VII	884.994	150.0	0.15	NIST	L10359
42.06	Mo	VII	885.438	70.0	0.07	NIST	L10359
42.06	Mo	VII	886.537	125.0	0.125	NIST	L10359
42.06	Mo	VII	887.37	80.0	0.08	NIST	L10359
42.06	Mo	VII	887.93	200.0	0.2	NIST	L10359
42.06	Mo	VII	892.597	80.0	0.08	NIST	L10359
42.06	Mo	VII	892.709	150.0	0.15	NIST	L10359
42.06	Mo	VII	893.798	150.0	0.15	NIST	L10359
42.06	Mo	VII	898.03	80.0	0.08	NIST	L10359
42.06	Mo	VII	899.56	80.0	0.08	NIST	L10359
42.06	Mo	VII	901.404	100.0	0.1	NIST	L10359
42.06	Mo	VII	908.536	40.0	0.04	NIST	L10359
42.06	Mo	VII	909.405	400.0	0.4	NIST	L10359
42.06	Mo	VII	914.461	400.0	0.4	NIST	L10359
42.06	Mo	VII	916.099	400.0	0.4	NIST	L10359
42.06	Mo	VII	917.506	400.0	0.4	NIST	L10359
42.06	Mo	VII	921.92	120.0	0.12	NIST	L10359
42.06	Mo	VII	922.955	300.0	0.3	NIST	L10359
42.06	Mo	VII	923.56	400.0	0.4	NIST	L10359
42.06	Mo	VII	929.485	60.0	0.06	NIST	L10359
42.06	Mo	VII	932.162	160.0	0.16	NIST	L10359
42.06	Mo	VII	933.176	200.0	0.2	NIST	L10359
42.06	Mo	VII	952.684	30.0	0.03	NIST	L10359
42.06	Mo	VII	954.576	300.0	0.3	NIST	L10359
42.06	Mo	VII	959.316	300.0	0.3	NIST	L10359
42.06	Mo	VII	964.039	160.0	0.16	NIST	L10359
42.06	Mo	VII	968.436	200.0	0.2	NIST	L10359
42.06	Mo	VII	968.986	10.0	0.01	NIST	L10359
42.06	Mo	VII	978.985	120.0	0.12	NIST	L10359
42.06	Mo	VII	984.462	200.0	0.2	NIST	L10359
42.06	Mo	VII	1000.019	160.0	0.16	NIST	L10359
42.06	Mo	VII	1001.237	80.0	0.08	NIST	L10359
42.06	Mo	VII	1019.216	80.0	0.08	NIST	L10359
42.06	Mo	VII	1019.257	100.0	0.1	NIST	L10359
42.06	Mo	VII	1037.905	80.0	0.08	NIST	L10359
42.06	Mo	VII	1119.037	20.0	0.02	NIST	L10359
42.06	Mo	VII	1165.508	180.0	0.18	NIST	L10359
42.06	Mo	VII	1183.323	160.0	0.16	NIST	L10359
42.06	Mo	VII	1215.483	120.0	0.12	NIST	L10359
42.06	Mo	VII	1218.134	200.0	0.2	NIST	L10359
42.06	Mo	VII	1255.186	600.0	0.6	NIST	L10359
42.06	Mo	VII	1296.225	400.0	0.4	NIST	L10359
42.06	Mo	VII	1304.917	200.0	0.2	NIST	L10359
42.06	Mo	VII	1313.339	600.0	0.6	NIST	L10359
42.06	Mo	VII	1336.317	400.0	0.4	NIST	L10359
42.06	Mo	VII	1338.494	1000.0	1.0	NIST	L10359
42.06	Mo	VII	1341.162	800.0	0.8	NIST	L10359
42.06	Mo	VII	1367.897	600.0	0.6	NIST	L10359
42.06	Mo	VII	1421.413	400.0	0.4	NIST	L10359
42.06	Mo	VII	1422.278	400.0	0.4	NIST	L10359
42.06	Mo	VII	1427.755	400.0	0.4	NIST	L10359
42.06	Mo	VII	1467.588	20.0	0.02	NIST	L10359
42.06	Mo	VII	1476.458	60.0	0.06	NIST	L10359
42.06	Mo	VII	1497.421	100.0	0.1	NIST	L10359
42.06	Mo	VII	1550.435	100.0	0.1	NIST	L10359
42.06	Mo	VII	1590.568	120.0	0.12	NIST	L10359
42.06	Mo	VII	1640.158	200.0	0.2	NIST	L10359
42.06	Mo	VII	1834.721	120.0	0.12	NIST	L10359
42.06	Mo	VII	1946.563	100.0	0.1	NIST	L10359
42.06	Mo	VII	1960.154	60.0	0.06	NIST	L10359
42.06	Mo	VII	1963.73	40.0	0.04	NIST	L10359
42.06	Mo	VII	1969.475	120.0	0.12	NIST	L10359
42.06	Mo	VII	1979.814	40.0	0.04	NIST	L10359
42.06	Mo	VII	1991.915	80.0	0.08	NIST	L10359
42.06	Mo	VII	2016.88	160.0	0.16	NIST	L10359
42.06	Mo	VII	2033.572	200.0	0.2	NIST	L10359
42.06	Mo	VII	2078.973	60.0	0.06	NIST	L10359
42.06	Mo	VII	2114.018	50.0	0.05	NIST	L10359
42.06	Mo	VII	2150.819	10.0	0.01	NIST	L10359
42.06	Mo	VII	2151.039	160.0	0.16	NIST	L10359
