atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
42.12	Mo	XIII	53.551	10.0	0.0025	NIST	L5296
42.12	Mo	XIII	54.101	20.0	0.005	NIST	L5296
42.12	Mo	XIII	87.77	100.0	0.025	NIST	L6976
42.12	Mo	XIII	88.756	50.0	0.0125	NIST	L6976
42.12	Mo	XIII	91.187	10.0	0.0025	NIST	L6976
42.12	Mo	XIII	91.752	40.0	0.01	NIST	L6976
42.12	Mo	XIII	91.834	15.0	0.0037	NIST	L6976
42.12	Mo	XIII	93.493	75.0	0.0187	NIST	L6976
42.12	Mo	XIII	93.696	6.0	0.0015	NIST	L6976
42.12	Mo	XIII	121.597	150.0	0.0375	NIST	L6976
42.12	Mo	XIII	122.577	30.0	0.0075	NIST	L6976
42.12	Mo	XIII	122.746	300.0	0.075	NIST	L6976
42.12	Mo	XIII	123.182	30.0	0.0075	NIST	L6976
42.12	Mo	XIII	123.558	30.0	0.0075	NIST	L6976
42.12	Mo	XIII	124.541	30.0	0.0075	NIST	L6976
42.12	Mo	XIII	126.258	500.0	0.125	NIST	L6976
42.12	Mo	XIII	126.93	150.0	0.0375	NIST	L6976
42.12	Mo	XIII	127.575	35.0	0.0088	NIST	L6976
42.12	Mo	XIII	127.983	300.0	0.075	NIST	L6976
42.12	Mo	XIII	128.028	50.0	0.0125	NIST	L6976
42.12	Mo	XIII	134.428	500.0	0.125	NIST	L6976
42.12	Mo	XIII	134.763	15.0	0.0037	NIST	L6976
42.12	Mo	XIII	204.017	50.0	0.0125	NIST	L6976
42.12	Mo	XIII	204.059	70.0	0.0175	NIST	L6976
42.12	Mo	XIII	204.137	100.0	0.025	NIST	L6976
42.12	Mo	XIII	213.397	200.0	0.05	NIST	L6976
42.12	Mo	XIII	228.382	100.0	0.025	NIST	L10373
42.12	Mo	XIII	234.415	200.0	0.05	NIST	L6976
42.12	Mo	XIII	237.685	250.0	0.0625	NIST	L6976
42.12	Mo	XIII	238.737	100.0	0.025	NIST	L6976
42.12	Mo	XIII	243.983	200.0	0.05	NIST	L10373
42.12	Mo	XIII	249.306	100.0	0.025	NIST	L6976
42.12	Mo	XIII	260.923	300.0	0.075	NIST	L6976
42.12	Mo	XIII	326.741	100.0	0.025	NIST	L6976
42.12	Mo	XIII	340.909	4000.0	1.0	NIST	L6976
42.12	Mo	XIII	352.868	800.0	0.2	NIST	L6976
42.12	Mo	XIII	352.994	200.0	0.05	NIST	L6976
42.12	Mo	XIII	359.643	200.0	0.05	NIST	L6976
42.12	Mo	XIII	362.889	150.0	0.0375	NIST	L6976
42.12	Mo	XIII	375.243	75.0	0.0187	NIST	L6976
42.12	Mo	XIII	389.929	500.0	0.125	NIST	L6976
42.12	Mo	XIII	391.552	750.0	0.1875	NIST	L6976
42.12	Mo	XIII	395.4	500.0	0.125	NIST	L6976
42.12	Mo	XIII	404.357	150.0	0.0375	NIST	L10373
42.12	Mo	XIII	416.031	300.0	0.075	NIST	L10373
42.12	Mo	XIII	445.45	150.0	0.0375	NIST	L10373
42.12	Mo	XIII	451.585	100.0	0.025	NIST	L10373
42.12	Mo	XIII	453.09	150.0	0.0375	NIST	L6976
42.12	Mo	XIII	470.487	200.0	0.05	NIST	L10373
42.12	Mo	XIII	474.619	30.0	0.0075	NIST	L10373
42.12	Mo	XIII	480.82	100.0	0.025	NIST	L11283
42.12	Mo	XIII	518.92	200.0	0.05	NIST	L6976
