atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
42.14	Mo	XV	29.458	2.0	0.0133	NIST	L5187
42.14	Mo	XV	29.774	1.0	0.0067	NIST	L5187
42.14	Mo	XV	35.368	12.0	0.08	NIST	L5187
42.14	Mo	XV	36.06	7.0	0.0467	NIST	L5187
42.14	Mo	XV	36.376	3.0	0.02	NIST	L5187
42.14	Mo	XV	49.914	100.0	0.6667	NIST	L6172
42.14	Mo	XV	50.448	150.0	1.0	NIST	L6172
42.14	Mo	XV	50.928	2.0	0.0133	NIST	L6172
42.14	Mo	XV	347.339	45.0	0.3	NIST	L6987
42.14	Mo	XV	349.128	30.0	0.2	NIST	L6987
42.14	Mo	XV	353.421	30.0	0.2	NIST	L6987
42.14	Mo	XV	354.1	25.0	0.1667	NIST	L6987
42.14	Mo	XV	354.892	30.0	0.2	NIST	L6987
42.14	Mo	XV	355.054	15.0	0.1	NIST	L6987
42.14	Mo	XV	359.5	40.0	0.2667	NIST	L6987
42.14	Mo	XV	365.68	60.0	0.4	NIST	L6987
42.14	Mo	XV	365.924	100.0	0.6667	NIST	L6987
42.14	Mo	XV	379.133	30.0	0.2	NIST	L6987
42.14	Mo	XV	379.959	25.0	0.1667	NIST	L6987
42.14	Mo	XV	390.837	20.0	0.1333	NIST	L6987
42.14	Mo	XV	397.45	25.0	0.1667	NIST	L6987
42.14	Mo	XV	408.943	40.0	0.2667	NIST	L6987
42.14	Mo	XV	415.994	70.0	0.4667	NIST	L6987
42.14	Mo	XV	417.373	65.0	0.4333	NIST	L6987
42.14	Mo	XV	420.27	70.0	0.4667	NIST	L6987
42.14	Mo	XV	421.581	20.0	0.1333	NIST	L6987
42.14	Mo	XV	424.184	10.0	0.0667	NIST	L6987
