atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
42.15	Mo	XVI	32.061	15.0	0.0094	NIST	L6484
42.15	Mo	XVI	32.078	30.0	0.0187	NIST	L6484
42.15	Mo	XVI	32.323	40.0	0.025	NIST	L6484
42.15	Mo	XVI	32.691	20.0	0.0125	NIST	L6484
42.15	Mo	XVI	32.86	75.0	0.0469	NIST	L6484
42.15	Mo	XVI	32.916	50.0	0.0312	NIST	L6484
42.15	Mo	XVI	32.981	70.0	0.0437	NIST	L6484
42.15	Mo	XVI	33.067	25.0	0.0156	NIST	L6484
42.15	Mo	XVI	33.1	35.0	0.0219	NIST	L6484
42.15	Mo	XVI	33.12	35.0	0.0219	NIST	L6484
42.15	Mo	XVI	33.161	25.0	0.0156	NIST	L6484
42.15	Mo	XVI	33.185	25.0	0.0156	NIST	L6484
42.15	Mo	XVI	33.211	15.0	0.0094	NIST	L6484
42.15	Mo	XVI	33.235	10.0	0.0063	NIST	L6484
42.15	Mo	XVI	33.264	10.0	0.0063	NIST	L6484
42.15	Mo	XVI	33.293	45.0	0.0281	NIST	L6484
42.15	Mo	XVI	33.347	40.0	0.025	NIST	L6484
42.15	Mo	XVI	33.429	20.0	0.0125	NIST	L6484
42.15	Mo	XVI	33.479	25.0	0.0156	NIST	L6484
42.15	Mo	XVI	33.543	50.0	0.0312	NIST	L6484
42.15	Mo	XVI	33.591	45.0	0.0281	NIST	L6484
42.15	Mo	XVI	33.68	35.0	0.0219	NIST	L6484
42.15	Mo	XVI	33.74	35.0	0.0219	NIST	L6484
42.15	Mo	XVI	33.76	20.0	0.0125	NIST	L6484
42.15	Mo	XVI	33.8	30.0	0.0187	NIST	L6484
42.15	Mo	XVI	33.812	20.0	0.0125	NIST	L6484
42.15	Mo	XVI	33.853	10.0	0.0063	NIST	L6484
42.15	Mo	XVI	33.982	40.0	0.025	NIST	L6484
42.15	Mo	XVI	33.992	60.0	0.0375	NIST	L6484
42.15	Mo	XVI	43.324	60.0	0.0375	NIST	L5521
42.15	Mo	XVI	43.837	30.0	0.0187	NIST	L5521
42.15	Mo	XVI	44.509	100.0	0.0625	NIST	L5521
42.15	Mo	XVI	45.0	220.0	0.1375	NIST	L5521
42.15	Mo	XVI	45.25	30.0	0.0187	NIST	L5521
42.15	Mo	XVI	45.29	60.0	0.0375	NIST	L5521
42.15	Mo	XVI	45.483	220.0	0.1375	NIST	L5521
42.15	Mo	XVI	45.545	250.0	0.1562	NIST	L5521
42.15	Mo	XVI	45.553	300.0	0.1875	NIST	L5521
42.15	Mo	XVI	45.659	300.0	0.1875	NIST	L5521
42.15	Mo	XVI	45.756	700.0	0.4375	NIST	L5521
42.15	Mo	XVI	45.809	500.0	0.3125	NIST	L5521
42.15	Mo	XVI	45.853	170.0	0.1062	NIST	L5521
42.15	Mo	XVI	45.867	150.0	0.0938	NIST	L5521
42.15	Mo	XVI	45.887	200.0	0.125	NIST	L5521
42.15	Mo	XVI	45.938	500.0	0.3125	NIST	L5521
42.15	Mo	XVI	46.024	1600.0	1.0	NIST	L5521
42.15	Mo	XVI	46.043	1000.0	0.625	NIST	L5521
42.15	Mo	XVI	46.113	300.0	0.1875	NIST	L5521
42.15	Mo	XVI	46.131	600.0	0.375	NIST	L5521
42.15	Mo	XVI	46.197	110.0	0.0688	NIST	L5521
42.15	Mo	XVI	46.229	220.0	0.1375	NIST	L5521
42.15	Mo	XVI	46.291	650.0	0.4062	NIST	L5521
42.15	Mo	XVI	46.352	450.0	0.2812	NIST	L5521
42.15	Mo	XVI	46.378	260.0	0.1625	NIST	L5521
42.15	Mo	XVI	46.463	440.0	0.275	NIST	L5521
42.15	Mo	XVI	46.478	1000.0	0.625	NIST	L5521
42.15	Mo	XVI	46.573	750.0	0.4688	NIST	L5521
42.15	Mo	XVI	46.592	80.0	0.05	NIST	L5521
42.15	Mo	XVI	46.623	250.0	0.1562	NIST	L5521
42.15	Mo	XVI	46.712	130.0	0.0813	NIST	L5521
42.15	Mo	XVI	46.781	120.0	0.075	NIST	L5521
42.15	Mo	XVI	46.841	900.0	0.5625	NIST	L5521
42.15	Mo	XVI	46.859	1000.0	0.625	NIST	L5521
42.15	Mo	XVI	46.877	150.0	0.0938	NIST	L5521
42.15	Mo	XVI	47.068	90.0	0.0563	NIST	L5521
42.15	Mo	XVI	47.165	170.0	0.1062	NIST	L5521
42.15	Mo	XVI	47.186	140.0	0.0875	NIST	L5521
42.15	Mo	XVI	47.262	180.0	0.1125	NIST	L5521
42.15	Mo	XVI	47.302	20.0	0.0125	NIST	L5521
42.15	Mo	XVI	47.382	30.0	0.0187	NIST	L5521
42.15	Mo	XVI	47.871	150.0	0.0938	NIST	L5521
42.15	Mo	XVI	47.959	90.0	0.0563	NIST	L5521
42.15	Mo	XVI	51.909	70.0	0.0437	NIST	L11428
42.15	Mo	XVI	52.644	40.0	0.025	NIST	L11428
42.15	Mo	XVI	53.484	50.0	0.0312	NIST	L11428
42.15	Mo	XVI	54.088	100.0	0.0625	NIST	L11428
42.15	Mo	XVI	54.348	70.0	0.0437	NIST	L11428
42.15	Mo	XVI	69.596	15.0	0.0094	NIST	L5521
42.15	Mo	XVI	75.869	25.0	0.0156	NIST	L5521
42.15	Mo	XVI	77.456	8.0	0.005	NIST	L5521
