atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
07.01	N	II	644.634	285.0	0.285	NIST	L3513
07.01	N	II	644.837	360.0	0.36	NIST	L3513
07.01	N	II	645.178	450.0	0.45	NIST	L3513
07.01	N	II	660.286	360.0	0.36	NIST	L3513
07.01	N	II	671.016	170.0	0.17	NIST	L3513
07.01	N	II	671.386	285.0	0.285	NIST	L3513
07.01	N	II	671.63	150.0	0.15	NIST	L3513
07.01	N	II	671.773	160.0	0.16	NIST	L3513
07.01	N	II	672.001	170.0	0.17	NIST	L3513
07.01	N	II	746.984	285.0	0.285	NIST	L3513
07.01	N	II	775.965	650.0	0.65	NIST	L3513
07.01	N	II	915.612	450.0	0.45	NIST	L3513
07.01	N	II	915.962	450.0	0.45	NIST	L3513
07.01	N	II	916.012	550.0	0.55	NIST	L3513
07.01	N	II	916.701	650.0	0.65	NIST	L3513
07.01	N	II	1083.99	450.0	0.45	NIST	L3513
07.01	N	II	1084.58	600.0	0.6	NIST	L3513
07.01	N	II	1085.546	430.0	0.43	NIST	L3513
07.01	N	II	1085.701	650.0	0.65	NIST	L3513
07.01	N	II	2095.53	160.0	0.16	NIST	L3513
07.01	N	II	2096.2	70.0	0.07	NIST	L3513
07.01	N	II	2096.86	110.0	0.11	NIST	L3513
07.01	N	II	2130.18	110.0	0.11	NIST	L3513
07.01	N	II	2142.78	160.0	0.16	NIST	L3513
07.01	N	II	2206.09	160.0	0.16	NIST	L3513
07.01	N	II	2286.69	160.0	0.16	NIST	L3513
07.01	N	II	2288.44	110.0	0.11	NIST	L3513
07.01	N	II	2316.49	220.0	0.22	NIST	L3513
07.01	N	II	2316.69	160.0	0.16	NIST	L3513
07.01	N	II	2317.05	285.0	0.285	NIST	L3513
07.01	N	II	2461.27	160.0	0.16	NIST	L3513
07.01	N	II	2496.83	110.0	0.11	NIST	L3513
07.01	N	II	2496.97	70.0	0.07	NIST	L3513
07.01	N	II	2520.22	110.0	0.11	NIST	L3513
07.01	N	II	2520.79	160.0	0.16	NIST	L3513
07.01	N	II	2522.23	220.0	0.22	NIST	L3513
07.01	N	II	2590.94	110.0	0.11	NIST	L3513
07.01	N	II	2709.84	160.0	0.16	NIST	L3513
07.01	N	II	2799.22	110.0	0.11	NIST	L3513
07.01	N	II	2823.64	110.0	0.11	NIST	L3513
07.01	N	II	2885.27	160.0	0.16	NIST	L3513
07.01	N	II	3006.83	220.0	0.22	NIST	L3513
07.01	N	II	3437.15	360.0	0.36	NIST	L3513
07.01	N	II	3838.37	285.0	0.285	NIST	L3513
07.01	N	II	3919.0	360.0	0.36	NIST	L3513
07.01	N	II	3955.85	450.0	0.45	NIST	L3513
07.01	N	II	3995.0	1000.0	1.0	NIST	L3513
07.01	N	II	4035.08	360.0	0.36	NIST	L3513
07.01	N	II	4041.31	550.0	0.55	NIST	L3513
07.01	N	II	4043.53	360.0	0.36	NIST	L3513
07.01	N	II	4176.16	285.0	0.285	NIST	L3513
07.01	N	II	4227.74	285.0	0.285	NIST	L3513
07.01	N	II	4236.91	285.0	0.285	NIST	L3513
07.01	N	II	4237.05	220.0	0.22	NIST	L3513
07.01	N	II	4241.78	450.0	0.45	NIST	L3513
07.01	N	II	4432.74	285.0	0.285	NIST	L3513
07.01	N	II	4447.03	650.0	0.65	NIST	L3513
07.01	N	II	4530.41	360.0	0.36	NIST	L3513
07.01	N	II	4601.48	550.0	0.55	NIST	L3513
07.01	N	II	4607.16	450.0	0.45	NIST	L3513
07.01	N	II	4613.87	360.0	0.36	NIST	L3513
07.01	N	II	4621.39	450.0	0.45	NIST	L3513
07.01	N	II	4630.54	870.0	0.87	NIST	L3513
07.01	N	II	4643.08	550.0	0.55	NIST	L3513
07.01	N	II	4788.13	285.0	0.285	NIST	L3513
07.01	N	II	4803.29	450.0	0.45	NIST	L3513
07.01	N	II	4895.11	285.0	0.285	NIST	L3513
07.01	N	II	4987.37	285.0	0.285	NIST	L3513
07.01	N	II	4994.36	450.0	0.45	NIST	L3513
07.01	N	II	5001.48	650.0	0.65	NIST	L3513
07.01	N	II	5002.7	360.0	0.36	NIST	L3513
07.01	N	II	5005.15	870.0	0.87	NIST	L3513
07.01	N	II	5007.32	550.0	0.55	NIST	L3513
07.01	N	II	5010.62	450.0	0.45	NIST	L3513
07.01	N	II	5016.39	360.0	0.36	NIST	L3513
07.01	N	II	5025.66	360.0	0.36	NIST	L3513
07.01	N	II	5045.1	550.0	0.55	NIST	L3513
07.01	N	II	5495.67	450.0	0.45	NIST	L3513
07.01	N	II	5535.36	285.0	0.285	NIST	L3513
07.01	N	II	5666.63	650.0	0.65	NIST	L3513
07.01	N	II	5676.02	550.0	0.55	NIST	L3513
07.01	N	II	5679.56	870.0	0.87	NIST	L3513
07.01	N	II	5686.21	450.0	0.45	NIST	L3513
07.01	N	II	5710.77	450.0	0.45	NIST	L3513
07.01	N	II	5747.3	285.0	0.285	NIST	L3513
07.01	N	II	5927.81	360.0	0.36	NIST	L3513
07.01	N	II	5931.78	550.0	0.55	NIST	L3513
07.01	N	II	5940.24	285.0	0.285	NIST	L3513
07.01	N	II	5941.65	650.0	0.65	NIST	L3513
07.01	N	II	5952.39	285.0	0.285	NIST	L3513
07.01	N	II	6167.76	285.0	0.285	NIST	L3513
07.01	N	II	6379.62	360.0	0.36	NIST	L3513
07.01	N	II	6482.05	750.0	0.75	NIST	L3513
07.01	N	II	6610.56	750.0	0.75	NIST	L3513
07.01	N	II	7762.24	450.0	0.45	NIST	L3513
07.01	N	II	8438.74	550.0	0.55	NIST	L3513
07.01	N	II	8676.08	220.0	0.22	NIST	L3513
07.01	N	II	8687.43	110.0	0.11	NIST	L3513
07.01	N	II	8699.0	110.0	0.11	NIST	L3513
07.01	N	II	8710.54	160.0	0.16	NIST	L3513
07.01	N	II	9865.41	160.0	0.16	NIST	L3513
07.01	N	II	9868.21	110.0	0.11	NIST	L3513
07.01	N	II	9887.39	160.0	0.16	NIST	L3513
07.01	N	II	9891.09	220.0	0.22	NIST	L3513
07.01	N	II	9961.86	160.0	0.16	NIST	L3513
07.01	N	II	9969.34	220.0	0.22	NIST	L3513
07.01	N	II	10023.27	285.0	0.285	NIST	L3513
07.01	N	II	10035.45	220.0	0.22	NIST	L3513
07.01	N	II	10065.15	220.0	0.22	NIST	L3513
07.01	N	II	10070.12	160.0	0.16	NIST	L3513
07.01	N	II	10126.27	110.0	0.11	NIST	L3513
