atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
11.06	Na	VII	62.725	10.0	0.005	NIST	L7429
11.06	Na	VII	63.185	10.0	0.005	NIST	L7429
11.06	Na	VII	63.227	10.0	0.005	NIST	L7429
11.06	Na	VII	63.361	10.0	0.005	NIST	L7429
11.06	Na	VII	63.442	10.0	0.005	NIST	L7429
11.06	Na	VII	63.778	10.0	0.005	NIST	L7429
11.06	Na	VII	64.113	10.0	0.005	NIST	L7429
11.06	Na	VII	64.904	10.0	0.005	NIST	L7429
11.06	Na	VII	65.388	100.0	0.05	NIST	L7429
11.06	Na	VII	65.474	100.0	0.05	NIST	L7429
11.06	Na	VII	67.826	100.0	0.05	NIST	L7429
11.06	Na	VII	67.877	100.0	0.05	NIST	L7429
11.06	Na	VII	67.912	200.0	0.1	NIST	L7429
11.06	Na	VII	68.422	10.0	0.005	NIST	L7429
11.06	Na	VII	68.519	100.0	0.05	NIST	L7429
11.06	Na	VII	68.866	10.0	0.005	NIST	L7429
11.06	Na	VII	68.908	100.0	0.05	NIST	L7429
11.06	Na	VII	69.314	10.0	0.005	NIST	L7429
11.06	Na	VII	69.395	10.0	0.005	NIST	L7429
11.06	Na	VII	72.02	100.0	0.05	NIST	L7429
11.06	Na	VII	72.079	100.0	0.05	NIST	L7429
11.06	Na	VII	72.865	200.0	0.1	NIST	L7429
11.06	Na	VII	74.097	100.0	0.05	NIST	L7429
11.06	Na	VII	74.18	200.0	0.1	NIST	L7429
11.06	Na	VII	74.217	200.0	0.1	NIST	L7429
11.06	Na	VII	74.255	300.0	0.15	NIST	L7429
11.06	Na	VII	74.268	300.0	0.15	NIST	L7429
11.06	Na	VII	74.861	300.0	0.15	NIST	L7429
11.06	Na	VII	74.98	300.0	0.15	NIST	L7429
11.06	Na	VII	76.501	10.0	0.005	NIST	L7429
11.06	Na	VII	76.565	10.0	0.005	NIST	L7429
11.06	Na	VII	76.827	10.0	0.005	NIST	L7429
11.06	Na	VII	76.862	10.0	0.005	NIST	L7429
11.06	Na	VII	77.353	100.0	0.05	NIST	L7429
11.06	Na	VII	78.459	10.0	0.005	NIST	L7429
11.06	Na	VII	78.771	10.0	0.005	NIST	L7429
11.06	Na	VII	78.907	300.0	0.15	NIST	L7429
11.06	Na	VII	78.982	200.0	0.1	NIST	L7429
11.06	Na	VII	79.477	200.0	0.1	NIST	L7429
11.06	Na	VII	79.571	100.0	0.05	NIST	L7429
11.06	Na	VII	79.761	10.0	0.005	NIST	L7429
11.06	Na	VII	79.786	10.0	0.005	NIST	L7429
11.06	Na	VII	79.893	300.0	0.15	NIST	L7429
11.06	Na	VII	80.008	300.0	0.15	NIST	L7429
11.06	Na	VII	80.133	10.0	0.005	NIST	L7429
11.06	Na	VII	80.174	10.0	0.005	NIST	L7429
11.06	Na	VII	80.245	100.0	0.05	NIST	L7429
11.06	Na	VII	81.43	100.0	0.05	NIST	L7429
11.06	Na	VII	81.498	200.0	0.1	NIST	L7429
11.06	Na	VII	81.855	400.0	0.2	NIST	L7429
11.06	Na	VII	82.636	10.0	0.005	NIST	L7429
11.06	Na	VII	82.685	10.0	0.005	NIST	L7429
11.06	Na	VII	84.221	400.0	0.2	NIST	L7429
11.06	Na	VII	84.832	10.0	0.005	NIST	L7429
11.06	Na	VII	85.26	300.0	0.15	NIST	L7429
11.06	Na	VII	85.297	300.0	0.15	NIST	L7429
11.06	Na	VII	85.458	400.0	0.2	NIST	L7429
11.06	Na	VII	86.596	400.0	0.2	NIST	L7429
11.06	Na	VII	86.652	500.0	0.25	NIST	L7429
11.06	Na	VII	86.758	300.0	0.15	NIST	L7429
11.06	Na	VII	87.141	100.0	0.05	NIST	L7429
11.06	Na	VII	87.471	10.0	0.005	NIST	L7429
11.06	Na	VII	88.698	200.0	0.1	NIST	L7429
11.06	Na	VII	88.747	300.0	0.15	NIST	L7429
11.06	Na	VII	88.865	400.0	0.2	NIST	L7429
11.06	Na	VII	88.914	200.0	0.1	NIST	L7429
11.06	Na	VII	90.173	100.0	0.05	NIST	L7429
11.06	Na	VII	90.252	400.0	0.2	NIST	L7429
11.06	Na	VII	90.83	10.0	0.005	NIST	L7429
11.06	Na	VII	91.064	200.0	0.1	NIST	L7429
11.06	Na	VII	92.003	500.0	0.25	NIST	L7429
11.06	Na	VII	92.774	200.0	0.1	NIST	L7429
11.06	Na	VII	92.809	100.0	0.05	NIST	L7429
11.06	Na	VII	92.843	100.0	0.05	NIST	L7429
11.06	Na	VII	92.883	100.0	0.05	NIST	L7429
11.06	Na	VII	92.93	200.0	0.1	NIST	L7429
11.06	Na	VII	92.976	400.0	0.2	NIST	L7429
11.06	Na	VII	93.393	400.0	0.2	NIST	L7429
11.06	Na	VII	93.434	400.0	0.2	NIST	L7429
11.06	Na	VII	93.486	500.0	0.25	NIST	L7429
11.06	Na	VII	93.528	100.0	0.05	NIST	L7429
11.06	Na	VII	94.02	10.0	0.005	NIST	L7429
11.06	Na	VII	94.288	600.0	0.3	NIST	L7429
11.06	Na	VII	94.468	700.0	0.35	NIST	L7429
11.06	Na	VII	96.845	100.0	0.05	NIST	L7429
11.06	Na	VII	96.872	200.0	0.1	NIST	L7429
11.06	Na	VII	96.922	300.0	0.15	NIST	L7429
11.06	Na	VII	97.79	100.0	0.05	NIST	L7429
11.06	Na	VII	97.907	200.0	0.1	NIST	L7429
11.06	Na	VII	98.016	100.0	0.05	NIST	L7429
11.06	Na	VII	98.08	300.0	0.15	NIST	L7429
11.06	Na	VII	98.188	300.0	0.15	NIST	L7429
11.06	Na	VII	98.378	300.0	0.15	NIST	L7429
11.06	Na	VII	98.394	300.0	0.15	NIST	L7429
11.06	Na	VII	99.421	400.0	0.2	NIST	L7429
11.06	Na	VII	99.556	400.0	0.2	NIST	L7429
11.06	Na	VII	99.68	100.0	0.05	NIST	L7429
11.06	Na	VII	100.718	200.0	0.1	NIST	L7429
11.06	Na	VII	101.785	300.0	0.15	NIST	L7429
11.06	Na	VII	101.816	300.0	0.15	NIST	L7429
11.06	Na	VII	102.226	100.0	0.05	NIST	L7429
11.06	Na	VII	102.39	100.0	0.05	NIST	L7429
11.06	Na	VII	102.448	10.0	0.005	NIST	L7429
11.06	Na	VII	103.354	100.0	0.05	NIST	L7429
11.06	Na	VII	103.4	10.0	0.005	NIST	L7429
11.06	Na	VII	103.779	300.0	0.15	NIST	L7429
11.06	Na	VII	103.842	200.0	0.1	NIST	L7429
11.06	Na	VII	103.891	400.0	0.2	NIST	L7429
11.06	Na	VII	104.0	200.0	0.1	NIST	L7429
11.06	Na	VII	104.036	220.0	0.11	NIST	L7429
11.06	Na	VII	104.871	200.0	0.1	NIST	L7429
11.06	Na	VII	104.955	300.0	0.15	NIST	L7429
11.06	Na	VII	105.111	300.0	0.15	NIST	L7429
11.06	Na	VII	105.205	200.0	0.1	NIST	L7429
11.06	Na	VII	105.354	400.0	0.2	NIST	L7429
11.06	Na	VII	107.061	300.0	0.15	NIST	L7429
11.06	Na	VII	107.093	300.0	0.15	NIST	L7429
