atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
10.02	Ne	III	204.2	4.0	0.0013	NIST	L11606
10.02	Ne	III	204.5	12.0	0.004	NIST	L11606
10.02	Ne	III	204.8	4.0	0.0013	NIST	L11606
10.02	Ne	III	205.3	6.0	0.002	NIST	L11606
10.02	Ne	III	206.4	3.0	0.001	NIST	L11606
10.02	Ne	III	206.8	4.0	0.0013	NIST	L11606
10.02	Ne	III	208.4	2.0	0.0007	NIST	L11606
10.02	Ne	III	208.7	14.0	0.0047	NIST	L11606
10.02	Ne	III	208.9	12.0	0.004	NIST	L11606
10.02	Ne	III	211.5	2.0	0.0007	NIST	L11606
10.02	Ne	III	212.2	5.0	0.0017	NIST	L11606
10.02	Ne	III	212.5	9.0	0.003	NIST	L11606
10.02	Ne	III	215.5	10.0	0.0033	NIST	L11606
10.02	Ne	III	215.8	5.0	0.0017	NIST	L11606
10.02	Ne	III	217.337	4.0	0.0013	NIST	L3347
10.02	Ne	III	217.64	3.0	0.001	NIST	L3347
10.02	Ne	III	217.777	3.0	0.001	NIST	L3347
10.02	Ne	III	218.131	5.0	0.0017	NIST	L3347
10.02	Ne	III	218.184	2.0	0.0007	NIST	L3347
10.02	Ne	III	218.343	3.0	0.001	NIST	L3347
10.02	Ne	III	218.483	4.0	0.0013	NIST	L3347
10.02	Ne	III	218.643	5.0	0.0017	NIST	L3347
10.02	Ne	III	218.766	1.0	0.0003	NIST	L3347
10.02	Ne	III	219.6	3.0	0.001	NIST	L11606
10.02	Ne	III	223.1	8.0	0.0027	NIST	L11606
10.02	Ne	III	223.4	6.0	0.002	NIST	L11606
10.02	Ne	III	223.6	2.0	0.0007	NIST	L11606
10.02	Ne	III	227.5	12.0	0.004	NIST	L11606
10.02	Ne	III	227.8	8.0	0.0027	NIST	L11606
10.02	Ne	III	228.9	6.0	0.002	NIST	L11606
10.02	Ne	III	229.2	4.0	0.0013	NIST	L11606
10.02	Ne	III	230.0	2.0	0.0007	NIST	L11606
10.02	Ne	III	230.3	6.0	0.002	NIST	L11606
10.02	Ne	III	231.3	4.0	0.0013	NIST	L11606
10.02	Ne	III	235.0	1.0	0.0003	NIST	L11606
10.02	Ne	III	238.2	3.0	0.001	NIST	L11606
10.02	Ne	III	238.6	2.0	0.0007	NIST	L11606
10.02	Ne	III	240.9	18.0	0.006	NIST	L11606
10.02	Ne	III	241.6	14.0	0.0047	NIST	L11606
