atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
28.01	Ni	II	1317.22	500.0	0.0833	NIST	L897
28.01	Ni	II	1335.2	400.0	0.0667	NIST	L897
28.01	Ni	II	1370.14	500.0	0.0833	NIST	L897
28.01	Ni	II	1741.55	1000.0	0.1667	NIST	L897
28.01	Ni	II	1748.28	500.0	0.0833	NIST	L897
28.01	Ni	II	2165.55	1000.0	0.1667	NIST	L897
28.01	Ni	II	2169.1	2000.0	0.3333	NIST	L897
28.01	Ni	II	2174.67	2000.0	0.3333	NIST	L897
28.01	Ni	II	2175.15	1500.0	0.25	NIST	L897
28.01	Ni	II	2177.09	500.0	0.0833	NIST	L897
28.01	Ni	II	2177.36	400.0	0.0667	NIST	L897
28.01	Ni	II	2179.35	400.0	0.0667	NIST	L897
28.01	Ni	II	2180.47	800.0	0.1333	NIST	L897
28.01	Ni	II	2184.6	800.0	0.1333	NIST	L897
28.01	Ni	II	2185.5	2500.0	0.4167	NIST	L897
28.01	Ni	II	2192.09	3000.0	0.5	NIST	L897
28.01	Ni	II	2201.41	600.0	0.1	NIST	L897
28.01	Ni	II	2205.55	5000.0	0.8333	NIST	L897
28.01	Ni	II	2206.72	4000.0	0.6667	NIST	L897
28.01	Ni	II	2216.48	6000.0	1.0	NIST	L897
28.01	Ni	II	2220.4	800.0	0.1333	NIST	L897
28.01	Ni	II	2221.06	500.0	0.0833	NIST	L897
28.01	Ni	II	2222.96	900.0	0.15	NIST	L897
28.01	Ni	II	2242.68	500.0	0.0833	NIST	L897
28.01	Ni	II	2253.85	500.0	0.0833	NIST	L897
28.01	Ni	II	2264.46	1000.0	0.1667	NIST	L897
28.01	Ni	II	2270.21	2000.0	0.3333	NIST	L897
28.01	Ni	II	2277.28	800.0	0.1333	NIST	L897
28.01	Ni	II	2278.32	400.0	0.0667	NIST	L897
28.01	Ni	II	2278.77	800.0	0.1333	NIST	L897
28.01	Ni	II	2287.65	500.0	0.0833	NIST	L897
28.01	Ni	II	2296.55	400.0	0.0667	NIST	L897
28.01	Ni	II	2297.14	400.0	0.0667	NIST	L897
28.01	Ni	II	2303.0	1000.0	0.1667	NIST	L897
28.01	Ni	II	2316.04	1000.0	0.1667	NIST	L897
28.01	Ni	II	2319.75	500.0	0.0833	NIST	L897
28.01	Ni	II	2334.58	500.0	0.0833	NIST	L897
28.01	Ni	II	2341.2	500.0	0.0833	NIST	L897
28.01	Ni	II	2375.42	1000.0	0.1667	NIST	L897
28.01	Ni	II	2394.52	1000.0	0.1667	NIST	L897
28.01	Ni	II	2416.13	2000.0	0.3333	NIST	L897
28.01	Ni	II	2437.89	500.0	0.0833	NIST	L897
28.01	Ni	II	2510.87	500.0	0.0833	NIST	L897
28.01	Ni	II	2565.92	500.0	0.0833	NIST	L897
28.01	Ni	II	2606.26	500.0	0.0833	NIST	L897
28.01	Ni	II	2609.94	500.0	0.0833	NIST	L897
28.01	Ni	II	2615.06	500.0	0.0833	NIST	L897
28.01	Ni	II	2864.02	500.0	0.0833	NIST	L897
28.01	Ni	II	3292.87	400.0	0.0667	NIST	L897
28.01	Ni	II	3297.6	500.0	0.0833	NIST	L897
28.01	Ni	II	3305.71	400.0	0.0667	NIST	L897
28.01	Ni	II	3331.88	2000.0	0.3333	NIST	L897
28.01	Ni	II	3335.64	400.0	0.0667	NIST	L897
28.01	Ni	II	3338.09	500.0	0.0833	NIST	L897
28.01	Ni	II	3348.84	500.0	0.0833	NIST	L897
28.01	Ni	II	3349.24	500.0	0.0833	NIST	L897
28.01	Ni	II	3358.68	600.0	0.1	NIST	L897
28.01	Ni	II	3363.45	500.0	0.0833	NIST	L897
28.01	Ni	II	3378.97	500.0	0.0833	NIST	L897
28.01	Ni	II	3401.05	500.0	0.0833	NIST	L897
28.01	Ni	II	4992.02	500.0	0.0833	NIST	L897
28.01	Ni	II	8096.75	1000.0	0.1667	NIST	L897
28.01	Ni	II	8114.21	500.0	0.0833	NIST	L897
28.01	Ni	II	8121.48	700.0	0.1167	NIST	L897
28.01	Ni	II	9900.92	500.0	0.0833	NIST	L897
