atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
08.01	O	II	376.693	1.0	0.005	NIST	L3492
08.01	O	II	376.745	1.0	0.005	NIST	L3492
08.01	O	II	377.045	1.0	0.005	NIST	L3492
08.01	O	II	391.912	5.0	0.025	NIST	L3492
08.01	O	II	391.943	10.0	0.05	NIST	L3492
08.01	O	II	392.002	15.0	0.075	NIST	L3492
08.01	O	II	392.322	15.0	0.075	NIST	L3492
08.01	O	II	403.035	1.0	0.005	NIST	L3492
08.01	O	II	403.087	1.0	0.005	NIST	L3492
08.01	O	II	403.273	1.0	0.005	NIST	L3492
08.01	O	II	403.372	1.0	0.005	NIST	L3492
08.01	O	II	418.598	5.0	0.025	NIST	L3492
08.01	O	II	418.812	1.0	0.005	NIST	L3492
08.01	O	II	424.577	1.0	0.005	NIST	L3492
08.01	O	II	425.273	1.0	0.005	NIST	L3492
08.01	O	II	426.526	5.0	0.025	NIST	L3492
08.01	O	II	429.557	10.0	0.05	NIST	L3492
08.01	O	II	429.647	30.0	0.15	NIST	L3492
08.01	O	II	429.716	20.0	0.1	NIST	L3492
08.01	O	II	429.918	30.0	0.15	NIST	L3492
08.01	O	II	430.041	40.0	0.2	NIST	L3492
08.01	O	II	430.177	50.0	0.25	NIST	L3492
08.01	O	II	436.51	5.0	0.025	NIST	L3492
08.01	O	II	436.649	1.0	0.005	NIST	L3492
08.01	O	II	437.332	20.0	0.1	NIST	L3492
08.01	O	II	437.683	15.0	0.075	NIST	L3492
08.01	O	II	440.552	15.0	0.075	NIST	L3492
08.01	O	II	440.598	10.0	0.05	NIST	L3492
08.01	O	II	442.001	25.0	0.125	NIST	L3492
08.01	O	II	442.048	20.0	0.1	NIST	L3492
08.01	O	II	443.681	1.0	0.005	NIST	L3492
08.01	O	II	445.601	25.0	0.125	NIST	L3492
08.01	O	II	445.638	20.0	0.1	NIST	L3492
08.01	O	II	456.997	5.0	0.025	NIST	L3492
08.01	O	II	458.422	1.0	0.005	NIST	L3492
08.01	O	II	464.194	10.0	0.05	NIST	L3492
08.01	O	II	464.31	5.0	0.025	NIST	L3492
08.01	O	II	464.785	15.0	0.075	NIST	L3492
08.01	O	II	465.529	5.0	0.025	NIST	L3492
08.01	O	II	465.76	10.0	0.05	NIST	L3492
08.01	O	II	467.926	1.0	0.005	NIST	L3492
08.01	O	II	468.766	10.0	0.05	NIST	L3492
08.01	O	II	470.408	20.0	0.1	NIST	L3492
08.01	O	II	481.587	20.0	0.1	NIST	L3492
08.01	O	II	481.635	1.0	0.005	NIST	L3492
08.01	O	II	481.704	5.0	0.025	NIST	L3492
08.01	O	II	481.755	15.0	0.075	NIST	L3492
08.01	O	II	483.752	20.0	0.1	NIST	L3492
08.01	O	II	483.976	25.0	0.125	NIST	L3492
08.01	O	II	484.025	10.0	0.05	NIST	L3492
08.01	O	II	485.086	30.0	0.15	NIST	L3492
08.01	O	II	485.465	1.0	0.005	NIST	L3492
08.01	O	II	485.515	25.0	0.125	NIST	L3492
08.01	O	II	485.572	5.0	0.025	NIST	L3492
08.01	O	II	485.631	20.0	0.1	NIST	L3492
08.01	O	II	499.871	10.0	0.05	NIST	L3492
08.01	O	II	500.343	5.0	0.025	NIST	L3492
08.01	O	II	515.498	25.0	0.125	NIST	L3492
08.01	O	II	515.64	20.0	0.1	NIST	L3492
08.01	O	II	517.937	20.0	0.1	NIST	L3492
08.01	O	II	518.242	25.0	0.125	NIST	L3492
08.01	O	II	525.9267	15.0	0.075	NIST	L6915
08.01	O	II	537.8319	45.0	0.225	NIST	L6915
08.01	O	II	538.2636	50.0	0.25	NIST	L6915
08.01	O	II	538.318	35.0	0.175	NIST	L6915
08.01	O	II	539.0855	60.0	0.3	NIST	L6915
08.01	O	II	539.5489	50.0	0.25	NIST	L6915
08.01	O	II	539.8544	45.0	0.225	NIST	L6915
08.01	O	II	555.059	25.0	0.125	NIST	L3492
08.01	O	II	555.118	20.0	0.1	NIST	L3492
08.01	O	II	580.4058	20.0	0.1	NIST	L6915
08.01	O	II	580.9707	25.0	0.125	NIST	L6915
08.01	O	II	600.586	25.0	0.125	NIST	L6915
08.01	O	II	616.3029	35.0	0.175	NIST	L6915
08.01	O	II	616.378	20.0	0.1	NIST	L6915
08.01	O	II	617.0632	30.0	0.15	NIST	L6915
08.01	O	II	644.157	60.0	0.3	NIST	L6915
08.01	O	II	672.946	40.0	0.2	NIST	L6915
08.01	O	II	673.768	35.0	0.175	NIST	L6915
08.01	O	II	718.5036	85.0	0.425	NIST	L6915
08.01	O	II	718.5663	80.0	0.4	NIST	L6915
08.01	O	II	739.949	15.0	0.075	NIST	L3493
08.01	O	II	740.838	4.0	0.02	NIST	L3493
08.01	O	II	741.293	1.0	0.005	NIST	L3493
08.01	O	II	796.644	40.0	0.2	NIST	L6915
08.01	O	II	796.682	50.0	0.25	NIST	L6915
08.01	O	II	832.7587	100.0	0.5	NIST	L6915u17
08.01	O	II	833.3302	150.0	0.75	NIST	L6915u17
08.01	O	II	834.4655	200.0	1.0	NIST	L6915u17
08.01	O	II	1074.962	8.0	0.04	NIST	L10549
08.01	O	II	1083.139	25.0	0.125	NIST	L10549
08.01	O	II	1085.056	20.0	0.1	NIST	L10549
08.01	O	II	1086.022	18.0	0.09	NIST	L10549
08.01	O	II	1128.081	50.0	0.25	NIST	L10549
08.01	O	II	1129.251	40.0	0.2	NIST	L10549
08.01	O	II	1130.147	40.0	0.2	NIST	L10549
