atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
76.00	Os	I	2001.45	9600.0	0.331	NIST	L3475
76.00	Os	I	2003.73	13000.0	0.4483	NIST	L3475
76.00	Os	I	2010.15	17000.0	0.5862	NIST	L3475
76.00	Os	I	2018.14	29000.0	1.0	NIST	L3475
76.00	Os	I	2022.76	14000.0	0.4828	NIST	L3475
76.00	Os	I	2028.23	14000.0	0.4828	NIST	L3475
76.00	Os	I	2034.44	18000.0	0.6207	NIST	L3475
76.00	Os	I	2045.36	26000.0	0.8966	NIST	L3475
76.00	Os	I	2058.69	8600.0	0.2966	NIST	L3475
76.00	Os	I	2061.69	13000.0	0.4483	NIST	L3475
76.00	Os	I	2076.95	7200.0	0.2483	NIST	L3475
76.00	Os	I	2079.97	14000.0	0.4828	NIST	L3475
76.00	Os	I	2082.54	2900.0	0.1	NIST	L3475
76.00	Os	I	2089.03	2900.0	0.1	NIST	L3475
76.00	Os	I	2089.21	2900.0	0.1	NIST	L3475
76.00	Os	I	2097.6	6000.0	0.2069	NIST	L3475
76.00	Os	I	2100.63	5300.0	0.1828	NIST	L3475
76.00	Os	I	2117.66	2100.0	0.0724	NIST	L3475
76.00	Os	I	2117.96	4800.0	0.1655	NIST	L3475
76.00	Os	I	2123.84	1900.0	0.0655	NIST	L3475
76.00	Os	I	2137.11	5300.0	0.1828	NIST	L3475
76.00	Os	I	2154.59	2600.0	0.0897	NIST	L3475
76.00	Os	I	2157.84	1300.0	0.0448	NIST	L3475
76.00	Os	I	2158.53	1200.0	0.0414	NIST	L3475
76.00	Os	I	2166.9	3100.0	0.1069	NIST	L3475
76.00	Os	I	2167.75	1100.0	0.0379	NIST	L3475
76.00	Os	I	2171.65	2100.0	0.0724	NIST	L3475
76.00	Os	I	2184.68	960.0	0.0331	NIST	L3475
76.00	Os	I	2202.49	760.0	0.0262	NIST	L3475
76.00	Os	I	2227.98	600.0	0.0207	NIST	L3475
76.00	Os	I	2234.61	1100.0	0.0379	NIST	L3475
76.00	Os	I	2252.15	1300.0	0.0448	NIST	L3475
76.00	Os	I	2264.6	1400.0	0.0483	NIST	L3475
76.00	Os	I	2268.28	360.0	0.0124	NIST	L3475
76.00	Os	I	2270.17	960.0	0.0331	NIST	L3475
76.00	Os	I	2283.67	840.0	0.029	NIST	L3475
76.00	Os	I	2289.32	570.0	0.0197	NIST	L3475
76.00	Os	I	2297.31	380.0	0.0131	NIST	L3475
76.00	Os	I	2308.31	660.0	0.0228	NIST	L3475
76.00	Os	I	2320.18	550.0	0.019	NIST	L3475
76.00	Os	I	2323.98	310.0	0.0107	NIST	L3475
76.00	Os	I	2324.24	660.0	0.0228	NIST	L3475
76.00	Os	I	2326.99	330.0	0.0114	NIST	L3475
76.00	Os	I	2334.56	310.0	0.0107	NIST	L3475
76.00	Os	I	2338.63	430.0	0.0148	NIST	L3475
76.00	Os	I	2340.69	290.0	0.01	NIST	L3475
76.00	Os	I	2343.74	430.0	0.0148	NIST	L3475
76.00	Os	I	2345.75	260.0	0.009	NIST	L3475
76.00	Os	I	2347.38	430.0	0.0148	NIST	L3475
76.00	Os	I	2352.99	360.0	0.0124	NIST	L3475
76.00	Os	I	2356.92	240.0	0.0083	NIST	L3475
76.00	Os	I	2357.25	240.0	0.0083	NIST	L3475
76.00	Os	I	2362.41	310.0	0.0107	NIST	L3475
76.00	Os	I	2362.77	900.0	0.031	NIST	L3475
76.00	Os	I	2369.24	290.0	0.01	NIST	L3475
76.00	Os	I	2370.7	500.0	0.0172	NIST	L3475
76.00	Os	I	2371.18	480.0	0.0166	NIST	L3475
76.00	Os	I	2377.03	2600.0	0.0897	NIST	L3475
76.00	Os	I	2377.61	260.0	0.009	NIST	L3475
76.00	Os	I	2379.39	900.0	0.031	NIST	L3475
76.00	Os	I	2384.62	240.0	0.0083	NIST	L3475
76.00	Os	I	2387.29	1700.0	0.0586	NIST	L3475
76.00	Os	I	2394.29	330.0	0.0114	NIST	L3475
76.00	Os	I	2395.39	290.0	0.01	NIST	L3475
76.00	Os	I	2395.88	1100.0	0.0379	NIST	L3475
76.00	Os	I	2396.78	220.0	0.0076	NIST	L3475
76.00	Os	I	2401.13	960.0	0.0331	NIST	L3475
76.00	Os	I	2402.23	260.0	0.009	NIST	L3475
76.00	Os	I	2403.54	200.0	0.0069	NIST	L3475
76.00	Os	I	2403.85	330.0	0.0114	NIST	L3475
76.00	Os	I	2405.45	290.0	0.01	NIST	L3475
76.00	Os	I	2405.96	200.0	0.0069	NIST	L3475
76.00	Os	I	2408.67	360.0	0.0124	NIST	L3475
76.00	Os	I	2410.98	240.0	0.0083	NIST	L3475
76.00	Os	I	2414.52	290.0	0.01	NIST	L3475
76.00	Os	I	2417.99	530.0	0.0183	NIST	L3475
76.00	Os	I	2418.53	530.0	0.0183	NIST	L3475
76.00	Os	I	2424.56	500.0	0.0172	NIST	L3475
76.00	Os	I	2424.97	1400.0	0.0483	NIST	L3475
76.00	Os	I	2426.81	240.0	0.0083	NIST	L3475
76.00	Os	I	2431.19	380.0	0.0131	NIST	L3475
76.00	Os	I	2431.61	380.0	0.0131	NIST	L3475
76.00	Os	I	2446.02	360.0	0.0124	NIST	L3475
76.00	Os	I	2450.74	900.0	0.031	NIST	L3475
76.00	Os	I	2451.73	530.0	0.0183	NIST	L3475
76.00	Os	I	2453.9	530.0	0.0183	NIST	L3475
76.00	Os	I	2456.46	530.0	0.0183	NIST	L3475
76.00	Os	I	2461.42	1800.0	0.0621	NIST	L3475
76.00	Os	I	2472.28	290.0	0.01	NIST	L3475
76.00	Os	I	2474.78	290.0	0.01	NIST	L3475
76.00	Os	I	2476.84	900.0	0.031	NIST	L3475
76.00	Os	I	2482.43	360.0	0.0124	NIST	L3475
76.00	Os	I	2488.55	4500.0	0.1552	NIST	L3475
76.00	Os	I	2491.02	290.0	0.01	NIST	L3475
76.00	Os	I	2491.69	290.0	0.01	NIST	L3475
76.00	Os	I	2492.42	360.0	0.0124	NIST	L3475
76.00	Os	I	2498.41	2600.0	0.0897	NIST	L3475
76.00	Os	I	2499.92	330.0	0.0114	NIST	L3475
76.00	Os	I	2502.29	330.0	0.0114	NIST	L3475
76.00	Os	I	2504.39	500.0	0.0172	NIST	L3475
76.00	Os	I	2504.51	260.0	0.009	NIST	L3475
