atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
15.00	P	I	1372.033	15.0	0.0088	NIST	L5148
15.00	P	I	1373.5	15.0	0.0088	NIST	L5148
15.00	P	I	1374.732	10.0	0.0059	NIST	L5148
15.00	P	I	1377.08	15.0	0.0088	NIST	L5148
15.00	P	I	1377.937	15.0	0.0088	NIST	L5148
15.00	P	I	1379.429	25.0	0.0147	NIST	L5148
15.00	P	I	1381.469	25.0	0.0147	NIST	L5148
15.00	P	I	1381.637	15.0	0.0088	NIST	L5148
15.00	P	I	1671.07	140.0	0.0824	NIST	L5148
15.00	P	I	1671.51	100.0	0.0588	NIST	L5148
15.00	P	I	1671.68	180.0	0.1059	NIST	L5148
15.00	P	I	1672.035	140.0	0.0824	NIST	L5148
15.00	P	I	1672.474	140.0	0.0824	NIST	L5148
15.00	P	I	1674.591	600.0	0.3529	NIST	L5148
15.00	P	I	1679.695	600.0	0.3529	NIST	L5148
15.00	P	I	1685.976	140.0	0.0824	NIST	L5148
15.00	P	I	1694.028	100.0	0.0588	NIST	L5148
15.00	P	I	1694.486	100.0	0.0588	NIST	L5148
15.00	P	I	1706.376	100.0	0.0588	NIST	L5148
15.00	P	I	1707.553	100.0	0.0588	NIST	L5148
15.00	P	I	1774.951	600.0	0.3529	NIST	L5148
15.00	P	I	1782.838	500.0	0.2941	NIST	L5148
15.00	P	I	1787.656	400.0	0.2353	NIST	L5148
15.00	P	I	1834.801	140.0	0.0824	NIST	L5148
15.00	P	I	1847.165	140.0	0.0824	NIST	L5148
15.00	P	I	1849.82	100.0	0.0588	NIST	L5148
15.00	P	I	1851.194	140.0	0.0824	NIST	L5148
15.00	P	I	1852.069	100.0	0.0588	NIST	L5148
15.00	P	I	1858.886	500.0	0.2941	NIST	L5148
15.00	P	I	1859.393	400.0	0.2353	NIST	L5148
15.00	P	I	1864.348	140.0	0.0824	NIST	L5148
15.00	P	I	1905.481	180.0	0.1059	NIST	L5148
15.00	P	I	1906.403	140.0	0.0824	NIST	L5148
15.00	P	I	1907.665	280.0	0.1647	NIST	L5148
15.00	P	I	2023.489	280.0	0.1647	NIST	L5148
15.00	P	I	2024.516	180.0	0.1059	NIST	L5148
15.00	P	I	2032.432	400.0	0.2353	NIST	L5148
15.00	P	I	2033.477	400.0	0.2353	NIST	L5148
15.00	P	I	2135.465	400.0	0.2353	NIST	L5148
15.00	P	I	2136.182	400.0	0.2353	NIST	L5148
15.00	P	I	2149.145	400.0	0.2353	NIST	L5148
15.00	P	I	2152.94	280.0	0.1647	NIST	L5148
15.00	P	I	2154.08	500.0	0.2941	NIST	L5148
15.00	P	I	2235.732	180.0	0.1059	NIST	L5148
15.00	P	I	2533.976	750.0	0.4412	NIST	L5148
15.00	P	I	2535.603	950.0	0.5588	NIST	L5148
15.00	P	I	2553.262	750.0	0.4412	NIST	L5148
15.00	P	I	2554.915	500.0	0.2941	NIST	L5148
15.00	P	I	5079.381	100.0	0.0588	NIST	L5148
15.00	P	I	5098.221	100.0	0.0588	NIST	L5148
15.00	P	I	5100.974	100.0	0.0588	NIST	L5148
15.00	P	I	5109.628	140.0	0.0824	NIST	L5148
15.00	P	I	5154.844	140.0	0.0824	NIST	L5148
15.00	P	I	5162.29	180.0	0.1059	NIST	L5148
15.00	P	I	5293.539	140.0	0.0824	NIST	L5148
15.00	P	I	5345.851	180.0	0.1059	NIST	L5148
