atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
15.02	P	III	471.146	90.0	0.1385	NIST	L4134
15.02	P	III	484.278	90.0	0.1385	NIST	L4134
15.02	P	III	498.18	120.0	0.1846	NIST	L4134
15.02	P	III	569.853	200.0	0.3077	NIST	L4134
15.02	P	III	581.831	200.0	0.3077	NIST	L4134
15.02	P	III	844.646	200.0	0.3077	NIST	L4134
15.02	P	III	845.038	150.0	0.2308	NIST	L4134
15.02	P	III	845.664	250.0	0.3846	NIST	L4134
15.02	P	III	847.669	300.0	0.4615	NIST	L4134
15.02	P	III	848.016	200.0	0.3077	NIST	L4134
15.02	P	III	848.465	120.0	0.1846	NIST	L4134
15.02	P	III	848.639	150.0	0.2308	NIST	L4134
15.02	P	III	852.686	250.0	0.3846	NIST	L4134
15.02	P	III	855.624	350.0	0.5385	NIST	L4134
15.02	P	III	859.406	200.0	0.3077	NIST	L4134
15.02	P	III	859.652	500.0	0.7692	NIST	L4134
15.02	P	III	859.729	250.0	0.3846	NIST	L4134
15.02	P	III	913.971	300.0	0.4615	NIST	L4134
15.02	P	III	917.12	300.0	0.4615	NIST	L4134
15.02	P	III	918.665	350.0	0.5385	NIST	L4134
15.02	P	III	921.849	250.0	0.3846	NIST	L4134
15.02	P	III	997.999	200.0	0.3077	NIST	L4134
15.02	P	III	1003.598	250.0	0.3846	NIST	L4134
15.02	P	III	1334.808	500.0	0.7692	NIST	L4134
15.02	P	III	1344.327	650.0	1.0	NIST	L4134
15.02	P	III	1344.845	300.0	0.4615	NIST	L4134
15.02	P	III	1380.463	250.0	0.3846	NIST	L4134
15.02	P	III	1381.089	150.0	0.2308	NIST	L4134
15.02	P	III	1502.228	350.0	0.5385	NIST	L4134
15.02	P	III	1504.663	250.0	0.3846	NIST	L4134
15.02	P	III	1618.632	150.0	0.2308	NIST	L4134
15.02	P	III	1618.907	200.0	0.3077	NIST	L4134
15.02	P	III	2611.147	200.0	0.3077	NIST	L4134
15.02	P	III	2632.713	300.0	0.4615	NIST	L4134
15.02	P	III	2680.133	200.0	0.3077	NIST	L4134
15.02	P	III	2895.241	250.0	0.3846	NIST	L4134
15.02	P	III	3186.186	250.0	0.3846	NIST	L4134
15.02	P	III	3219.307	300.0	0.4615	NIST	L4134
15.02	P	III	3233.536	150.0	0.2308	NIST	L4134
15.02	P	III	3233.602	400.0	0.6154	NIST	L4134
15.02	P	III	3556.546	200.0	0.3077	NIST	L4134
15.02	P	III	3577.526	200.0	0.3077	NIST	L4134
15.02	P	III	3904.812	200.0	0.3077	NIST	L4134
15.02	P	III	3914.314	250.0	0.3846	NIST	L4134
15.02	P	III	3957.641	300.0	0.4615	NIST	L4134
15.02	P	III	3978.307	350.0	0.5385	NIST	L4134
15.02	P	III	4057.44	200.0	0.3077	NIST	L4134
15.02	P	III	4059.312	400.0	0.6154	NIST	L4134
15.02	P	III	4080.084	300.0	0.4615	NIST	L4134
15.02	P	III	4222.195	500.0	0.7692	NIST	L4134
15.02	P	III	4246.72	350.0	0.5385	NIST	L4134
15.02	P	III	4428.171	200.0	0.3077	NIST	L4134
15.02	P	III	4463.668	200.0	0.3077	NIST	L4134
15.02	P	III	4479.776	250.0	0.3846	NIST	L4134
15.02	P	III	6083.409	150.0	0.2308	NIST	L4134
15.02	P	III	6409.204	150.0	0.2308	NIST	L4134
15.02	P	III	6484.44	150.0	0.2308	NIST	L4134
15.02	P	III	6486.381	150.0	0.2308	NIST	L4134
15.02	P	III	6992.69	150.0	0.2308	NIST	L4134
15.02	P	III	8113.528	150.0	0.2308	NIST	L4134
