atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
46.00	Pd	I	2447.9058	1100.0	0.0458	NIST	L9430
46.00	Pd	I	2476.4127	1700.0	0.0708	NIST	L9430
46.00	Pd	I	2763.0899	1900.0	0.0792	NIST	L9430
46.00	Pd	I	2922.4922	520.0	0.0217	NIST	L9430
46.00	Pd	I	3002.65	650.0	0.0271	NIST	L9430
46.00	Pd	I	3009.7738	45.0	0.0019	NIST	L9430
46.00	Pd	I	3027.9084	1500.0	0.0625	NIST	L9430
46.00	Pd	I	3065.2986	1100.0	0.0458	NIST	L9430
46.00	Pd	I	3114.038	2600.0	0.1083	NIST	L9430
46.00	Pd	I	3142.81	270.0	0.0112	NIST	L3475
46.00	Pd	I	3242.6983	11000.0	0.4583	NIST	L9430
46.00	Pd	I	3251.6361	2700.0	0.1125	NIST	L9430
46.00	Pd	I	3258.7765	3500.0	0.1458	NIST	L9430
46.00	Pd	I	3287.248	460.0	0.0192	NIST	L9430
46.00	Pd	I	3302.1262	3600.0	0.15	NIST	L9430
46.00	Pd	I	3372.9943	5000.0	0.2083	NIST	L9430
46.00	Pd	I	3404.5764	24000.0	1.0	NIST	L9430
46.00	Pd	I	3421.2215	13000.0	0.5417	NIST	L9430
46.00	Pd	I	3433.4278	5000.0	0.2083	NIST	L9430
46.00	Pd	I	3441.3896	6400.0	0.2667	NIST	L9430
46.00	Pd	I	3460.7381	7700.0	0.3208	NIST	L9430
46.00	Pd	I	3481.1516	10000.0	0.4167	NIST	L9430
46.00	Pd	I	3489.77	2000.0	0.0833	NIST	L9430
46.00	Pd	I	3516.9438	12000.0	0.5	NIST	L9430
46.00	Pd	I	3553.0803	12000.0	0.5	NIST	L9430
46.00	Pd	I	3571.1489	4500.0	0.1875	NIST	L9430
46.00	Pd	I	3609.5457	20000.0	0.8333	NIST	L9430
46.00	Pd	I	3634.6884	20000.0	0.8333	NIST	L9430
46.00	Pd	I	3690.3368	5500.0	0.2292	NIST	L9430
46.00	Pd	I	3718.9062	1400.0	0.0583	NIST	L9430
46.00	Pd	I	3799.1867	1500.0	0.0625	NIST	L9430
46.00	Pd	I	3832.286	1500.0	0.0625	NIST	L9430
46.00	Pd	I	3894.1988	2200.0	0.0917	NIST	L9430
46.00	Pd	I	3958.6232	1500.0	0.0625	NIST	L9430
46.00	Pd	I	4087.3434	290.0	0.0121	NIST	L9430
46.00	Pd	I	4169.8388	90.0	0.0037	NIST	L9430
46.00	Pd	I	4212.9537	2500.0	0.1042	NIST	L9430
46.00	Pd	I	4473.5857	180.0	0.0075	NIST	L9430
46.00	Pd	I	4788.1874	55.0	0.0023	NIST	L9430
46.00	Pd	I	4817.5067	45.0	0.0019	NIST	L9430
46.00	Pd	I	4875.4253	35.0	0.0015	NIST	L9430
46.00	Pd	I	5110.809	55.0	0.0023	NIST	L9430
46.00	Pd	I	5117.0072	75.0	0.0031	NIST	L9430
46.00	Pd	I	5163.8404	160.0	0.0067	NIST	L9430
46.00	Pd	I	5234.861	55.0	0.0023	NIST	L9430
46.00	Pd	I	5295.6266	120.0	0.005	NIST	L9430
46.00	Pd	I	5312.5864	18.0	0.0008	NIST	L9430
46.00	Pd	I	5345.1045	15.0	0.0006	NIST	L9430
46.00	Pd	I	5395.2201	35.0	0.0015	NIST	L9430
46.00	Pd	I	5542.8067	55.0	0.0023	NIST	L9430
46.00	Pd	I	5547.0202	35.0	0.0015	NIST	L9430
46.00	Pd	I	5619.4632	27.0	0.0011	NIST	L9430
46.00	Pd	I	5642.7039	15.0	0.0006	NIST	L9430
46.00	Pd	I	5655.4365	14.0	0.0006	NIST	L9430
46.00	Pd	I	5670.0697	75.0	0.0031	NIST	L9430
46.00	Pd	I	5690.1283	11.0	0.0005	NIST	L9430
46.00	Pd	I	5695.0916	55.0	0.0023	NIST	L9430
46.00	Pd	I	5736.6171	18.0	0.0008	NIST	L9430
46.00	Pd	I	6774.5166	23.0	0.001	NIST	L9430
46.00	Pd	I	6784.4887	65.0	0.0027	NIST	L9430
46.00	Pd	I	6833.4456	4.0	0.0002	NIST	L9430
46.00	Pd	I	7016.446	11.0	0.0005	NIST	L9430
46.00	Pd	I	7310.053	13.0	0.0005	NIST	L9430
46.00	Pd	I	7368.095	75.0	0.0031	NIST	L9430
46.00	Pd	I	7391.9	27.0	0.0011	NIST	L9430
46.00	Pd	I	7486.908	16.0	0.0007	NIST	L9430
46.00	Pd	I	7763.97	120.0	0.005	NIST	L9430
46.00	Pd	I	7786.592	27.0	0.0011	NIST	L9430
46.00	Pd	I	7915.755	45.0	0.0019	NIST	L9430
46.00	Pd	I	7961.024	18.0	0.0008	NIST	L9430
46.00	Pd	I	8132.788	55.0	0.0023	NIST	L9430
46.00	Pd	I	8300.773	45.0	0.0019	NIST	L9430
46.00	Pd	I	8353.532	9.0	0.0004	NIST	L9430
46.00	Pd	I	8532.694	18.0	0.0008	NIST	L9430
46.00	Pd	I	8599.069	16.0	0.0007	NIST	L9430
46.00	Pd	I	8761.335	65.0	0.0027	NIST	L9430
