atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
78.05	Pt	VI	399.8386	272.0	0.1119	NIST	L19871
78.05	Pt	VI	402.9986	100.0	0.0411	NIST	L19871
78.05	Pt	VI	405.1754	104.0	0.0428	NIST	L19871
78.05	Pt	VI	405.7784	78.0	0.0321	NIST	L19871
78.05	Pt	VI	405.8173	76.0	0.0313	NIST	L19871
78.05	Pt	VI	408.4136	252.0	0.1037	NIST	L19871
78.05	Pt	VI	409.3211	26.0	0.0107	NIST	L19871
78.05	Pt	VI	409.7739	74.0	0.0304	NIST	L19871
78.05	Pt	VI	410.8713	36.0	0.0148	NIST	L19871
78.05	Pt	VI	411.429	75.0	0.0309	NIST	L19871
78.05	Pt	VI	411.7852	35.0	0.0144	NIST	L19871
78.05	Pt	VI	414.2907	197.0	0.081	NIST	L19871
78.05	Pt	VI	414.4401	307.0	0.1263	NIST	L19871
78.05	Pt	VI	414.9342	237.0	0.0975	NIST	L19871
78.05	Pt	VI	416.399	126.0	0.0518	NIST	L19871
78.05	Pt	VI	416.4375	55.0	0.0226	NIST	L19871
78.05	Pt	VI	416.691	119.0	0.049	NIST	L19871
78.05	Pt	VI	416.7969	127.0	0.0522	NIST	L19871
78.05	Pt	VI	416.8937	294.0	0.1209	NIST	L19871
78.05	Pt	VI	417.2159	79.0	0.0325	NIST	L19871
78.05	Pt	VI	417.2768	80.0	0.0329	NIST	L19871
78.05	Pt	VI	417.3214	111.0	0.0457	NIST	L19871
78.05	Pt	VI	418.4603	160.0	0.0658	NIST	L19871
78.05	Pt	VI	419.1662	380.0	0.1563	NIST	L19871
78.05	Pt	VI	420.3606	79.0	0.0325	NIST	L19871
78.05	Pt	VI	420.599	386.0	0.1588	NIST	L19871
78.05	Pt	VI	420.7726	50.0	0.0206	NIST	L19871
78.05	Pt	VI	420.8612	66.0	0.0271	NIST	L19871
78.05	Pt	VI	421.1897	158.0	0.065	NIST	L19871
78.05	Pt	VI	421.3695	94.0	0.0387	NIST	L19871
78.05	Pt	VI	422.1649	160.0	0.0658	NIST	L19871
78.05	Pt	VI	422.5291	136.0	0.0559	NIST	L19871
78.05	Pt	VI	422.6468	261.0	0.1074	NIST	L19871
78.05	Pt	VI	422.7057	448.0	0.1843	NIST	L19871
78.05	Pt	VI	422.8854	116.0	0.0477	NIST	L19871
78.05	Pt	VI	422.9398	673.0	0.2768	NIST	L19871
78.05	Pt	VI	423.4226	38.0	0.0156	NIST	L19871
78.05	Pt	VI	423.924	119.0	0.049	NIST	L19871
78.05	Pt	VI	424.0598	79.0	0.0325	NIST	L19871
78.05	Pt	VI	424.2008	124.0	0.051	NIST	L19871
78.05	Pt	VI	424.3041	97.0	0.0399	NIST	L19871
78.05	Pt	VI	424.7808	113.0	0.0465	NIST	L19871
78.05	Pt	VI	424.8592	50.0	0.0206	NIST	L19871
78.05	Pt	VI	425.3734	71.0	0.0292	NIST	L19871
