atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
94.00	Pu	I	3215.08	10000.0	1.0	NIST	u1
94.00	Pu	I	3244.16	10000.0	1.0	NIST	u1
94.00	Pu	I	3252.08	10000.0	1.0	NIST	u1
94.00	Pu	I	3275.24	10000.0	1.0	NIST	u1
94.00	Pu	I	3292.56	10000.0	1.0	NIST	u1
94.00	Pu	I	3293.61	10000.0	1.0	NIST	u1
94.00	Pu	I	3296.91	10000.0	1.0	NIST	u1
94.00	Pu	I	3297.87	10000.0	1.0	NIST	u1
94.00	Pu	I	3301.76	10000.0	1.0	NIST	u1
94.00	Pu	I	3306.59	10000.0	1.0	NIST	u1
94.00	Pu	I	3306.66	10000.0	1.0	NIST	u1
94.00	Pu	I	3308.75	10000.0	1.0	NIST	u1
94.00	Pu	I	3320.61	10000.0	1.0	NIST	u1
94.00	Pu	I	3320.84	10000.0	1.0	NIST	u1
94.00	Pu	I	3327.19	10000.0	1.0	NIST	u1
94.00	Pu	I	3332.34	10000.0	1.0	NIST	u1
94.00	Pu	I	3338.94	10000.0	1.0	NIST	u1
94.00	Pu	I	3349.63	10000.0	1.0	NIST	u1
94.00	Pu	I	3365.2	10000.0	1.0	NIST	u1
94.00	Pu	I	3368.86	10000.0	1.0	NIST	u1
94.00	Pu	I	3371.19	10000.0	1.0	NIST	u1
94.00	Pu	I	3375.8	10000.0	1.0	NIST	u1
94.00	Pu	I	3379.51	10000.0	1.0	NIST	u1
94.00	Pu	I	3381.82	10000.0	1.0	NIST	u1
94.00	Pu	I	3382.7	10000.0	1.0	NIST	u1
94.00	Pu	I	3393.67	10000.0	1.0	NIST	u1
94.00	Pu	I	3394.32	10000.0	1.0	NIST	u1
94.00	Pu	I	3483.2	10000.0	1.0	NIST	u1
94.00	Pu	I	3720.59	10000.0	1.0	NIST	u1
94.00	Pu	I	3725.98	10000.0	1.0	NIST	u1
94.00	Pu	I	3744.78	10000.0	1.0	NIST	u1
94.00	Pu	I	3753.63	10000.0	1.0	NIST	u1
94.00	Pu	I	3755.94	10000.0	1.0	NIST	u1
94.00	Pu	I	3757.82	10000.0	1.0	NIST	u1
94.00	Pu	I	3758.34	10000.0	1.0	NIST	u1
94.00	Pu	I	3774.38	10000.0	1.0	NIST	u1
94.00	Pu	I	3776.71	10000.0	1.0	NIST	u1
94.00	Pu	I	3792.22	10000.0	1.0	NIST	u1
94.00	Pu	I	3799.37	10000.0	1.0	NIST	u1
