atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
37.08	Rb	IX	99.01	20.0	0.002	NIST	L6172
37.08	Rb	IX	99.432	200.0	0.02	NIST	L6172
37.08	Rb	IX	100.507	500.0	0.05	NIST	L6172
37.08	Rb	IX	100.708	15.0	0.0015	NIST	L6172
37.08	Rb	IX	101.514	50.0	0.005	NIST	L6172
37.08	Rb	IX	101.533	10.0	0.001	NIST	L6172
37.08	Rb	IX	101.704	100.0	0.01	NIST	L6172
37.08	Rb	IX	101.975	10.0	0.001	NIST	L6172
37.08	Rb	IX	102.008	50.0	0.005	NIST	L6172
37.08	Rb	IX	102.016	30.0	0.003	NIST	L6172
37.08	Rb	IX	102.175	200.0	0.02	NIST	L6172
37.08	Rb	IX	102.358	50.0	0.005	NIST	L6172
37.08	Rb	IX	103.573	20.0	0.002	NIST	L6172
37.08	Rb	IX	103.589	30.0	0.003	NIST	L6172
37.08	Rb	IX	103.745	90.0	0.009	NIST	L6172
37.08	Rb	IX	103.77	40.0	0.004	NIST	L6172
37.08	Rb	IX	104.471	400.0	0.04	NIST	L6172
37.08	Rb	IX	104.552	600.0	0.06	NIST	L6172
37.08	Rb	IX	105.081	300.0	0.03	NIST	L6172
37.08	Rb	IX	105.89	40.0	0.004	NIST	L6172
37.08	Rb	IX	106.806	100.0	0.01	NIST	L6172
37.08	Rb	IX	117.106	250.0	0.025	NIST	L6264
37.08	Rb	IX	117.436	100.0	0.01	NIST	L6264
37.08	Rb	IX	127.13	10.0	0.001	NIST	L6264
37.08	Rb	IX	129.17	20.0	0.002	NIST	L6264
37.08	Rb	IX	154.324	200.0	0.02	NIST	L6264
37.08	Rb	IX	154.935	1000.0	0.1	NIST	L6264
37.08	Rb	IX	156.107	600.0	0.06	NIST	L6264
37.08	Rb	IX	239.567	800.0	0.08	NIST	L6264
37.08	Rb	IX	246.862	2000.0	0.2	NIST	L6264
37.08	Rb	IX	306.286	200.0	0.02	NIST	L6264
37.08	Rb	IX	383.906	1500.0	0.15	NIST	L6264
37.08	Rb	IX	400.148	2500.0	0.25	NIST	L6264
37.08	Rb	IX	402.992	600.0	0.06	NIST	L6264
37.08	Rb	IX	452.043	600.0	0.06	NIST	L6264
37.08	Rb	IX	455.752	800.0	0.08	NIST	L6264
37.08	Rb	IX	583.399	10000.0	1.0	NIST	L6264
37.08	Rb	IX	628.632	4000.0	0.4	NIST	L6264
