atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
37.04	Rb	V	367.32	2.0	0.0333	NIST	L10294
37.04	Rb	V	369.62	5.0	0.0833	NIST	L10294
37.04	Rb	V	372.14	2.0	0.0333	NIST	L10294
37.04	Rb	V	373.01	5.0	0.0833	NIST	L10294
37.04	Rb	V	374.24	4.0	0.0667	NIST	L10294
37.04	Rb	V	375.42	4.0	0.0667	NIST	L10294
37.04	Rb	V	377.6	5.0	0.0833	NIST	L10294
37.04	Rb	V	396.79	5.0	0.0833	NIST	L10294
37.04	Rb	V	398.92	6.0	0.1	NIST	L10294
37.04	Rb	V	400.01	5.0	0.0833	NIST	L10294
37.04	Rb	V	400.7	7.0	0.1167	NIST	L10294
37.04	Rb	V	402.57	6.0	0.1	NIST	L10294
37.04	Rb	V	428.42	2.0	0.0333	NIST	L10294
37.04	Rb	V	576.442	20.0	0.3333	NIST	L6153
37.04	Rb	V	583.571	14.0	0.2333	NIST	L6153
37.04	Rb	V	592.001	24.0	0.4	NIST	L6153
37.04	Rb	V	604.111	10.0	0.1667	NIST	L6153
37.04	Rb	V	617.254	20.0	0.3333	NIST	L6153
37.04	Rb	V	635.635	18.0	0.3	NIST	L6153
37.04	Rb	V	644.313	10.0	0.1667	NIST	L6153
37.04	Rb	V	659.287	18.0	0.3	NIST	L6153
37.04	Rb	V	668.297	1.0	0.0167	NIST	L6153
37.04	Rb	V	673.746	40.0	0.6667	NIST	L6153
37.04	Rb	V	679.382	40.0	0.6667	NIST	L6153
37.04	Rb	V	685.005	1.0	0.0167	NIST	L6153
37.04	Rb	V	699.251	24.0	0.4	NIST	L6153
37.04	Rb	V	709.917	40.0	0.6667	NIST	L6153
37.04	Rb	V	735.697	60.0	1.0	NIST	L6153
37.04	Rb	V	756.041	20.0	0.3333	NIST	L6153
37.04	Rb	V	769.498	30.0	0.5	NIST	L6153
37.04	Rb	V	852.615	18.0	0.3	NIST	L6153
37.04	Rb	V	870.742	20.0	0.3333	NIST	L6153
37.04	Rb	V	975.194	16.0	0.2667	NIST	L6153
37.04	Rb	V	1024.494	1.0	0.0167	NIST	L6153
