atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
37.05	Rb	VI	324.2	8.0	0.0027	NIST	L10294
37.05	Rb	VI	328.31	6.0	0.002	NIST	L10294
37.05	Rb	VI	329.31	10.0	0.0033	NIST	L10294
37.05	Rb	VI	333.93	6.0	0.002	NIST	L10294
37.05	Rb	VI	335.23	7.0	0.0023	NIST	L10294
37.05	Rb	VI	339.35	9.0	0.003	NIST	L10294
37.05	Rb	VI	340.99	10.0	0.0033	NIST	L10294
37.05	Rb	VI	344.95	4.0	0.0013	NIST	L10294
37.05	Rb	VI	356.1	5.0	0.0017	NIST	L10294
37.05	Rb	VI	367.84	8.0	0.0027	NIST	L10294
37.05	Rb	VI	385.42	1.0	0.0003	NIST	L10294
37.05	Rb	VI	453.293	50.0	0.0167	NIST	L10384
37.05	Rb	VI	464.105	700.0	0.2333	NIST	L10384
37.05	Rb	VI	474.583	80.0	0.0267	NIST	L10384
37.05	Rb	VI	478.845	1300.0	0.4333	NIST	L10384
37.05	Rb	VI	490.934	900.0	0.3	NIST	L10384
37.05	Rb	VI	502.677	3000.0	1.0	NIST	L10384
37.05	Rb	VI	507.971	1000.0	0.3333	NIST	L10384
37.05	Rb	VI	561.278	80.0	0.0267	NIST	L10384
37.05	Rb	VI	570.1	500.0	0.1667	NIST	L10384
37.05	Rb	VI	590.053	500.0	0.1667	NIST	L10384
37.05	Rb	VI	608.508	400.0	0.1333	NIST	L10384
37.05	Rb	VI	608.574	1000.0	0.3333	NIST	L10384
37.05	Rb	VI	610.537	600.0	0.2	NIST	L10384
37.05	Rb	VI	611.119	20.0	0.0067	NIST	L10384
37.05	Rb	VI	624.119	1000.0	0.3333	NIST	L10384
37.05	Rb	VI	626.652	100.0	0.0333	NIST	L10384
37.05	Rb	VI	673.265	1000.0	0.3333	NIST	L10384
37.05	Rb	VI	686.192	100.0	0.0333	NIST	L10384
37.05	Rb	VI	696.734	2000.0	0.6667	NIST	L10384
37.05	Rb	VI	697.391	800.0	0.2667	NIST	L10384
37.05	Rb	VI	711.569	2000.0	0.6667	NIST	L10384
37.05	Rb	VI	720.626	300.0	0.1	NIST	L10384
37.05	Rb	VI	789.341	800.0	0.2667	NIST	L10384
