atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
37.11	Rb	XII	72.754	80.0	0.08	NIST	L6380
37.11	Rb	XII	73.324	50.0	0.05	NIST	L6380
37.11	Rb	XII	73.398	50.0	0.05	NIST	L6380
37.11	Rb	XII	73.521	16.0	0.016	NIST	L6380
37.11	Rb	XII	74.297	14.0	0.014	NIST	L6380
37.11	Rb	XII	74.51	16.0	0.016	NIST	L6380
37.11	Rb	XII	74.744	5.0	0.005	NIST	L6380
37.11	Rb	XII	74.828	140.0	0.14	NIST	L6380
37.11	Rb	XII	74.855	40.0	0.04	NIST	L6380
37.11	Rb	XII	74.906	9.0	0.009	NIST	L6380
37.11	Rb	XII	74.982	9.0	0.009	NIST	L6380
37.11	Rb	XII	74.999	50.0	0.05	NIST	L6380
37.11	Rb	XII	75.037	14.0	0.014	NIST	L6380
37.11	Rb	XII	75.078	60.0	0.06	NIST	L6380
37.11	Rb	XII	75.121	50.0	0.05	NIST	L6380
37.11	Rb	XII	75.17	130.0	0.13	NIST	L6380
37.11	Rb	XII	75.217	14.0	0.014	NIST	L6380
37.11	Rb	XII	75.249	20.0	0.02	NIST	L6380
37.11	Rb	XII	75.305	60.0	0.06	NIST	L6380
37.11	Rb	XII	75.399	14.0	0.014	NIST	L6380
37.11	Rb	XII	75.435	60.0	0.06	NIST	L6380
37.11	Rb	XII	75.487	50.0	0.05	NIST	L6380
37.11	Rb	XII	75.533	320.0	0.32	NIST	L6380
37.11	Rb	XII	75.563	40.0	0.04	NIST	L6380
37.11	Rb	XII	75.645	80.0	0.08	NIST	L6380
37.11	Rb	XII	75.673	130.0	0.13	NIST	L6380
37.11	Rb	XII	75.755	40.0	0.04	NIST	L6380
37.11	Rb	XII	75.786	1000.0	1.0	NIST	L6380
37.11	Rb	XII	75.889	80.0	0.08	NIST	L6380
37.11	Rb	XII	75.913	110.0	0.11	NIST	L6380
37.11	Rb	XII	75.94	20.0	0.02	NIST	L6380
37.11	Rb	XII	76.023	14.0	0.014	NIST	L6380
37.11	Rb	XII	76.089	94.0	0.094	NIST	L6380
37.11	Rb	XII	76.102	27.0	0.027	NIST	L6380
37.11	Rb	XII	76.132	240.0	0.24	NIST	L6380
37.11	Rb	XII	76.165	20.0	0.02	NIST	L6380
37.11	Rb	XII	76.202	50.0	0.05	NIST	L6380
37.11	Rb	XII	76.223	120.0	0.12	NIST	L6380
37.11	Rb	XII	76.281	25.0	0.025	NIST	L6380
37.11	Rb	XII	76.341	100.0	0.1	NIST	L6380
37.11	Rb	XII	76.402	15.0	0.015	NIST	L6380
37.11	Rb	XII	76.437	10.0	0.01	NIST	L6380
37.11	Rb	XII	76.491	400.0	0.4	NIST	L6380
37.11	Rb	XII	76.523	40.0	0.04	NIST	L6380
37.11	Rb	XII	76.539	130.0	0.13	NIST	L6380
37.11	Rb	XII	76.598	50.0	0.05	NIST	L6380
37.11	Rb	XII	76.623	350.0	0.35	NIST	L6380
37.11	Rb	XII	76.797	90.0	0.09	NIST	L6380
37.11	Rb	XII	76.942	14.0	0.014	NIST	L6380
37.11	Rb	XII	76.99	150.0	0.15	NIST	L6380
37.11	Rb	XII	77.043	40.0	0.04	NIST	L6380
37.11	Rb	XII	77.072	120.0	0.12	NIST	L6380
37.11	Rb	XII	77.184	25.0	0.025	NIST	L6380
37.11	Rb	XII	77.285	40.0	0.04	NIST	L6380
37.11	Rb	XII	77.313	680.0	0.68	NIST	L6380
37.11	Rb	XII	77.428	90.0	0.09	NIST	L6380
37.11	Rb	XII	77.454	25.0	0.025	NIST	L6380
37.11	Rb	XII	77.486	60.0	0.06	NIST	L6380
37.11	Rb	XII	77.538	80.0	0.08	NIST	L6380
37.11	Rb	XII	77.568	30.0	0.03	NIST	L6380
37.11	Rb	XII	77.607	20.0	0.02	NIST	L6380
37.11	Rb	XII	77.638	170.0	0.17	NIST	L6380
37.11	Rb	XII	77.719	80.0	0.08	NIST	L6380
37.11	Rb	XII	77.727	100.0	0.1	NIST	L6380
37.11	Rb	XII	77.819	80.0	0.08	NIST	L6380
37.11	Rb	XII	77.946	12.0	0.012	NIST	L6380
37.11	Rb	XII	78.0	30.0	0.03	NIST	L6380
37.11	Rb	XII	78.015	180.0	0.18	NIST	L6380
37.11	Rb	XII	78.057	30.0	0.03	NIST	L6380
37.11	Rb	XII	78.092	70.0	0.07	NIST	L6380
37.11	Rb	XII	78.196	25.0	0.025	NIST	L6380
37.11	Rb	XII	78.303	50.0	0.05	NIST	L6380
37.11	Rb	XII	78.341	25.0	0.025	NIST	L6380
37.11	Rb	XII	78.378	60.0	0.06	NIST	L6380
37.11	Rb	XII	78.568	40.0	0.04	NIST	L6380
37.11	Rb	XII	78.597	30.0	0.03	NIST	L6380
37.11	Rb	XII	79.145	30.0	0.03	NIST	L6380
37.11	Rb	XII	79.523	70.0	0.07	NIST	L6380
37.11	Rb	XII	79.936	30.0	0.03	NIST	L6380
37.11	Rb	XII	84.921	30.0	0.03	NIST	L5979
37.11	Rb	XII	87.592	50.0	0.05	NIST	L5979
37.11	Rb	XII	88.431	750.0	0.75	NIST	L5979
37.11	Rb	XII	90.386	200.0	0.2	NIST	L5979
37.11	Rb	XII	90.767	40.0	0.04	NIST	L5979
37.11	Rb	XII	92.31	30.0	0.03	NIST	L5979
37.11	Rb	XII	92.748	30.0	0.03	NIST	L5979
37.11	Rb	XII	93.15	150.0	0.15	NIST	L5979
37.11	Rb	XII	93.392	80.0	0.08	NIST	L5979
37.11	Rb	XII	93.402	450.0	0.45	NIST	L5979
37.11	Rb	XII	93.52	60.0	0.06	NIST	L5979
37.11	Rb	XII	93.723	700.0	0.7	NIST	L5979
37.11	Rb	XII	94.121	40.0	0.04	NIST	L5979
37.11	Rb	XII	94.697	250.0	0.25	NIST	L5979
37.11	Rb	XII	94.776	30.0	0.03	NIST	L5979
37.11	Rb	XII	96.042	300.0	0.3	NIST	L5979
37.11	Rb	XII	96.049	300.0	0.3	NIST	L5979
37.11	Rb	XII	96.24	100.0	0.1	NIST	L5979
37.11	Rb	XII	96.437	600.0	0.6	NIST	L5979
37.11	Rb	XII	96.807	90.0	0.09	NIST	L5979
37.11	Rb	XII	97.766	200.0	0.2	NIST	L5979
37.11	Rb	XII	97.831	700.0	0.7	NIST	L5979
37.11	Rb	XII	98.14	40.0	0.04	NIST	L5979
37.11	Rb	XII	98.63	200.0	0.2	NIST	L5979
37.11	Rb	XII	98.816	100.0	0.1	NIST	L5979
37.11	Rb	XII	98.895	200.0	0.2	NIST	L5979
37.11	Rb	XII	98.99	200.0	0.2	NIST	L5979
37.11	Rb	XII	99.042	70.0	0.07	NIST	L5979
37.11	Rb	XII	99.074	70.0	0.07	NIST	L5979
37.11	Rb	XII	99.128	40.0	0.04	NIST	L5979
37.11	Rb	XII	99.354	30.0	0.03	NIST	L5979
37.11	Rb	XII	100.017	90.0	0.09	NIST	L5979
37.11	Rb	XII	100.627	40.0	0.04	NIST	L5979
37.11	Rb	XII	100.665	1000.0	1.0	NIST	L5979
37.11	Rb	XII	101.099	400.0	0.4	NIST	L5979
37.11	Rb	XII	102.669	40.0	0.04	NIST	L5979
37.11	Rb	XII	103.019	300.0	0.3	NIST	L5979
37.11	Rb	XII	103.688	40.0	0.04	NIST	L5979
37.11	Rb	XII	104.526	100.0	0.1	NIST	L5979
