atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
75.01	Re	II	2092.41	4700.0	0.9038	NIST	L3475
75.01	Re	II	2139.04	3400.0	0.6538	NIST	L3475
75.01	Re	II	2142.74	1600.0	0.3077	NIST	L3475
75.01	Re	II	2214.26	4200.0	0.8077	NIST	L3475
75.01	Re	II	2275.25	5200.0	1.0	NIST	L3475
75.01	Re	II	2298.09	390.0	0.075	NIST	L3475
75.01	Re	II	2368.53	180.0	0.0346	NIST	L3475
75.01	Re	II	2370.76	220.0	0.0423	NIST	L3475
75.01	Re	II	2373.48	150.0	0.0288	NIST	L3475
75.01	Re	II	2378.53	75.0	0.0144	NIST	L3475
75.01	Re	II	2386.9	180.0	0.0346	NIST	L3475
75.01	Re	II	2403.04	75.0	0.0144	NIST	L3475
75.01	Re	II	2418.2	60.0	0.0115	NIST	L3475
75.01	Re	II	2423.84	60.0	0.0115	NIST	L3475
75.01	Re	II	2449.03	85.0	0.0163	NIST	L3475
75.01	Re	II	2449.52	85.0	0.0163	NIST	L3475
75.01	Re	II	2455.83	200.0	0.0385	NIST	L3475
75.01	Re	II	2461.84	800.0	0.1538	NIST	L3475
75.01	Re	II	2467.57	200.0	0.0385	NIST	L3475
75.01	Re	II	2467.85	120.0	0.0231	NIST	L3475
75.01	Re	II	2469.36	150.0	0.0288	NIST	L3475
75.01	Re	II	2470.61	120.0	0.0231	NIST	L3475
75.01	Re	II	2471.05	75.0	0.0144	NIST	L3475
75.01	Re	II	2473.72	150.0	0.0288	NIST	L3475
75.01	Re	II	2475.17	160.0	0.0308	NIST	L3475
75.01	Re	II	2477.43	75.0	0.0144	NIST	L3475
75.01	Re	II	2490.16	75.0	0.0144	NIST	L3475
75.01	Re	II	2502.35	570.0	0.1096	NIST	L3475
75.01	Re	II	2504.6	230.0	0.0442	NIST	L3475
75.01	Re	II	2534.1	150.0	0.0288	NIST	L3475
75.01	Re	II	2550.09	160.0	0.0308	NIST	L3475
75.01	Re	II	2553.59	150.0	0.0288	NIST	L3475
75.01	Re	II	2554.63	370.0	0.0712	NIST	L3475
75.01	Re	II	2568.64	540.0	0.1038	NIST	L3475
75.01	Re	II	2571.81	370.0	0.0712	NIST	L3475
75.01	Re	II	2608.5	660.0	0.1269	NIST	L3475
75.01	Re	II	2616.72	160.0	0.0308	NIST	L3475
75.01	Re	II	2635.83	310.0	0.0596	NIST	L3475
75.01	Re	II	2637.01	190.0	0.0365	NIST	L3475
75.01	Re	II	2641.02	90.0	0.0173	NIST	L3475
75.01	Re	II	2648.46	65.0	0.0125	NIST	L3475
75.01	Re	II	2731.56	200.0	0.0385	NIST	L3475
75.01	Re	II	2733.04	610.0	0.1173	NIST	L3475
75.01	Re	II	2753.64	110.0	0.0212	NIST	L3475
75.01	Re	II	2803.28	120.0	0.0231	NIST	L3475
75.01	Re	II	2819.78	75.0	0.0144	NIST	L3475
75.01	Re	II	2888.06	130.0	0.025	NIST	L3475
75.01	Re	II	2916.73	65.0	0.0125	NIST	L3475
75.01	Re	II	2957.91	130.0	0.025	NIST	L3475
75.01	Re	II	2968.98	90.0	0.0173	NIST	L3475
75.01	Re	II	3103.06	140.0	0.0269	NIST	L3475
75.01	Re	II	3303.21	320.0	0.0615	NIST	L3475
75.01	Re	II	3379.06	320.0	0.0615	NIST	L3475
75.01	Re	II	3580.15	810.0	0.1558	NIST	L3475
75.01	Re	II	3742.26	130.0	0.025	NIST	L3475
75.01	Re	II	4357.98	40.0	0.0077	NIST	L3475
