atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
75.03	Re	IV	786.4603	23.0	0.0111	NIST	L20111
75.03	Re	IV	798.9784	25.0	0.012	NIST	L20111
75.03	Re	IV	807.6199	30.0	0.0144	NIST	L20111
75.03	Re	IV	811.1053	20.0	0.0096	NIST	L20111
75.03	Re	IV	811.731	156.0	0.0751	NIST	L20111
75.03	Re	IV	812.8015	33.0	0.0159	NIST	L20111
75.03	Re	IV	830.0166	49.0	0.0236	NIST	L20111
75.03	Re	IV	835.4504	27.0	0.013	NIST	L20111
75.03	Re	IV	838.121	103.0	0.0496	NIST	L20111
75.03	Re	IV	838.6667	58.0	0.0279	NIST	L20111
75.03	Re	IV	845.9571	55.0	0.0265	NIST	L20111
75.03	Re	IV	846.0979	83.0	0.0399	NIST	L20111
75.03	Re	IV	846.4147	20.0	0.0096	NIST	L20111
75.03	Re	IV	847.2511	285.0	0.1372	NIST	L20111
75.03	Re	IV	848.4571	15.0	0.0072	NIST	L20111
75.03	Re	IV	851.131	81.0	0.039	NIST	L20111
75.03	Re	IV	853.6438	52.0	0.025	NIST	L20111
75.03	Re	IV	854.2703	24.0	0.0115	NIST	L20111
75.03	Re	IV	854.9063	39.0	0.0188	NIST	L20111
75.03	Re	IV	856.7973	100.0	0.0481	NIST	L20111
75.03	Re	IV	859.254	643.0	0.3094	NIST	L20111
75.03	Re	IV	861.5186	237.0	0.1141	NIST	L20111
75.03	Re	IV	861.6479	18.0	0.0087	NIST	L20111
75.03	Re	IV	861.79	96.0	0.0462	NIST	L20111
75.03	Re	IV	864.6293	415.0	0.1997	NIST	L20111
75.03	Re	IV	865.0589	15.0	0.0072	NIST	L20111
75.03	Re	IV	868.0606	294.0	0.1415	NIST	L20111
75.03	Re	IV	868.2543	64.0	0.0308	NIST	L20111
75.03	Re	IV	869.3062	27.0	0.013	NIST	L20111
75.03	Re	IV	869.9954	50.0	0.0241	NIST	L20111
75.03	Re	IV	870.3427	76.0	0.0366	NIST	L20111
