atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
45.01	Rh	II	2276.21	150.0	0.5	NIST	L3475
45.01	Rh	II	2334.77	190.0	0.6333	NIST	L3475
45.01	Rh	II	2386.14	270.0	0.9	NIST	L3475
45.01	Rh	II	2415.84	80.0	0.2667	NIST	L3475
45.01	Rh	II	2420.18	45.0	0.15	NIST	L3475
45.01	Rh	II	2420.98	65.0	0.2167	NIST	L3475
45.01	Rh	II	2427.11	65.0	0.2167	NIST	L3475
45.01	Rh	II	2431.85	40.0	0.1333	NIST	L3475
45.01	Rh	II	2455.7	30.0	0.1	NIST	L3475
45.01	Rh	II	2458.9	65.0	0.2167	NIST	L3475
45.01	Rh	II	2461.04	90.0	0.3	NIST	L3475
45.01	Rh	II	2475.64	15.0	0.05	NIST	L3475
45.01	Rh	II	2477.54	15.0	0.05	NIST	L3475
45.01	Rh	II	2490.77	100.0	0.3333	NIST	L3475
45.01	Rh	II	2503.84	15.0	0.05	NIST	L3475
45.01	Rh	II	2504.29	300.0	1.0	NIST	L3475
45.01	Rh	II	2505.1	40.0	0.1333	NIST	L3475
45.01	Rh	II	2510.66	50.0	0.1667	NIST	L3475
45.01	Rh	II	2511.03	300.0	1.0	NIST	L3475
45.01	Rh	II	2513.36	75.0	0.25	NIST	L3475
45.01	Rh	II	2520.53	130.0	0.4333	NIST	L3475
45.01	Rh	II	2537.04	110.0	0.3667	NIST	L3475
45.01	Rh	II	2566.92	25.0	0.0833	NIST	L3475
45.01	Rh	II	2587.29	40.0	0.1333	NIST	L3475
45.01	Rh	II	2603.32	30.0	0.1	NIST	L3475
45.01	Rh	II	2606.44	75.0	0.25	NIST	L3475
45.01	Rh	II	2638.74	30.0	0.1	NIST	L3475
45.01	Rh	II	2705.63	40.0	0.1333	NIST	L3475
45.01	Rh	II	2715.31	100.0	0.3333	NIST	L3475
45.01	Rh	II	2910.17	65.0	0.2167	NIST	L3475
45.01	Rh	II	3964.54	45.0	0.15	NIST	L3475
