atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
44.00	Ru	I	2076.43	2400.0	0.2182	NIST	L3475
44.00	Ru	I	2083.77	2600.0	0.2364	NIST	L3475
44.00	Ru	I	2090.89	2400.0	0.2182	NIST	L16319
44.00	Ru	I	2255.52	690.0	0.0627	NIST	L3475
44.00	Ru	I	2259.53	290.0	0.0264	NIST	L3475
44.00	Ru	I	2272.09	780.0	0.0709	NIST	L3475
44.00	Ru	I	2278.19	240.0	0.0218	NIST	L3475
44.00	Ru	I	2279.584	780.0	0.0709	NIST	L16319
44.00	Ru	I	2285.38	170.0	0.0155	NIST	L3475
44.00	Ru	I	2302.54	290.0	0.0264	NIST	L3475
44.00	Ru	I	2317.8	480.0	0.0436	NIST	L3475
44.00	Ru	I	2322.01	150.0	0.0136	NIST	L3475
44.00	Ru	I	2340.69	240.0	0.0218	NIST	L3475
44.00	Ru	I	2349.34	190.0	0.0173	NIST	L3475
44.00	Ru	I	2351.33	310.0	0.0282	NIST	L3475
44.00	Ru	I	2360.56	140.0	0.0127	NIST	L3475
44.00	Ru	I	2370.17	170.0	0.0155	NIST	L3475
44.00	Ru	I	2375.27	240.0	0.0218	NIST	L3475
44.00	Ru	I	2392.42	160.0	0.0145	NIST	L3475
44.00	Ru	I	2410.88	55.0	0.005	NIST	L16319
44.00	Ru	I	2420.826	130.0	0.0118	NIST	L16319
44.00	Ru	I	2422.92	55.0	0.005	NIST	L3475
44.00	Ru	I	2429.6	45.0	0.0041	NIST	L3475
44.00	Ru	I	2432.93	65.0	0.0059	NIST	L3475
44.00	Ru	I	2447.45	30.0	0.0027	NIST	L3475
44.00	Ru	I	2450.58	30.0	0.0027	NIST	L3475
44.00	Ru	I	2454.92	65.0	0.0059	NIST	L3475
44.00	Ru	I	2458.62	65.0	0.0059	NIST	L3475
44.00	Ru	I	2462.94	55.0	0.005	NIST	L3475
44.00	Ru	I	2464.7	85.0	0.0077	NIST	L3475
44.00	Ru	I	2474.04	30.0	0.0027	NIST	L3475
44.00	Ru	I	2475.41	110.0	0.01	NIST	L3475
