atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
16.01	S	II	558.924	2.0	0.0606	NIST	L5883
16.01	S	II	559.131	2.0	0.0606	NIST	L5883
16.01	S	II	560.713	2.0	0.0606	NIST	L5883
16.01	S	II	571.156	3.0	0.0909	NIST	L5883
16.01	S	II	571.364	4.0	0.1212	NIST	L5883
16.01	S	II	571.779	5.0	0.1515	NIST	L5883
16.01	S	II	573.523	4.0	0.1212	NIST	L5883
16.01	S	II	573.627	1.0	0.0303	NIST	L5883
16.01	S	II	573.813	1.0	0.0303	NIST	L5883
16.01	S	II	574.397	2.0	0.0606	NIST	L5883
16.01	S	II	576.057	1.0	0.0303	NIST	L5883
16.01	S	II	576.978	1.0	0.0303	NIST	L5883
16.01	S	II	588.958	1.0	0.0303	NIST	L5883
16.01	S	II	589.079	1.0	0.0303	NIST	L5883
16.01	S	II	593.507	8.0	0.2424	NIST	L5883
16.01	S	II	593.835	10.0	0.303	NIST	L5883
16.01	S	II	594.475	11.0	0.3333	NIST	L5883
16.01	S	II	597.494	5.0	0.1515	NIST	L5883
16.01	S	II	597.76	1.0	0.0303	NIST	L5883
16.01	S	II	599.834	1.0	0.0303	NIST	L5883
16.01	S	II	600.661	6.0	0.1818	NIST	L5883
16.01	S	II	602.446	5.0	0.1515	NIST	L5883
16.01	S	II	603.43	4.0	0.1212	NIST	L5883
16.01	S	II	616.437	1.0	0.0303	NIST	L5883
16.01	S	II	616.56	2.0	0.0606	NIST	L5883
16.01	S	II	627.39	1.0	0.0303	NIST	L5883
16.01	S	II	629.34	1.0	0.0303	NIST	L5883
16.01	S	II	640.412	12.0	0.3636	NIST	L5883
16.01	S	II	640.902	13.0	0.3939	NIST	L5883
16.01	S	II	641.767	15.0	0.4545	NIST	L5883
16.01	S	II	644.488	1.0	0.0303	NIST	L5883
16.01	S	II	644.623	1.0	0.0303	NIST	L5883
16.01	S	II	645.012	1.0	0.0303	NIST	L5883
16.01	S	II	645.92	10.0	0.303	NIST	L5883
16.01	S	II	647.299	1.0	0.0303	NIST	L5883
16.01	S	II	647.443	1.0	0.0303	NIST	L5883
16.01	S	II	647.542	8.0	0.2424	NIST	L5883
16.01	S	II	647.657	8.0	0.2424	NIST	L5883
16.01	S	II	652.391	5.0	0.1515	NIST	L5883
16.01	S	II	652.741	2.0	0.0606	NIST	L5883
16.01	S	II	655.084	6.0	0.1818	NIST	L5883
16.01	S	II	655.22	11.0	0.3333	NIST	L5883
16.01	S	II	655.36	5.0	0.1515	NIST	L5883
16.01	S	II	657.998	4.0	0.1212	NIST	L5883
16.01	S	II	660.16	4.0	0.1212	NIST	L5883
16.01	S	II	660.809	2.0	0.0606	NIST	L5883
16.01	S	II	660.931	8.0	0.2424	NIST	L5883
16.01	S	II	662.267	10.0	0.303	NIST	L5883
16.01	S	II	664.315	9.0	0.2727	NIST	L5883
16.01	S	II	665.519	8.0	0.2424	NIST	L5883
16.01	S	II	669.105	8.0	0.2424	NIST	L5883
16.01	S	II	669.435	7.0	0.2121	NIST	L5883
16.01	S	II	669.58	5.0	0.1515	NIST	L5883
16.01	S	II	669.808	8.0	0.2424	NIST	L5883
16.01	S	II	687.551	7.0	0.2121	NIST	L5883
16.01	S	II	687.776	5.0	0.1515	NIST	L5883
16.01	S	II	687.992	4.0	0.1212	NIST	L5883
16.01	S	II	688.884	4.0	0.1212	NIST	L5883
16.01	S	II	689.11	3.0	0.0909	NIST	L5883
16.01	S	II	690.535	5.0	0.1515	NIST	L5883
16.01	S	II	690.76	6.0	0.1818	NIST	L5883
16.01	S	II	691.029	1.0	0.0303	NIST	L5883
16.01	S	II	691.366	4.0	0.1212	NIST	L5883
16.01	S	II	691.514	7.0	0.2121	NIST	L5883
16.01	S	II	691.639	5.0	0.1515	NIST	L5883
16.01	S	II	691.859	7.0	0.2121	NIST	L5883
16.01	S	II	692.37	7.0	0.2121	NIST	L5883
16.01	S	II	694.564	6.0	0.1818	NIST	L5883
16.01	S	II	694.714	7.0	0.2121	NIST	L5883
16.01	S	II	699.557	3.0	0.0909	NIST	L5883
16.01	S	II	699.609	5.0	0.1515	NIST	L5883
16.01	S	II	699.782	1.0	0.0303	NIST	L5883
16.01	S	II	700.664	1.0	0.0303	NIST	L5883
16.01	S	II	705.187	1.0	0.0303	NIST	L5883
16.01	S	II	705.617	9.0	0.2727	NIST	L5883
16.01	S	II	706.144	1.0	0.0303	NIST	L5883
16.01	S	II	707.869	8.0	0.2424	NIST	L5883
16.01	S	II	708.024	5.0	0.1515	NIST	L5883
16.01	S	II	714.199	1.0	0.0303	NIST	L5883
16.01	S	II	727.689	1.0	0.0303	NIST	L5883
16.01	S	II	728.805	3.0	0.0909	NIST	L5883
16.01	S	II	729.059	3.0	0.0909	NIST	L5883
16.01	S	II	729.783	7.0	0.2121	NIST	L5883
16.01	S	II	732.448	5.0	0.1515	NIST	L5883
16.01	S	II	740.898	8.0	0.2424	NIST	L5883
16.01	S	II	741.165	10.0	0.303	NIST	L5883
16.01	S	II	742.063	7.0	0.2121	NIST	L5883
16.01	S	II	742.318	7.0	0.2121	NIST	L5883
16.01	S	II	744.58	7.0	0.2121	NIST	L5883
16.01	S	II	744.838	9.0	0.2727	NIST	L5883
16.01	S	II	745.996	5.0	0.1515	NIST	L5883
16.01	S	II	746.072	2.0	0.0606	NIST	L5883
16.01	S	II	746.176	1.0	0.0303	NIST	L5883
16.01	S	II	746.256	6.0	0.1818	NIST	L5883
16.01	S	II	763.214	7.0	0.2121	NIST	L5883
16.01	S	II	763.657	10.0	0.303	NIST	L5883
16.01	S	II	764.42	11.0	0.3333	NIST	L5883
16.01	S	II	765.391	4.0	0.1212	NIST	L5883
16.01	S	II	765.572	8.0	0.2424	NIST	L5883
16.01	S	II	765.693	12.0	0.3636	NIST	L5883
16.01	S	II	773.459	8.0	0.2424	NIST	L5883
16.01	S	II	773.643	4.0	0.1212	NIST	L5883
16.01	S	II	774.255	5.0	0.1515	NIST	L5883
16.01	S	II	774.445	10.0	0.303	NIST	L5883
16.01	S	II	785.023	2.0	0.0606	NIST	L5883
16.01	S	II	785.302	5.0	0.1515	NIST	L5883
16.01	S	II	786.615	7.0	0.2121	NIST	L5883
16.01	S	II	786.906	8.0	0.2424	NIST	L5883
16.01	S	II	788.279	4.0	0.1212	NIST	L5883
16.01	S	II	788.564	1.0	0.0303	NIST	L5883
16.01	S	II	798.953	5.0	0.1515	NIST	L5883
16.01	S	II	799.155	8.0	0.2424	NIST	L5883
16.01	S	II	800.037	5.0	0.1515	NIST	L5883
16.01	S	II	804.005	10.0	0.303	NIST	L5883
16.01	S	II	804.313	3.0	0.0909	NIST	L5883
16.01	S	II	804.411	8.0	0.2424	NIST	L5883
16.01	S	II	808.692	6.0	0.1818	NIST	L5883
16.01	S	II	808.776	7.0	0.2121	NIST	L5883
16.01	S	II	808.896	4.0	0.1212	NIST	L5883
16.01	S	II	822.854	2.0	0.0606	NIST	L5883
16.01	S	II	824.048	7.0	0.2121	NIST	L5883
16.01	S	II	824.37	6.0	0.1818	NIST	L5883
16.01	S	II	826.586	6.0	0.1818	NIST	L5883
