atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
16.08	S	IX	38.966	250.0	0.5556	NIST	L7069
16.08	S	IX	40.171	50.0	0.1111	NIST	L7069
16.08	S	IX	46.136	50.0	0.1111	NIST	L7069
16.08	S	IX	46.373	250.0	0.5556	NIST	L3463
16.08	S	IX	46.413	150.0	0.3333	NIST	L3463
16.08	S	IX	46.549	150.0	0.3333	NIST	L2321
16.08	S	IX	46.585	250.0	0.5556	NIST	L3463
16.08	S	IX	46.624	150.0	0.3333	NIST	L3463
16.08	S	IX	46.76	50.0	0.1111	NIST	L2321
16.08	S	IX	46.799	100.0	0.2222	NIST	L2321
16.08	S	IX	46.843	100.0	0.2222	NIST	L2321
16.08	S	IX	46.906	50.0	0.1111	NIST	L2321
16.08	S	IX	47.047	250.0	0.5556	NIST	L2321
16.08	S	IX	47.188	200.0	0.4444	NIST	L3463
16.08	S	IX	47.249	300.0	0.6667	NIST	L3463
16.08	S	IX	47.36	50.0	0.1111	NIST	L2321
16.08	S	IX	47.433	450.0	1.0	NIST	L3463
16.08	S	IX	47.518	250.0	0.5556	NIST	L3463
16.08	S	IX	47.616	200.0	0.4444	NIST	L3463
16.08	S	IX	47.74	50.0	0.1111	NIST	L2321
16.08	S	IX	48.16	400.0	0.8889	NIST	L3463
16.08	S	IX	48.367	200.0	0.4444	NIST	L2321
16.08	S	IX	48.564	250.0	0.5556	NIST	L3463
16.08	S	IX	48.766	100.0	0.2222	NIST	L2321
16.08	S	IX	49.119	300.0	0.6667	NIST	L3463
16.08	S	IX	49.328	250.0	0.5556	NIST	L3463
16.08	S	IX	49.39	150.0	0.3333	NIST	L2321
16.08	S	IX	52.859	300.0	0.6667	NIST	L2321
16.08	S	IX	54.175	450.0	1.0	NIST	L2321
16.08	S	IX	54.431	200.0	0.4444	NIST	L2321
16.08	S	IX	54.516	50.0	0.1111	NIST	L2321
16.08	S	IX	55.54	250.0	0.5556	NIST	L3463
16.08	S	IX	56.081	200.0	0.4444	NIST	L3463
16.08	S	IX	56.125	150.0	0.3333	NIST	L3463
16.08	S	IX	56.332	150.0	0.3333	NIST	L3463
16.08	S	IX	56.418	50.0	0.1111	NIST	L2321
16.08	S	IX	179.29	450.0	1.0	NIST	L7416
16.08	S	IX	202.65	250.0	0.5556	NIST	L1334
16.08	S	IX	221.27	100.0	0.2222	NIST	L7416
16.08	S	IX	223.29	100.0	0.2222	NIST	L7416
16.08	S	IX	224.77	450.0	1.0	NIST	L7416
16.08	S	IX	225.25	50.0	0.1111	NIST	L7416
16.08	S	IX	226.62	100.0	0.2222	NIST	L7416
16.08	S	IX	228.87	100.0	0.2222	NIST	L7416
