atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
16.04	S	V	192.553	1.0	0.0556	NIST	L5337
16.04	S	V	202.965	3.0	0.1667	NIST	L5337
16.04	S	V	218.781	1.0	0.0556	NIST	L5337
16.04	S	V	219.146	1.0	0.0556	NIST	L5337
16.04	S	V	223.253	6.0	0.3333	NIST	L5337
16.04	S	V	225.68	2.0	0.1111	NIST	L5337
16.04	S	V	226.067	3.0	0.1667	NIST	L5337
16.04	S	V	232.676	1.0	0.0556	NIST	L5337
16.04	S	V	235.56	5.0	0.2778	NIST	L5337
16.04	S	V	237.578	2.0	0.1111	NIST	L5337
16.04	S	V	238.011	3.0	0.1667	NIST	L5337
16.04	S	V	249.837	2.0	0.1111	NIST	L5337
16.04	S	V	250.31	3.0	0.1667	NIST	L5337
16.04	S	V	259.724	1.0	0.0556	NIST	L5337
16.04	S	V	259.954	3.0	0.1667	NIST	L5337
16.04	S	V	260.455	5.0	0.2778	NIST	L5337
16.04	S	V	264.823	2.0	0.1111	NIST	L5337
16.04	S	V	265.604	1.0	0.0556	NIST	L5337
16.04	S	V	266.143	4.0	0.2222	NIST	L5337
16.04	S	V	266.633	4.0	0.2222	NIST	L5337
16.04	S	V	266.745	4.0	0.2222	NIST	L5337
16.04	S	V	267.009	4.0	0.2222	NIST	L5337
16.04	S	V	267.182	8.0	0.4444	NIST	L5337
16.04	S	V	267.558	5.0	0.2778	NIST	L5337
16.04	S	V	270.959	12.0	0.6667	NIST	L5337
16.04	S	V	271.239	4.0	0.2222	NIST	L5337
16.04	S	V	271.527	4.0	0.2222	NIST	L5337
16.04	S	V	279.15	2.0	0.1111	NIST	L5337
16.04	S	V	286.094	16.0	0.8889	NIST	L5337
16.04	S	V	286.403	12.0	0.6667	NIST	L5337
16.04	S	V	289.531	5.0	0.2778	NIST	L5337
16.04	S	V	289.817	7.0	0.3889	NIST	L5337
16.04	S	V	290.461	8.0	0.4444	NIST	L5337
16.04	S	V	291.478	4.0	0.2222	NIST	L5337
16.04	S	V	297.809	1.0	0.0556	NIST	L5337
16.04	S	V	300.231	2.0	0.1111	NIST	L5337
16.04	S	V	305.136	1.0	0.0556	NIST	L5337
16.04	S	V	309.651	5.0	0.2778	NIST	L5337
16.04	S	V	309.701	2.0	0.1111	NIST	L5337
16.04	S	V	316.086	4.0	0.2222	NIST	L5337
16.04	S	V	319.035	3.0	0.1667	NIST	L5337
16.04	S	V	319.487	8.0	0.4444	NIST	L5337
16.04	S	V	319.85	12.0	0.6667	NIST	L5337
16.04	S	V	320.61	16.0	0.8889	NIST	L5337
16.04	S	V	325.455	3.0	0.1667	NIST	L5337
16.04	S	V	329.318	5.0	0.2778	NIST	L5337
16.04	S	V	332.211	1.0	0.0556	NIST	L5337
16.04	S	V	340.171	6.0	0.3333	NIST	L5337
16.04	S	V	350.101	2.0	0.1111	NIST	L5337
16.04	S	V	354.532	6.0	0.3333	NIST	L5337
16.04	S	V	365.676	8.0	0.4444	NIST	L5337
16.04	S	V	367.763	1.0	0.0556	NIST	L5337
16.04	S	V	369.411	2.0	0.1111	NIST	L5337
16.04	S	V	369.742	7.0	0.3889	NIST	L5337
16.04	S	V	386.362	2.0	0.1111	NIST	L5337
16.04	S	V	391.959	1.0	0.0556	NIST	L5337
16.04	S	V	393.409	1.0	0.0556	NIST	L5337
16.04	S	V	417.623	3.0	0.1667	NIST	L5337
16.04	S	V	418.451	12.0	0.6667	NIST	L5337
16.04	S	V	433.307	9.0	0.5	NIST	L5337
16.04	S	V	437.504	13.0	0.7222	NIST	L5337
16.04	S	V	438.21	14.0	0.7778	NIST	L5337
16.04	S	V	439.675	15.0	0.8333	NIST	L5337
16.04	S	V	439.904	5.0	0.2778	NIST	L5337
16.04	S	V	445.94	6.0	0.3333	NIST	L5337
16.04	S	V	451.325	8.0	0.4444	NIST	L5337
16.04	S	V	452.306	7.0	0.3889	NIST	L5337
16.04	S	V	452.904	8.0	0.4444	NIST	L5337
16.04	S	V	453.134	6.0	0.3333	NIST	L5337
16.04	S	V	453.778	6.0	0.3333	NIST	L5337
16.04	S	V	454.735	6.0	0.3333	NIST	L5337
16.04	S	V	470.415	1.0	0.0556	NIST	L5337
16.04	S	V	474.966	5.0	0.2778	NIST	L5337
16.04	S	V	475.277	4.0	0.2222	NIST	L5337
16.04	S	V	475.373	3.0	0.1667	NIST	L5337
16.04	S	V	487.562	5.0	0.2778	NIST	L5337
16.04	S	V	516.154	2.0	0.1111	NIST	L5337
16.04	S	V	518.255	12.0	0.6667	NIST	L5337
16.04	S	V	528.603	6.0	0.3333	NIST	L5337
16.04	S	V	533.88	4.0	0.2222	NIST	L5337
16.04	S	V	536.072	2.0	0.1111	NIST	L5337
16.04	S	V	546.369	2.0	0.1111	NIST	L5337
16.04	S	V	564.253	4.0	0.2222	NIST	L5337
16.04	S	V	564.897	1.0	0.0556	NIST	L5337
16.04	S	V	568.298	13.0	0.7222	NIST	L5337
16.04	S	V	577.621	15.0	0.8333	NIST	L5337
16.04	S	V	629.04	2.0	0.1111	NIST	L5337
16.04	S	V	641.86	10.0	0.5556	NIST	L5337
16.04	S	V	643.41	6.0	0.3333	NIST	L5337
16.04	S	V	648.205	2.0	0.1111	NIST	L5337
16.04	S	V	648.923	2.0	0.1111	NIST	L5337
16.04	S	V	650.085	4.0	0.2222	NIST	L5337
16.04	S	V	658.252	15.0	0.8333	NIST	L5337
16.04	S	V	659.833	16.0	0.8889	NIST	L5337
16.04	S	V	663.131	18.0	1.0	NIST	L5337
16.04	S	V	665.07	1.0	0.0556	NIST	L5337
16.04	S	V	676.254	8.0	0.4444	NIST	L5337
16.04	S	V	677.329	10.0	0.5556	NIST	L5337
16.04	S	V	678.096	11.0	0.6111	NIST	L5337
16.04	S	V	678.96	10.0	0.5556	NIST	L5337
16.04	S	V	680.33	10.0	0.5556	NIST	L5337
16.04	S	V	680.937	12.0	0.6667	NIST	L5337
16.04	S	V	681.678	5.0	0.2778	NIST	L5337
16.04	S	V	686.13	3.0	0.1667	NIST	L5337
16.04	S	V	686.899	7.0	0.3889	NIST	L5337
16.04	S	V	688.029	7.0	0.3889	NIST	L5337
16.04	S	V	689.81	9.0	0.5	NIST	L5337
16.04	S	V	691.722	7.0	0.3889	NIST	L5337
16.04	S	V	693.515	9.0	0.5	NIST	L5337
16.04	S	V	696.627	18.0	1.0	NIST	L5337
16.04	S	V	705.34	3.0	0.1667	NIST	L5337
16.04	S	V	714.772	1.0	0.0556	NIST	L5337
16.04	S	V	736.092	3.0	0.1667	NIST	L5337
16.04	S	V	742.303	12.0	0.6667	NIST	L5337
16.04	S	V	743.325	3.0	0.1667	NIST	L5337
16.04	S	V	743.536	4.0	0.2222	NIST	L5337
16.04	S	V	745.293	5.0	0.2778	NIST	L5337
16.04	S	V	758.014	1.0	0.0556	NIST	L5337
16.04	S	V	758.899	2.0	0.1111	NIST	L5337
16.04	S	V	771.325	3.0	0.1667	NIST	L5337
16.04	S	V	772.835	4.0	0.2222	NIST	L5337
16.04	S	V	773.304	2.0	0.1111	NIST	L5337
16.04	S	V	774.47	8.0	0.4444	NIST	L5337
16.04	S	V	775.47	8.0	0.4444	NIST	L5337
16.04	S	V	775.797	6.0	0.3333	NIST	L5337
16.04	S	V	786.47	17.0	0.9444	NIST	L5337
16.04	S	V	802.935	1.0	0.0556	NIST	L5337
16.04	S	V	803.078	2.0	0.1111	NIST	L5337
16.04	S	V	813.063	1.0	0.0556	NIST	L5337
16.04	S	V	822.119	3.0	0.1667	NIST	L5337
16.04	S	V	828.541	1.0	0.0556	NIST	L5337
16.04	S	V	842.778	1.0	0.0556	NIST	L5337
16.04	S	V	843.58	1.0	0.0556	NIST	L5337
16.04	S	V	849.238	15.0	0.8333	NIST	L5337
16.04	S	V	852.176	14.0	0.7778	NIST	L5337
16.04	S	V	854.773	17.0	0.9444	NIST	L5337
16.04	S	V	854.865	16.0	0.8889	NIST	L5337
16.04	S	V	857.829	15.0	0.8333	NIST	L5337
16.04	S	V	860.471	15.0	0.8333	NIST	L5337
16.04	S	V	872.689	6.0	0.3333	NIST	L5337
16.04	S	V	872.947	2.0	0.1111	NIST	L5337
16.04	S	V	873.191	9.0	0.5	NIST	L5337
16.04	S	V	875.552	8.0	0.4444	NIST	L5337
16.04	S	V	875.802	7.0	0.3889	NIST	L5337
16.04	S	V	878.641	2.0	0.1111	NIST	L5337
16.04	S	V	883.589	10.0	0.5556	NIST	L5337
