atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
16.05	S	VI	74.18	20.0	0.0444	NIST	L10889
16.05	S	VI	74.42	26.0	0.0578	NIST	L10889
16.05	S	VI	74.85	28.0	0.0622	NIST	L10889
16.05	S	VI	75.34	29.0	0.0644	NIST	L10889
16.05	S	VI	75.63	147.0	0.3267	NIST	L10889
16.05	S	VI	76.12	63.0	0.14	NIST	L10889
16.05	S	VI	76.5	11.0	0.0244	NIST	L10889
16.05	S	VI	76.69	10.0	0.0222	NIST	L10889
16.05	S	VI	152.285	20.0	0.0444	NIST	L4882
16.05	S	VI	155.857	30.0	0.0667	NIST	L4882
16.05	S	VI	161.495	30.0	0.0667	NIST	L4882
16.05	S	VI	171.331	40.0	0.0889	NIST	L4882
16.05	S	VI	180.355	5.0	0.0111	NIST	L4882
16.05	S	VI	180.759	10.0	0.0222	NIST	L4882
16.05	S	VI	184.824	20.0	0.0444	NIST	L4882
16.05	S	VI	185.256	30.0	0.0667	NIST	L4882
16.05	S	VI	188.03	5.0	0.0111	NIST	L4882
16.05	S	VI	188.476	5.0	0.0111	NIST	L4882
16.05	S	VI	191.48	60.0	0.1333	NIST	L4882
16.05	S	VI	191.561	40.0	0.0889	NIST	L4882
16.05	S	VI	191.786	30.0	0.0667	NIST	L4882
16.05	S	VI	192.253	40.0	0.0889	NIST	L4882
16.05	S	VI	197.112	5.0	0.0111	NIST	L4882
16.05	S	VI	197.606	10.0	0.0222	NIST	L4882
16.05	S	VI	203.673	40.0	0.0889	NIST	L4882
16.05	S	VI	204.196	50.0	0.1111	NIST	L4882
16.05	S	VI	213.737	20.0	0.0444	NIST	L4882
16.05	S	VI	214.316	30.0	0.0667	NIST	L4882
16.05	S	VI	227.187	80.0	0.1778	NIST	L4882
16.05	S	VI	227.834	120.0	0.2667	NIST	L4882
16.05	S	VI	236.304	5.0	0.0111	NIST	L4882
16.05	S	VI	241.613	10.0	0.0222	NIST	L4882
16.05	S	VI	248.986	130.0	0.2889	NIST	L4882
16.05	S	VI	249.273	120.0	0.2667	NIST	L4882
16.05	S	VI	249.44	20.0	0.0444	NIST	L4882
16.05	S	VI	251.112	60.0	0.1333	NIST	L4882
16.05	S	VI	251.912	80.0	0.1778	NIST	L4882
16.05	S	VI	261.816	30.0	0.0667	NIST	L4882
16.05	S	VI	268.989	5.0	0.0111	NIST	L4882
16.05	S	VI	269.026	5.0	0.0111	NIST	L4882
16.05	S	VI	283.489	60.0	0.1333	NIST	L4882
16.05	S	VI	289.082	100.0	0.2222	NIST	L4882
16.05	S	VI	290.13	140.0	0.3111	NIST	L4882
16.05	S	VI	297.416	10.0	0.0222	NIST	L4882
16.05	S	VI	297.499	10.0	0.0222	NIST	L4882
16.05	S	VI	328.605	120.0	0.2667	NIST	L4882
16.05	S	VI	363.892	40.0	0.0889	NIST	L4882
16.05	S	VI	364.157	30.0	0.0667	NIST	L4882
16.05	S	VI	388.93	160.0	0.3556	NIST	L4882
16.05	S	VI	390.854	180.0	0.4	NIST	L4882
16.05	S	VI	404.137	30.0	0.0667	NIST	L4882
16.05	S	VI	453.134	30.0	0.0667	NIST	L4882
16.05	S	VI	453.408	20.0	0.0444	NIST	L4882
16.05	S	VI	464.667	160.0	0.3556	NIST	L4882
16.05	S	VI	508.81	5.0	0.0111	NIST	L4882
16.05	S	VI	511.028	10.0	0.0222	NIST	L4882
16.05	S	VI	512.217	20.0	0.0444	NIST	L4882
16.05	S	VI	563.115	20.0	0.0444	NIST	L4882
16.05	S	VI	576.43	100.0	0.2222	NIST	L10548
16.05	S	VI	579.48	20.0	0.0444	NIST	L4882
16.05	S	VI	580.9	40.0	0.0889	NIST	L4882
16.05	S	VI	583.74	85.0	0.1889	NIST	L10548
16.05	S	VI	587.74	40.0	0.0889	NIST	L10548
