atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
16.10	S	XI	31.054	70.0	0.28	NIST	L7069
16.10	S	XI	31.483	40.0	0.16	NIST	L7069
16.10	S	XI	36.659	20.0	0.08	NIST	L7069
16.10	S	XI	36.733	10.0	0.04	NIST	L7069
16.10	S	XI	37.773	30.0	0.12	NIST	L7069
16.10	S	XI	39.049	50.0	0.2	NIST	L7069
16.10	S	XI	39.11	50.0	0.2	NIST	L7069
16.10	S	XI	39.24	60.0	0.24	NIST	L7069
16.10	S	XI	39.3	60.0	0.24	NIST	L7069
16.10	S	XI	39.323	70.0	0.28	NIST	L7069
16.10	S	XI	39.572	30.0	0.12	NIST	L7069
16.10	S	XI	39.648	50.0	0.2	NIST	L7069
16.10	S	XI	39.717	30.0	0.12	NIST	L7069
16.10	S	XI	40.566	40.0	0.16	NIST	L7069
16.10	S	XI	40.707	40.0	0.16	NIST	L7069
16.10	S	XI	40.911	20.0	0.08	NIST	L7069
16.10	S	XI	41.386	40.0	0.16	NIST	L7069
16.10	S	XI	41.474	30.0	0.12	NIST	L7069
16.10	S	XI	41.543	30.0	0.12	NIST	L7069
16.10	S	XI	41.829	10.0	0.04	NIST	L7069
16.10	S	XI	41.97	10.0	0.04	NIST	L7069
16.10	S	XI	42.342	30.0	0.12	NIST	L7069
16.10	S	XI	42.751	30.0	0.12	NIST	L7069
16.10	S	XI	42.865	10.0	0.04	NIST	L7069
16.10	S	XI	43.123	60.0	0.24	NIST	L2279
16.10	S	XI	43.33	50.0	0.2	NIST	L7069
16.10	S	XI	43.9	40.0	0.16	NIST	L7069
16.10	S	XI	43.998	10.0	0.04	NIST	L7069
16.10	S	XI	44.734	30.0	0.12	NIST	L7069
16.10	S	XI	45.205	20.0	0.08	NIST	L7069
16.10	S	XI	186.84	200.0	0.8	NIST	L3458
16.10	S	XI	188.68	225.0	0.9	NIST	L3458
16.10	S	XI	190.36	250.0	1.0	NIST	L3458
16.10	S	XI	191.26	250.0	1.0	NIST	L3458
16.10	S	XI	213.55	125.0	0.5	NIST	L1347
16.10	S	XI	214.85	125.0	0.5	NIST	L1347
16.10	S	XI	214.98	100.0	0.4	NIST	L1347
16.10	S	XI	215.95	250.0	1.0	NIST	L3458
16.10	S	XI	217.63	200.0	0.8	NIST	L1347
16.10	S	XI	218.99	125.0	0.5	NIST	L1347
16.10	S	XI	219.13	200.0	0.8	NIST	L1347
16.10	S	XI	239.81	150.0	0.6	NIST	L3458
16.10	S	XI	242.57	125.0	0.5	NIST	L3458
16.10	S	XI	242.84	175.0	0.7	NIST	L697
16.10	S	XI	245.94	75.0	0.3	NIST	L1347
16.10	S	XI	246.9	200.0	0.8	NIST	L3458
16.10	S	XI	247.15	250.0	1.0	NIST	L3458
16.10	S	XI	247.83	75.0	0.3	NIST	L1347
16.10	S	XI	248.09	75.0	0.3	NIST	L1347
16.10	S	XI	253.36	50.0	0.2	NIST	L1347
16.10	S	XI	253.62	150.0	0.6	NIST	L1347
16.10	S	XI	281.4	175.0	0.7	NIST	L1347
16.10	S	XI	285.58	250.0	1.0	NIST	L1347
16.10	S	XI	285.83	200.0	0.8	NIST	L1347
16.10	S	XI	291.58	200.0	0.8	NIST	L1347
16.10	S	XI	295.63	200.0	0.8	NIST	L1347
