atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
16.11	S	XII	24.42	30.0	0.3	NIST	L7069
16.11	S	XII	25.57	20.0	0.2	NIST	L7069
16.11	S	XII	25.65	30.0	0.3	NIST	L7069
16.11	S	XII	26.89	10.0	0.1	NIST	L7069
16.11	S	XII	27.89	30.0	0.3	NIST	L7214
16.11	S	XII	28.18	20.0	0.2	NIST	L7069
16.11	S	XII	28.22	30.0	0.3	NIST	L7069
16.11	S	XII	28.33	50.0	0.5	NIST	L7069
16.11	S	XII	29.2	20.0	0.2	NIST	L7069
16.11	S	XII	29.24	10.0	0.1	NIST	L7069
16.11	S	XII	32.674	10.0	0.1	NIST	L7069
16.11	S	XII	32.801	10.0	0.1	NIST	L7069
16.11	S	XII	34.132	10.0	0.1	NIST	L7069
16.11	S	XII	34.533	20.0	0.2	NIST	L7069
16.11	S	XII	34.586	30.0	0.3	NIST	L7069
16.11	S	XII	35.203	30.0	0.3	NIST	L7069
16.11	S	XII	35.275	30.0	0.3	NIST	L7069
16.11	S	XII	35.955	40.0	0.4	NIST	L7069
16.11	S	XII	36.124	30.0	0.3	NIST	L7069
16.11	S	XII	36.253	40.0	0.4	NIST	L7069
16.11	S	XII	36.335	40.0	0.4	NIST	L7069
16.11	S	XII	36.398	80.0	0.8	NIST	L7069
16.11	S	XII	36.563	20.0	0.2	NIST	L7069
16.11	S	XII	37.463	10.0	0.1	NIST	L7069
16.11	S	XII	37.603	60.0	0.6	NIST	L7069
16.11	S	XII	37.714	40.0	0.4	NIST	L7069
16.11	S	XII	38.32	40.0	0.4	NIST	L7069
16.11	S	XII	38.824	10.0	0.1	NIST	L7069
16.11	S	XII	38.882	50.0	0.5	NIST	L7069
16.11	S	XII	38.921	20.0	0.2	NIST	L7069
16.11	S	XII	212.12	60.0	0.6	NIST	L3246
16.11	S	XII	215.17	60.0	0.6	NIST	L3246
16.11	S	XII	218.21	100.0	1.0	NIST	L3246
16.11	S	XII	221.43	70.0	0.7	NIST	L3246
16.11	S	XII	227.5	60.0	0.6	NIST	L3246
16.11	S	XII	234.48	30.0	0.3	NIST	L3246
16.11	S	XII	240.284	70.0	0.7	NIST	L3246
16.11	S	XII	243.094	80.0	0.8	NIST	L3246
16.11	S	XII	247.145	100.0	1.0	NIST	L3246
16.11	S	XII	288.416	70.0	0.7	NIST	L3246
16.11	S	XII	299.536	70.0	0.7	NIST	L3246
