atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
16.13	S	XIV	4.3581	14.0	0.0467	NIST	L4466c7
16.13	S	XIV	4.3761	17.0	0.0567	NIST	L4466c7
16.13	S	XIV	4.3826	29.0	0.0967	NIST	L4466c7
16.13	S	XIV	4.3886	91.0	0.3033	NIST	L4466c7
16.13	S	XIV	4.3961	10.0	0.0333	NIST	L4466c7
16.13	S	XIV	4.4003	10.0	0.0333	NIST	L4466c7
16.13	S	XIV	4.4133	6.0	0.02	NIST	L4466c7
16.13	S	XIV	22.98	30.0	0.1	NIST	L4713
16.13	S	XIV	24.28	20.0	0.0667	NIST	L4713
16.13	S	XIV	24.42	30.0	0.1	NIST	L4713
16.13	S	XIV	30.427	30.0	0.1	NIST	L2279
16.13	S	XIV	30.469	20.0	0.0667	NIST	L2279
16.13	S	XIV	32.41	50.0	0.1667	NIST	L2279
16.13	S	XIV	32.564	90.0	0.3	NIST	L2279
16.13	S	XIV	33.384	10.0	0.0333	NIST	L10665
16.13	S	XIV	33.546	30.0	0.1	NIST	L10665
16.13	S	XIV	88.744	10.0	0.0333	NIST	L10665
16.13	S	XIV	88.884	10.0	0.0333	NIST	L10665
16.13	S	XIV	93.062	10.0	0.0333	NIST	L10665
16.13	S	XIV	93.394	10.0	0.0333	NIST	L10665
16.13	S	XIV	95.386	20.0	0.0667	NIST	L10665
16.13	S	XIV	95.488	40.0	0.1333	NIST	L10665
16.13	S	XIV	417.66	300.0	1.0	NIST	L3604
16.13	S	XIV	445.7	300.0	1.0	NIST	L3604
