atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
21.01	Sc	II	1161.347	1.0	0.0556	NIST	L5141
21.01	Sc	II	1237.317	1.0	0.0556	NIST	L5141
21.01	Sc	II	1238.571	1.0	0.0556	NIST	L5141
21.01	Sc	II	1238.813	3.0	0.1667	NIST	L5141
21.01	Sc	II	1239.952	4.0	0.2222	NIST	L5141
21.01	Sc	II	1240.415	1.0	0.0556	NIST	L5141
21.01	Sc	II	1240.656	2.0	0.1111	NIST	L5141
21.01	Sc	II	1240.81	1.0	0.0556	NIST	L5141
21.01	Sc	II	1241.166	2.0	0.1111	NIST	L5141
21.01	Sc	II	1241.283	1.0	0.0556	NIST	L5141
21.01	Sc	II	1299.787	1.0	0.0556	NIST	L5141
21.01	Sc	II	1338.413	1.0	0.0556	NIST	L5141
21.01	Sc	II	1339.077	2.0	0.1111	NIST	L5141
21.01	Sc	II	1340.237	1.0	0.0556	NIST	L5141
21.01	Sc	II	1342.13	2.0	0.1111	NIST	L5141
21.01	Sc	II	1358.246	2.0	0.1111	NIST	L5141
21.01	Sc	II	1359.439	1.0	0.0556	NIST	L5141
21.01	Sc	II	1359.688	2.0	0.1111	NIST	L5141
21.01	Sc	II	1360.221	1.0	0.0556	NIST	L5141
21.01	Sc	II	1361.345	1.0	0.0556	NIST	L5141
21.01	Sc	II	1368.927	2.0	0.1111	NIST	L5141
21.01	Sc	II	1369.647	2.0	0.1111	NIST	L5141
21.01	Sc	II	1373.02	1.0	0.0556	NIST	L5141
21.01	Sc	II	1397.505	3.0	0.1667	NIST	L5141
21.01	Sc	II	1403.645	1.0	0.0556	NIST	L5141
21.01	Sc	II	1411.472	1.0	0.0556	NIST	L5141
21.01	Sc	II	1412.487	1.0	0.0556	NIST	L5141
21.01	Sc	II	1413.436	3.0	0.1667	NIST	L5141
21.01	Sc	II	1413.868	2.0	0.1111	NIST	L5141
21.01	Sc	II	1414.879	3.0	0.1667	NIST	L5141
21.01	Sc	II	1415.05	2.0	0.1111	NIST	L5141
21.01	Sc	II	1415.968	4.0	0.2222	NIST	L5141
21.01	Sc	II	1416.698	3.0	0.1667	NIST	L5141
21.01	Sc	II	1416.968	4.0	0.2222	NIST	L5141
21.01	Sc	II	1417.028	4.0	0.2222	NIST	L5141
21.01	Sc	II	1418.301	5.0	0.2778	NIST	L5141
21.01	Sc	II	1418.322	5.0	0.2778	NIST	L5141
21.01	Sc	II	1418.334	5.0	0.2778	NIST	L5141
21.01	Sc	II	1418.65	3.0	0.1667	NIST	L5141
21.01	Sc	II	1418.773	6.0	0.3333	NIST	L5141
21.01	Sc	II	1418.793	6.0	0.3333	NIST	L5141
21.01	Sc	II	1419.948	2.0	0.1111	NIST	L5141
21.01	Sc	II	1419.959	2.0	0.1111	NIST	L5141
21.01	Sc	II	1420.4	2.0	0.1111	NIST	L5141
21.01	Sc	II	1421.709	3.0	0.1667	NIST	L5141
21.01	Sc	II	1423.818	1.0	0.0556	NIST	L5141
21.01	Sc	II	1502.828	2.0	0.1111	NIST	L5141
21.01	Sc	II	1503.85	1.0	0.0556	NIST	L5141
21.01	Sc	II	1504.673	1.0	0.0556	NIST	L5141
21.01	Sc	II	1505.886	1.0	0.0556	NIST	L5141
21.01	Sc	II	1516.137	2.0	0.1111	NIST	L5141
21.01	Sc	II	1535.421	1.0	0.0556	NIST	L5141
21.01	Sc	II	1543.896	2.0	0.1111	NIST	L5141
21.01	Sc	II	1544.733	2.0	0.1111	NIST	L5141
21.01	Sc	II	1546.88	5.0	0.2778	NIST	L5141
21.01	Sc	II	1547.798	6.0	0.3333	NIST	L5141
21.01	Sc	II	1552.107	4.0	0.2222	NIST	L5141
21.01	Sc	II	1553.66	1.0	0.0556	NIST	L5141
21.01	Sc	II	1553.674	1.0	0.0556	NIST	L5141
21.01	Sc	II	1565.118	2.0	0.1111	NIST	L5141
21.01	Sc	II	1566.161	2.0	0.1111	NIST	L5141
21.01	Sc	II	1567.46	2.0	0.1111	NIST	L5141
21.01	Sc	II	1568.427	5.0	0.2778	NIST	L5141
21.01	Sc	II	1572.842	6.0	0.3333	NIST	L5141
21.01	Sc	II	1572.901	6.0	0.3333	NIST	L5141
21.01	Sc	II	1573.283	5.0	0.2778	NIST	L5141
21.01	Sc	II	1573.579	2.0	0.1111	NIST	L5141
21.01	Sc	II	1574.152	1.0	0.0556	NIST	L5141
21.01	Sc	II	1574.619	2.0	0.1111	NIST	L5141
21.01	Sc	II	1575.068	2.0	0.1111	NIST	L5141
