atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
21.03	Sc	IV	184.484	1.0	0.0667	NIST	L2826
21.03	Sc	IV	185.927	1.0	0.0667	NIST	L2826
21.03	Sc	IV	193.897	3.0	0.2	NIST	L2826
21.03	Sc	IV	195.455	3.0	0.2	NIST	L2826
21.03	Sc	IV	215.304	5.0	0.3333	NIST	L2826
21.03	Sc	IV	217.192	5.0	0.3333	NIST	L2826
21.03	Sc	IV	220.28	8.0	0.5333	NIST	L2826
21.03	Sc	IV	223.407	5.0	0.3333	NIST	L2826
21.03	Sc	IV	226.764	1.0	0.0667	NIST	L2826
21.03	Sc	IV	289.851	15.0	1.0	NIST	L2826
21.03	Sc	IV	296.311	15.0	1.0	NIST	L2826
21.03	Sc	IV	299.037	15.0	1.0	NIST	L2826
21.03	Sc	IV	371.16	10.0	0.6667	NIST	L2826
21.03	Sc	IV	410.08	4.0	0.2667	NIST	L2826
21.03	Sc	IV	412.468	1.0	0.0667	NIST	L2826
21.03	Sc	IV	412.968	5.0	0.3333	NIST	L2826
21.03	Sc	IV	413.948	1.0	0.0667	NIST	L2826
21.03	Sc	IV	415.968	7.0	0.4667	NIST	L2826
21.03	Sc	IV	416.44	4.0	0.2667	NIST	L2826
21.03	Sc	IV	416.863	2.0	0.1333	NIST	L2826
21.03	Sc	IV	417.195	2.0	0.1333	NIST	L2826
21.03	Sc	IV	418.811	5.0	0.3333	NIST	L2826
21.03	Sc	IV	419.524	6.0	0.4	NIST	L2826
21.03	Sc	IV	419.999	5.0	0.3333	NIST	L2826
21.03	Sc	IV	420.121	4.0	0.2667	NIST	L2826
21.03	Sc	IV	420.504	5.0	0.3333	NIST	L2826
21.03	Sc	IV	420.807	6.0	0.4	NIST	L2826
21.03	Sc	IV	421.324	3.0	0.2	NIST	L2826
21.03	Sc	IV	422.027	5.0	0.3333	NIST	L2826
21.03	Sc	IV	422.507	2.0	0.1333	NIST	L2826
21.03	Sc	IV	422.626	3.0	0.2	NIST	L2826
21.03	Sc	IV	425.52	4.0	0.2667	NIST	L2826
21.03	Sc	IV	426.685	4.0	0.2667	NIST	L2826
21.03	Sc	IV	429.281	2.0	0.1333	NIST	L2826
21.03	Sc	IV	431.78	5.0	0.3333	NIST	L2826
21.03	Sc	IV	434.395	5.0	0.3333	NIST	L2826
21.03	Sc	IV	436.144	5.0	0.3333	NIST	L2826
21.03	Sc	IV	438.477	3.0	0.2	NIST	L2826
21.03	Sc	IV	438.66	2.0	0.1333	NIST	L2826
21.03	Sc	IV	438.789	9.0	0.6	NIST	L2826
21.03	Sc	IV	438.972	5.0	0.3333	NIST	L2826
21.03	Sc	IV	439.836	1.0	0.0667	NIST	L2826
21.03	Sc	IV	441.185	7.0	0.4667	NIST	L2826
21.03	Sc	IV	441.494	7.0	0.4667	NIST	L2826
21.03	Sc	IV	442.261	6.0	0.4	NIST	L2826
21.03	Sc	IV	444.624	4.0	0.2667	NIST	L2826
21.03	Sc	IV	445.021	1.0	0.0667	NIST	L2826
21.03	Sc	IV	445.745	3.0	0.2	NIST	L2826
21.03	Sc	IV	447.194	1.0	0.0667	NIST	L2826
21.03	Sc	IV	461.184	1.0	0.0667	NIST	L2826
21.03	Sc	IV	461.817	3.0	0.2	NIST	L2826
21.03	Sc	IV	462.57	6.0	0.4	NIST	L2826
21.03	Sc	IV	463.118	1.0	0.0667	NIST	L2826
21.03	Sc	IV	463.666	4.0	0.2667	NIST	L2826
21.03	Sc	IV	463.934	1.0	0.0667	NIST	L2826
21.03	Sc	IV	465.485	5.0	0.3333	NIST	L2826
21.03	Sc	IV	466.192	5.0	0.3333	NIST	L2826
21.03	Sc	IV	466.964	3.0	0.2	NIST	L2826
21.03	Sc	IV	467.398	3.0	0.2	NIST	L2826
21.03	Sc	IV	469.692	2.0	0.1333	NIST	L2826
21.03	Sc	IV	470.249	5.0	0.3333	NIST	L2826
21.03	Sc	IV	470.625	5.0	0.3333	NIST	L2826
21.03	Sc	IV	471.632	2.0	0.1333	NIST	L2826
21.03	Sc	IV	471.79	5.0	0.3333	NIST	L2826
21.03	Sc	IV	473.0	5.0	0.3333	NIST	L2826
21.03	Sc	IV	474.12	4.0	0.2667	NIST	L2826
21.03	Sc	IV	474.25	3.0	0.2	NIST	L2826
21.03	Sc	IV	474.533	4.0	0.2667	NIST	L2826
21.03	Sc	IV	474.679	5.0	0.3333	NIST	L2826
21.03	Sc	IV	475.176	2.0	0.1333	NIST	L2826
21.03	Sc	IV	475.462	2.0	0.1333	NIST	L2826
21.03	Sc	IV	475.788	4.0	0.2667	NIST	L2826
21.03	Sc	IV	476.21	3.0	0.2	NIST	L2826
21.03	Sc	IV	477.564	1.0	0.0667	NIST	L2826
21.03	Sc	IV	477.764	4.0	0.2667	NIST	L2826
21.03	Sc	IV	478.299	7.0	0.4667	NIST	L2826
21.03	Sc	IV	478.609	3.0	0.2	NIST	L2826
21.03	Sc	IV	478.804	2.0	0.1333	NIST	L2826
21.03	Sc	IV	480.106	1.0	0.0667	NIST	L2826
21.03	Sc	IV	481.434	6.0	0.4	NIST	L2826
21.03	Sc	IV	487.088	2.0	0.1333	NIST	L2826
21.03	Sc	IV	526.388	6.0	0.4	NIST	L2826
21.03	Sc	IV	527.879	7.0	0.4667	NIST	L2826
21.03	Sc	IV	528.287	6.0	0.4	NIST	L2826
21.03	Sc	IV	531.17	7.0	0.4667	NIST	L2826
21.03	Sc	IV	531.833	6.0	0.4	NIST	L2826
21.03	Sc	IV	532.245	2.0	0.1333	NIST	L2826
21.03	Sc	IV	557.505	8.0	0.5333	NIST	L2826
21.03	Sc	IV	561.891	4.0	0.2667	NIST	L2826
21.03	Sc	IV	562.64	7.0	0.4667	NIST	L2826
21.03	Sc	IV	566.773	12.0	0.8	NIST	L2826
21.03	Sc	IV	567.251	6.0	0.4	NIST	L2826
21.03	Sc	IV	572.667	7.0	0.4667	NIST	L2826
21.03	Sc	IV	574.669	6.0	0.4	NIST	L2826
21.03	Sc	IV	579.427	4.0	0.2667	NIST	L2826
21.03	Sc	IV	584.826	8.0	0.5333	NIST	L2826
21.03	Sc	IV	615.694	3.0	0.2	NIST	L2826
21.03	Sc	IV	617.081	9.0	0.6	NIST	L2826
21.03	Sc	IV	622.598	5.0	0.3333	NIST	L2826
21.03	Sc	IV	623.377	4.0	0.2667	NIST	L2826
21.03	Sc	IV	623.507	6.0	0.4	NIST	L2826
21.03	Sc	IV	623.951	6.0	0.4	NIST	L2826
21.03	Sc	IV	628.834	5.0	0.3333	NIST	L2826
21.03	Sc	IV	681.323	1.0	0.0667	NIST	L2826
21.03	Sc	IV	685.654	4.0	0.2667	NIST	L2826
21.03	Sc	IV	686.377	1.0	0.0667	NIST	L2826
21.03	Sc	IV	688.867	3.0	0.2	NIST	L2826
21.03	Sc	IV	692.089	2.0	0.1333	NIST	L2826
21.03	Sc	IV	692.453	5.0	0.3333	NIST	L2826
21.03	Sc	IV	693.201	4.0	0.2667	NIST	L2826
21.03	Sc	IV	695.391	1.0	0.0667	NIST	L2826
21.03	Sc	IV	695.626	6.0	0.4	NIST	L2826
21.03	Sc	IV	698.698	3.0	0.2	NIST	L2826
21.03	Sc	IV	700.051	7.0	0.4667	NIST	L2826
21.03	Sc	IV	701.194	3.0	0.2	NIST	L2826
21.03	Sc	IV	705.651	3.0	0.2	NIST	L2826
21.03	Sc	IV	705.846	3.0	0.2	NIST	L2826
21.03	Sc	IV	707.673	5.0	0.3333	NIST	L2826
21.03	Sc	IV	712.122	2.0	0.1333	NIST	L2826
21.03	Sc	IV	714.805	7.0	0.4667	NIST	L2826
