atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
21.07	Sc	VIII	165.395	3.0	0.15	NIST	L1111
21.07	Sc	VIII	165.654	4.0	0.2	NIST	L1111
21.07	Sc	VIII	166.022	2.0	0.1	NIST	L1111
21.07	Sc	VIII	166.317	3.0	0.15	NIST	L1111
21.07	Sc	VIII	166.916	3.0	0.15	NIST	L1111
21.07	Sc	VIII	169.759	4.0	0.2	NIST	L1111
21.07	Sc	VIII	178.821	2.0	0.1	NIST	L1111
21.07	Sc	VIII	295.478	9.0	0.45	NIST	L1111
21.07	Sc	VIII	304.456	1.0	0.05	NIST	L1111
21.07	Sc	VIII	305.26	1.0	0.05	NIST	L1111
21.07	Sc	VIII	307.083	6.0	0.3	NIST	L1111
21.07	Sc	VIII	310.043	20.0	1.0	NIST	L1111
21.07	Sc	VIII	311.138	8.0	0.4	NIST	L1111
21.07	Sc	VIII	312.239	8.0	0.4	NIST	L1111
21.07	Sc	VIII	314.53	2.0	0.1	NIST	L1111
21.07	Sc	VIII	315.163	15.0	0.75	NIST	L1111
21.07	Sc	VIII	315.42	12.0	0.6	NIST	L1111
21.07	Sc	VIII	318.408	20.0	1.0	NIST	L1111
21.07	Sc	VIII	358.107	2.0	0.1	NIST	L1111
21.07	Sc	VIII	362.3	2.0	0.1	NIST	L3633
21.07	Sc	VIII	367.085	3.0	0.15	NIST	L3633
21.07	Sc	VIII	370.169	5.0	0.25	NIST	L3633
21.07	Sc	VIII	374.66	6.0	0.3	NIST	L3633
21.07	Sc	VIII	389.883	10.0	0.5	NIST	L3633
21.07	Sc	VIII	404.201	4.0	0.2	NIST	L3633
21.07	Sc	VIII	441.194	5.0	0.25	NIST	L3633
21.07	Sc	VIII	481.321	2.0	0.1	NIST	L3633
21.07	Sc	VIII	486.525	3.0	0.15	NIST	L3633
21.07	Sc	VIII	486.645	3.0	0.15	NIST	L3633
21.07	Sc	VIII	486.81	3.0	0.15	NIST	L3633
21.07	Sc	VIII	491.18	10.0	0.5	NIST	L3633
21.07	Sc	VIII	494.295	5.0	0.25	NIST	L3633
21.07	Sc	VIII	494.43	2.0	0.1	NIST	L3633
21.07	Sc	VIII	555.672	7.0	0.35	NIST	L3633
21.07	Sc	VIII	562.547	10.0	0.5	NIST	L3633
21.07	Sc	VIII	562.777	4.0	0.2	NIST	L3633
21.07	Sc	VIII	571.442	12.0	0.6	NIST	L3633
21.07	Sc	VIII	572.987	2.0	0.1	NIST	L3633
21.07	Sc	VIII	643.183	1.0	0.05	NIST	L3633
