atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
21.10	Sc	XI	70.445	2.0	0.2857	NIST	L7395
21.10	Sc	XI	70.509	1.0	0.1429	NIST	L7395
21.10	Sc	XI	78.509	1.0	0.1429	NIST	L7395
21.10	Sc	XI	78.917	3.0	0.4286	NIST	L7395
21.10	Sc	XI	84.433	1.0	0.1429	NIST	L7395
21.10	Sc	XI	94.865	6.0	0.8571	NIST	L3297
21.10	Sc	XI	95.093	5.0	0.7143	NIST	L3297
21.10	Sc	XI	97.788	2.0	0.2857	NIST	L3293
21.10	Sc	XI	97.841	4.0	0.5714	NIST	L3293
21.10	Sc	XI	104.441	3.0	0.4286	NIST	L3293
21.10	Sc	XI	105.17	2.0	0.2857	NIST	L7395
21.10	Sc	XI	127.154	5.0	0.7143	NIST	L3297
21.10	Sc	XI	128.246	5.0	0.7143	NIST	L3297
21.10	Sc	XI	138.281	5.0	0.7143	NIST	L6973
21.10	Sc	XI	138.38	5.0	0.7143	NIST	L6973
21.10	Sc	XI	168.396	4.0	0.5714	NIST	L3297
21.10	Sc	XI	168.942	2.0	0.2857	NIST	L3297
21.10	Sc	XI	372.939	3.0	0.4286	NIST	L6973
21.10	Sc	XI	381.577	7.0	1.0	NIST	L6973
21.10	Sc	XI	505.105	4.0	0.5714	NIST	L6973
21.10	Sc	XI	522.778	2.0	0.2857	NIST	L6973
