atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
21.14	Sc	XV	21.372	8.0	0.0013	NIST	L4777
21.14	Sc	XV	21.405	8.0	0.0013	NIST	L2563
21.14	Sc	XV	21.426	4.0	0.0007	NIST	L2563
21.14	Sc	XV	21.49	5.0	0.0008	NIST	L2563
21.14	Sc	XV	21.521	8.0	0.0013	NIST	L2563
21.14	Sc	XV	21.705	1.0	0.0002	NIST	L2563
21.14	Sc	XV	21.926	4.0	0.0007	NIST	L2563
21.14	Sc	XV	22.061	4.0	0.0007	NIST	L2563
21.14	Sc	XV	22.544	3.0	0.0005	NIST	L2563
21.14	Sc	XV	109.084	50.0	0.0083	NIST	L5579
21.14	Sc	XV	118.98	500.0	0.0833	NIST	L5579
21.14	Sc	XV	124.14	2000.0	0.3333	NIST	L5579
21.14	Sc	XV	125.817	6000.0	1.0	NIST	L5579
21.14	Sc	XV	129.751	500.0	0.0833	NIST	L5579
21.14	Sc	XV	130.409	50.0	0.0083	NIST	L5579
21.14	Sc	XV	133.118	2000.0	0.3333	NIST	L5579
21.14	Sc	XV	136.638	200.0	0.0333	NIST	L5579
21.14	Sc	XV	138.715	150.0	0.025	NIST	L5579
21.14	Sc	XV	139.615	500.0	0.0833	NIST	L5579
21.14	Sc	XV	143.465	500.0	0.0833	NIST	L5579
21.14	Sc	XV	146.754	80.0	0.0133	NIST	L5579
21.14	Sc	XV	146.966	150.0	0.025	NIST	L5579
21.14	Sc	XV	147.558	200.0	0.0333	NIST	L5579
21.14	Sc	XV	153.197	6.0	0.001	NIST	L5579
21.14	Sc	XV	153.843	3000.0	0.5	NIST	L5579
21.14	Sc	XV	155.765	4000.0	0.6667	NIST	L5579
21.14	Sc	XV	156.436	6.0	0.001	NIST	L5579
21.14	Sc	XV	169.964	300.0	0.05	NIST	L5579
21.14	Sc	XV	173.245	600.0	0.1	NIST	L5579
21.14	Sc	XV	173.481	50.0	0.0083	NIST	L5579
21.14	Sc	XV	176.834	50.0	0.0083	NIST	L5579
21.14	Sc	XV	177.436	200.0	0.0333	NIST	L5579
21.14	Sc	XV	178.631	20.0	0.0033	NIST	L5579
21.14	Sc	XV	181.165	1200.0	0.2	NIST	L5579
21.14	Sc	XV	188.476	60.0	0.01	NIST	L5579
21.14	Sc	XV	190.479	200.0	0.0333	NIST	L5579
21.14	Sc	XV	204.038	4.0	0.0007	NIST	L5579
