atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
34.00	Se	I	1405.4	100.0	0.1111	NIST	L3316
34.00	Se	I	1406.4	100.0	0.1111	NIST	L3316
34.00	Se	I	1406.6	100.0	0.1111	NIST	L3316
34.00	Se	I	1435.3	120.0	0.1333	NIST	L3316
34.00	Se	I	1435.8	120.0	0.1333	NIST	L3316
34.00	Se	I	1444.8	100.0	0.1111	NIST	L3316
34.00	Se	I	1446.8	100.0	0.1111	NIST	L3316
34.00	Se	I	1447.0	100.0	0.1111	NIST	L3316
34.00	Se	I	1449.2	150.0	0.1667	NIST	L3316
34.00	Se	I	1456.3	120.0	0.1333	NIST	L3316
34.00	Se	I	1500.9	150.0	0.1667	NIST	L3316
34.00	Se	I	1530.4	250.0	0.2778	NIST	L3316
34.00	Se	I	1531.3	150.0	0.1667	NIST	L3316
34.00	Se	I	1531.8	200.0	0.2222	NIST	L3316
34.00	Se	I	1547.1	120.0	0.1333	NIST	L3316
34.00	Se	I	1560.3	120.0	0.1333	NIST	L3316
34.00	Se	I	1575.3	150.0	0.1667	NIST	L3316
34.00	Se	I	1577.6	150.0	0.1667	NIST	L3316
34.00	Se	I	1577.9	150.0	0.1667	NIST	L3316
34.00	Se	I	1579.5	150.0	0.1667	NIST	L3316
34.00	Se	I	1580.0	200.0	0.2222	NIST	L3316
34.00	Se	I	1587.5	150.0	0.1667	NIST	L3316
34.00	Se	I	1593.2	150.0	0.1667	NIST	L3316
34.00	Se	I	1606.5	250.0	0.2778	NIST	L3316
34.00	Se	I	1610.7	100.0	0.1111	NIST	L3316
34.00	Se	I	1611.3	100.0	0.1111	NIST	L3316
34.00	Se	I	1617.4	200.0	0.2222	NIST	L3316
34.00	Se	I	1621.2	150.0	0.1667	NIST	L3316
34.00	Se	I	1622.7	100.0	0.1111	NIST	L3316
34.00	Se	I	1626.2	120.0	0.1333	NIST	L3316
34.00	Se	I	1643.4	150.0	0.1667	NIST	L3316
34.00	Se	I	1671.2	250.0	0.2778	NIST	L3316
34.00	Se	I	1675.3	250.0	0.2778	NIST	L3316
34.00	Se	I	1690.7	250.0	0.2778	NIST	L3316
34.00	Se	I	1793.3	250.0	0.2778	NIST	L3316
34.00	Se	I	1795.3	300.0	0.3333	NIST	L3316
34.00	Se	I	1855.2	300.0	0.3333	NIST	L3316
34.00	Se	I	1858.8	250.0	0.2778	NIST	L3316
34.00	Se	I	1898.6	400.0	0.4444	NIST	L3316
34.00	Se	I	1913.8	350.0	0.3889	NIST	L3316
34.00	Se	I	1919.2	300.0	0.3333	NIST	L3316
34.00	Se	I	1960.9	500.0	0.5556	NIST	L3316
34.00	Se	I	1995.1	150.0	0.1667	NIST	L3316
34.00	Se	I	2039.8	500.0	0.5556	NIST	L3316
34.00	Se	I	2074.8	500.0	0.5556	NIST	L3316
34.00	Se	I	2164.2	500.0	0.5556	NIST	L3316
34.00	Se	I	2332.8	150.0	0.1667	NIST	L3316
34.00	Se	I	2413.5	600.0	0.6667	NIST	L3316
34.00	Se	I	2548.0	300.0	0.3333	NIST	L3316
34.00	Se	I	4328.7	120.0	0.1333	NIST	L3316
34.00	Se	I	4330.3	100.0	0.1111	NIST	L3316
34.00	Se	I	4730.8	500.0	0.5556	NIST	L3316
34.00	Se	I	4739.0	400.0	0.4444	NIST	L3316
34.00	Se	I	4742.2	300.0	0.3333	NIST	L3316
34.00	Se	I	5365.5	100.0	0.1111	NIST	L3316
34.00	Se	I	5369.9	120.0	0.1333	NIST	L3316
34.00	Se	I	5374.1	110.0	0.1222	NIST	L3316
34.00	Se	I	6325.6	200.0	0.2222	NIST	L3316
34.00	Se	I	6831.3	150.0	0.1667	NIST	L3316
34.00	Se	I	6990.69	120.0	0.1333	NIST	L1791
34.00	Se	I	6991.792	100.0	0.1111	NIST	L1791
34.00	Se	I	7010.809	200.0	0.2222	NIST	L1791
34.00	Se	I	7013.875	150.0	0.1667	NIST	L1791
34.00	Se	I	7062.065	300.0	0.3333	NIST	L1791
34.00	Se	I	7575.1	200.0	0.2222	NIST	L3316
34.00	Se	I	7583.4	250.0	0.2778	NIST	L3316
34.00	Se	I	7592.2	150.0	0.1667	NIST	L3316
34.00	Se	I	7606.8	120.0	0.1333	NIST	L3316
34.00	Se	I	8001.0	300.0	0.3333	NIST	L3316
34.00	Se	I	8036.4	200.0	0.2222	NIST	L3316
34.00	Se	I	8060.9	120.0	0.1333	NIST	L3316
34.00	Se	I	8065.3	120.0	0.1333	NIST	L3316
34.00	Se	I	8081.1	120.0	0.1333	NIST	L3316
34.00	Se	I	8093.2	150.0	0.1667	NIST	L3316
34.00	Se	I	8094.7	150.0	0.1667	NIST	L3316
34.00	Se	I	8149.3	180.0	0.2	NIST	L3316
34.00	Se	I	8152.0	150.0	0.1667	NIST	L3316
34.00	Se	I	8157.7	200.0	0.2222	NIST	L3316
34.00	Se	I	8163.1	180.0	0.2	NIST	L3316
34.00	Se	I	8182.9	150.0	0.1667	NIST	L3316
34.00	Se	I	8185.0	100.0	0.1111	NIST	L3316
34.00	Se	I	8194.6	120.0	0.1333	NIST	L3316
34.00	Se	I	8440.47	150.0	0.1667	NIST	L2647
34.00	Se	I	8450.38	150.0	0.1667	NIST	L2647
34.00	Se	I	8742.33	150.0	0.1667	NIST	L2647
34.00	Se	I	8918.86	300.0	0.3333	NIST	L2647
34.00	Se	I	8969.69	100.0	0.1111	NIST	L2647
34.00	Se	I	9001.97	200.0	0.2222	NIST	L2647
34.00	Se	I	9038.61	200.0	0.2222	NIST	L2647
34.00	Se	I	9083.14	80.0	0.0889	NIST	L2647
