atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
34.01	Se	II	828.5	285.0	0.6333	NIST	L3276
34.01	Se	II	832.7	360.0	0.8	NIST	L3276
34.01	Se	II	906.6	285.0	0.6333	NIST	L3276
34.01	Se	II	912.9	360.0	0.8	NIST	L3276
34.01	Se	II	1013.4	360.0	0.8	NIST	L3276
34.01	Se	II	1014.0	360.0	0.8	NIST	L3276
34.01	Se	II	1033.6	450.0	1.0	NIST	L3276
34.01	Se	II	1049.6	450.0	1.0	NIST	L3276
34.01	Se	II	1057.4	360.0	0.8	NIST	L3276
34.01	Se	II	1097.8	285.0	0.6333	NIST	L3276
34.01	Se	II	1141.9	360.0	0.8	NIST	L3276
34.01	Se	II	1156.0	220.0	0.4889	NIST	L3276
34.01	Se	II	1156.9	285.0	0.6333	NIST	L3276
34.01	Se	II	1168.5	285.0	0.6333	NIST	L3276
34.01	Se	II	1192.3	450.0	1.0	NIST	L3276
34.01	Se	II	1205.7	220.0	0.4889	NIST	L3276
34.01	Se	II	1234.9	220.0	0.4889	NIST	L3276
34.01	Se	II	1291.0	285.0	0.6333	NIST	L3276
34.01	Se	II	1308.9	285.0	0.6333	NIST	L3276
34.01	Se	II	3038.7	220.0	0.4889	NIST	L3276
34.01	Se	II	3041.3	220.0	0.4889	NIST	L3276
34.01	Se	II	4070.2	285.0	0.6333	NIST	L3276
34.01	Se	II	4175.3	360.0	0.8	NIST	L3276
34.01	Se	II	4180.9	450.0	1.0	NIST	L3276
34.01	Se	II	4382.9	285.0	0.6333	NIST	L3276
34.01	Se	II	4446.0	285.0	0.6333	NIST	L3276
34.01	Se	II	4449.2	220.0	0.4889	NIST	L3276
34.01	Se	II	4467.6	285.0	0.6333	NIST	L3276
34.01	Se	II	4840.6	285.0	0.6333	NIST	L3276
34.01	Se	II	4845.0	360.0	0.8	NIST	L3276
34.01	Se	II	5227.5	450.0	1.0	NIST	L3276
34.01	Se	II	5305.4	360.0	0.8	NIST	L3276
34.01	Se	II	5522.4	285.0	0.6333	NIST	L3276
34.01	Se	II	5566.9	285.0	0.6333	NIST	L3276
34.01	Se	II	5866.3	285.0	0.6333	NIST	L3276
34.01	Se	II	6056.0	450.0	1.0	NIST	L3276
34.01	Se	II	6444.2	360.0	0.8	NIST	L3276
34.01	Se	II	6490.5	285.0	0.6333	NIST	L3276
34.01	Se	II	6535.0	285.0	0.6333	NIST	L3276
