atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
14.02	Si	III	566.61	8.0	0.2667	NIST	L4833
14.02	Si	III	652.22	6.0	0.2	NIST	L4833
14.02	Si	III	653.33	8.0	0.2667	NIST	L4833
14.02	Si	III	673.48	5.0	0.1667	NIST	L4833
14.02	Si	III	800.07	5.0	0.1667	NIST	L4833
14.02	Si	III	823.41	9.0	0.3	NIST	L4833
14.02	Si	III	883.4	5.0	0.1667	NIST	L4833
14.02	Si	III	939.09	7.0	0.2333	NIST	L4833
14.02	Si	III	967.95	9.0	0.3	NIST	L4833
14.02	Si	III	993.52	10.0	0.3333	NIST	L4833
14.02	Si	III	994.79	13.0	0.4333	NIST	L4833
14.02	Si	III	997.39	16.0	0.5333	NIST	L4833
14.02	Si	III	1005.37	7.0	0.2333	NIST	L4833
14.02	Si	III	1031.16	7.0	0.2333	NIST	L4833
14.02	Si	III	1033.92	8.0	0.2667	NIST	L4833
14.02	Si	III	1037.05	7.0	0.2333	NIST	L4833
14.02	Si	III	1083.22	6.0	0.2	NIST	L4833
14.02	Si	III	1108.37	14.0	0.4667	NIST	L4833
14.02	Si	III	1109.97	16.0	0.5333	NIST	L4833
14.02	Si	III	1113.23	18.0	0.6	NIST	L4833
14.02	Si	III	1140.55	6.0	0.2	NIST	L4833
14.02	Si	III	1141.58	7.0	0.2333	NIST	L4833
14.02	Si	III	1142.28	6.0	0.2	NIST	L4833
14.02	Si	III	1144.31	8.0	0.2667	NIST	L4833
14.02	Si	III	1144.96	6.0	0.2	NIST	L4833
14.02	Si	III	1145.11	8.0	0.2667	NIST	L4833
14.02	Si	III	1145.18	7.0	0.2333	NIST	L4833
14.02	Si	III	1155.0	6.0	0.2	NIST	L4833
14.02	Si	III	1155.96	6.0	0.2	NIST	L4833
14.02	Si	III	1158.1	7.0	0.2333	NIST	L4833
14.02	Si	III	1160.26	6.0	0.2	NIST	L4833
14.02	Si	III	1161.58	8.0	0.2667	NIST	L4833
14.02	Si	III	1174.37	5.0	0.1667	NIST	L4833
14.02	Si	III	1174.43	6.0	0.2	NIST	L4833
14.02	Si	III	1178.0	8.0	0.2667	NIST	L4833
14.02	Si	III	1206.51	30.0	1.0	NIST	L4833
14.02	Si	III	1206.53	30.0	1.0	NIST	L4833
14.02	Si	III	1207.52	9.0	0.3	NIST	L4833
14.02	Si	III	1210.46	10.0	0.3333	NIST	L4833
14.02	Si	III	1235.43	7.0	0.2333	NIST	L4833
14.02	Si	III	1280.35	6.0	0.2	NIST	L4833
14.02	Si	III	1294.54	17.0	0.5667	NIST	L4833
14.02	Si	III	1296.73	14.0	0.4667	NIST	L4833
14.02	Si	III	1298.89	15.0	0.5	NIST	L4833
14.02	Si	III	1298.96	18.0	0.6	NIST	L4833
14.02	Si	III	1301.15	14.0	0.4667	NIST	L4833
14.02	Si	III	1303.32	16.0	0.5333	NIST	L4833
14.02	Si	III	1312.59	13.0	0.4333	NIST	L4833
14.02	Si	III	1341.47	8.0	0.2667	NIST	L4833
14.02	Si	III	1342.39	7.0	0.2333	NIST	L4833
14.02	Si	III	1343.39	6.0	0.2	NIST	L4833
14.02	Si	III	1361.6	8.0	0.2667	NIST	L4833
14.02	Si	III	1362.37	5.0	0.1667	NIST	L4833
14.02	Si	III	1363.47	7.0	0.2333	NIST	L4833
14.02	Si	III	1365.26	8.0	0.2667	NIST	L4833
14.02	Si	III	1367.05	7.0	0.2333	NIST	L4833
14.02	Si	III	1369.44	5.0	0.1667	NIST	L4833
14.02	Si	III	1373.03	5.0	0.1667	NIST	L4833
14.02	Si	III	1387.99	5.0	0.1667	NIST	L4833
14.02	Si	III	1417.24	13.0	0.4333	NIST	L4833
14.02	Si	III	1433.69	6.0	0.2	NIST	L4833
14.02	Si	III	1435.77	8.0	0.2667	NIST	L4833
14.02	Si	III	1436.17	7.0	0.2333	NIST	L4833
14.02	Si	III	1441.73	5.0	0.1667	NIST	L4833
14.02	Si	III	1447.2	6.0	0.2	NIST	L4833
14.02	Si	III	1457.25	5.0	0.1667	NIST	L4833
14.02	Si	III	1500.24	12.0	0.4	NIST	L4833
14.02	Si	III	1501.19	10.0	0.3333	NIST	L4833
14.02	Si	III	1501.87	9.0	0.3	NIST	L4833
14.02	Si	III	1506.06	6.0	0.2	NIST	L4833
14.02	Si	III	1673.32	7.0	0.2333	NIST	L4833
14.02	Si	III	1842.55	9.0	0.3	NIST	L4833
14.02	Si	III	2176.89	5.0	0.1667	NIST	L4833
14.02	Si	III	2295.48	6.0	0.2	NIST	L4833
14.02	Si	III	2296.87	10.0	0.3333	NIST	L4833
14.02	Si	III	2300.93	8.0	0.2667	NIST	L4833
14.02	Si	III	2308.19	10.0	0.3333	NIST	L4833
14.02	Si	III	2449.48	11.0	0.3667	NIST	L4833
14.02	Si	III	2483.2	6.0	0.2	NIST	L4833
14.02	Si	III	2541.82	25.0	0.8333	NIST	L4833
14.02	Si	III	2546.09	10.0	0.3333	NIST	L4833
14.02	Si	III	2559.21	14.0	0.4667	NIST	L4833
14.02	Si	III	2640.79	11.0	0.3667	NIST	L4833
14.02	Si	III	2655.51	14.0	0.4667	NIST	L4833
14.02	Si	III	2817.11	9.0	0.3	NIST	L4833
14.02	Si	III	2831.49	7.0	0.2333	NIST	L4833
14.02	Si	III	2839.62	5.0	0.1667	NIST	L4833
14.02	Si	III	2959.15	5.0	0.1667	NIST	L4833
14.02	Si	III	2980.52	5.0	0.1667	NIST	L4833
14.02	Si	III	3013.09	5.0	0.1667	NIST	L4833
14.02	Si	III	3034.73	6.0	0.2	NIST	L4833
14.02	Si	III	3037.29	8.0	0.2667	NIST	L4833
14.02	Si	III	3040.93	9.0	0.3	NIST	L4833
14.02	Si	III	3043.93	7.0	0.2333	NIST	L4833
14.02	Si	III	3045.08	5.0	0.1667	NIST	L4833
14.02	Si	III	3068.24	7.0	0.2333	NIST	L4833
14.02	Si	III	3086.24	25.0	0.8333	NIST	L4833
14.02	Si	III	3086.46	6.0	0.2	NIST	L4833
14.02	Si	III	3093.42	20.0	0.6667	NIST	L4833
14.02	Si	III	3093.65	5.0	0.1667	NIST	L4833
14.02	Si	III	3096.83	16.0	0.5333	NIST	L4833
14.02	Si	III	3126.27	6.0	0.2	NIST	L4833
14.02	Si	III	3147.37	7.0	0.2333	NIST	L4833
14.02	Si	III	3161.61	8.0	0.2667	NIST	L4833
14.02	Si	III	3185.13	16.0	0.5333	NIST	L4833
14.02	Si	III	3186.02	13.0	0.4333	NIST	L4833
14.02	Si	III	3196.5	14.0	0.4667	NIST	L4833
14.02	Si	III	3210.55	15.0	0.5	NIST	L4833
14.02	Si	III	3216.25	7.0	0.2333	NIST	L4833
14.02	Si	III	3230.5	12.0	0.4	NIST	L4833
14.02	Si	III	3233.95	14.0	0.4667	NIST	L4833
14.02	Si	III	3241.62	15.0	0.5	NIST	L4833
14.02	Si	III	3253.4	7.0	0.2333	NIST	L4833
14.02	Si	III	3253.74	5.0	0.1667	NIST	L4833
14.02	Si	III	3254.8	7.0	0.2333	NIST	L4833
