atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
50.04	Sn	V	355.14	120.0	0.06	NIST	L4099
50.04	Sn	V	361.01	150.0	0.075	NIST	L4099
50.04	Sn	V	372.55	100.0	0.05	NIST	L4099
50.04	Sn	V	1089.35	200.0	0.1	NIST	L4099
50.04	Sn	V	1132.79	100.0	0.05	NIST	L4099
50.04	Sn	V	1160.74	200.0	0.1	NIST	L4099
50.04	Sn	V	1176.26	100.0	0.05	NIST	L4099
50.04	Sn	V	1189.92	100.0	0.05	NIST	L4099
50.04	Sn	V	1205.72	100.0	0.05	NIST	L4099
50.04	Sn	V	1251.38	2000.0	1.0	NIST	L4099
50.04	Sn	V	1283.81	100.0	0.05	NIST	L4099
50.04	Sn	V	1294.36	200.0	0.1	NIST	L4099
50.04	Sn	V	1302.2	100.0	0.05	NIST	L4099
