atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
38.11	Sr	XII	68.923	25.0	0.0208	NIST	L6226
38.11	Sr	XII	69.63	5.0	0.0042	NIST	L6226
38.11	Sr	XII	70.493	30.0	0.025	NIST	L6226
38.11	Sr	XII	72.26	50.0	0.0417	NIST	L6226
38.11	Sr	XII	72.968	35.0	0.0292	NIST	L6226
38.11	Sr	XII	73.056	65.0	0.0542	NIST	L6226
38.11	Sr	XII	73.274	110.0	0.0917	NIST	L6226
38.11	Sr	XII	73.334	160.0	0.1333	NIST	L6226
38.11	Sr	XII	73.607	90.0	0.075	NIST	L6226
38.11	Sr	XII	73.632	400.0	0.3333	NIST	L6226
38.11	Sr	XII	73.679	140.0	0.1167	NIST	L6226
38.11	Sr	XII	73.691	60.0	0.05	NIST	L6226
38.11	Sr	XII	73.759	20.0	0.0167	NIST	L6226
38.11	Sr	XII	73.774	420.0	0.35	NIST	L6226
38.11	Sr	XII	73.94	70.0	0.0583	NIST	L6226
38.11	Sr	XII	73.983	20.0	0.0167	NIST	L6226
38.11	Sr	XII	74.076	240.0	0.2	NIST	L6226
38.11	Sr	XII	74.13	140.0	0.1167	NIST	L6226
38.11	Sr	XII	74.209	350.0	0.2917	NIST	L6226
38.11	Sr	XII	74.242	120.0	0.1	NIST	L6226
38.11	Sr	XII	74.409	40.0	0.0333	NIST	L6226
38.11	Sr	XII	74.573	15.0	0.0125	NIST	L6226
38.11	Sr	XII	74.794	100.0	0.0833	NIST	L6226
38.11	Sr	XII	74.831	8.0	0.0067	NIST	L6226
38.11	Sr	XII	74.856	380.0	0.3167	NIST	L6226
38.11	Sr	XII	74.889	70.0	0.0583	NIST	L6226
38.11	Sr	XII	74.934	20.0	0.0167	NIST	L6226
38.11	Sr	XII	75.058	280.0	0.2333	NIST	L6226
38.11	Sr	XII	75.116	70.0	0.0583	NIST	L6226
38.11	Sr	XII	75.128	380.0	0.3167	NIST	L6226
38.11	Sr	XII	75.293	180.0	0.15	NIST	L6226
38.11	Sr	XII	75.398	45.0	0.0375	NIST	L6226
38.11	Sr	XII	75.426	110.0	0.0917	NIST	L6226
38.11	Sr	XII	75.688	320.0	0.2667	NIST	L6226
38.11	Sr	XII	75.875	540.0	0.45	NIST	L6226
38.11	Sr	XII	75.956	400.0	0.3333	NIST	L6226
38.11	Sr	XII	76.134	10.0	0.0083	NIST	L6226
38.11	Sr	XII	76.269	75.0	0.0625	NIST	L6226
38.11	Sr	XII	76.379	8.0	0.0067	NIST	L6226
38.11	Sr	XII	76.461	30.0	0.025	NIST	L6226
38.11	Sr	XII	76.727	5.0	0.0042	NIST	L6226
38.11	Sr	XII	76.816	5.0	0.0042	NIST	L6226
38.11	Sr	XII	76.879	6.0	0.005	NIST	L6226
38.11	Sr	XII	76.944	50.0	0.0417	NIST	L6226
38.11	Sr	XII	77.244	40.0	0.0333	NIST	L6226
38.11	Sr	XII	77.332	10.0	0.0083	NIST	L6226
38.11	Sr	XII	77.711	10.0	0.0083	NIST	L6226
38.11	Sr	XII	86.413	580.0	0.4833	NIST	L5322
38.11	Sr	XII	92.029	1200.0	1.0	NIST	L5322
38.11	Sr	XII	93.288	250.0	0.2083	NIST	L5322
