atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
38.27	Sr	XXVIII	11.387	1.0	0.01	NIST	L6830
38.27	Sr	XXVIII	11.519	2.0	0.02	NIST	L6830
38.27	Sr	XXVIII	12.106	3.0	0.03	NIST	L6830
38.27	Sr	XXVIII	12.304	15.0	0.15	NIST	L6830
38.27	Sr	XXVIII	13.25	5.0	0.05	NIST	L6830
38.27	Sr	XXVIII	13.304	8.0	0.08	NIST	L6830
38.27	Sr	XXVIII	13.359	8.0	0.08	NIST	L6830
38.27	Sr	XXVIII	13.937	20.0	0.2	NIST	L6830
38.27	Sr	XXVIII	14.192	25.0	0.25	NIST	L6830
38.27	Sr	XXVIII	14.431	1.0	0.01	NIST	L6830
38.27	Sr	XXVIII	14.718	2.0	0.02	NIST	L6830
38.27	Sr	XXVIII	15.493	22.0	0.22	NIST	L6830
38.27	Sr	XXVIII	15.549	25.0	0.25	NIST	L6830
38.27	Sr	XXVIII	18.475	70.0	0.7	NIST	L6830
38.27	Sr	XXVIII	18.663	30.0	0.3	NIST	L6830
38.27	Sr	XXVIII	19.361	60.0	0.6	NIST	L6830
38.27	Sr	XXVIII	19.834	75.0	0.75	NIST	L6830
38.27	Sr	XXVIII	19.879	8.0	0.08	NIST	L6830
38.27	Sr	XXVIII	21.43	20.0	0.2	NIST	L6830
38.27	Sr	XXVIII	22.067	20.0	0.2	NIST	L6830
38.27	Sr	XXVIII	22.155	80.0	0.8	NIST	L6830
38.27	Sr	XXVIII	22.264	100.0	1.0	NIST	L6830
38.27	Sr	XXVIII	24.337	5.0	0.05	NIST	L6830
38.27	Sr	XXVIII	24.5	3.0	0.03	NIST	L6830
38.27	Sr	XXVIII	31.94	2.0	0.02	NIST	L6830
38.27	Sr	XXVIII	32.029	3.0	0.03	NIST	L6830
38.27	Sr	XXVIII	43.329	3.0	0.03	NIST	L6830
38.27	Sr	XXVIII	44.252	5.0	0.05	NIST	L6830
38.27	Sr	XXVIII	48.164	12.0	0.12	NIST	L6830
38.27	Sr	XXVIII	48.381	15.0	0.15	NIST	L6830
38.27	Sr	XXVIII	49.809	3.0	0.03	NIST	L6830
38.27	Sr	XXVIII	51.201	25.0	0.25	NIST	L6830
38.27	Sr	XXVIII	51.285	30.0	0.3	NIST	L6830
38.27	Sr	XXVIII	127.227	40.0	0.4	NIST	L6973
38.27	Sr	XXVIII	147.569	30.0	0.3	NIST	L6973
38.27	Sr	XXVIII	153.579	5.0	0.05	NIST	L6973
38.27	Sr	XXVIII	159.77	30.0	0.3	NIST	L6973
