atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
73.00	Ta	I	2279.85	200.0	0.0769	NIST	L3475
73.00	Ta	I	2357.3	250.0	0.0962	NIST	L3475
73.00	Ta	I	2361.09	260.0	0.1	NIST	L3475
73.00	Ta	I	2371.58	320.0	0.1231	NIST	L3475
73.00	Ta	I	2375.91	70.0	0.0269	NIST	L3475
73.00	Ta	I	2385.73	130.0	0.05	NIST	L3475
73.00	Ta	I	2396.3	70.0	0.0269	NIST	L3475
73.00	Ta	I	2399.15	110.0	0.0423	NIST	L3475
73.00	Ta	I	2406.55	130.0	0.05	NIST	L3475
73.00	Ta	I	2414.32	120.0	0.0462	NIST	L3475
73.00	Ta	I	2421.03	140.0	0.0538	NIST	L3475
73.00	Ta	I	2427.64	360.0	0.1385	NIST	L3475
73.00	Ta	I	2437.07	110.0	0.0423	NIST	L3475
73.00	Ta	I	2439.91	200.0	0.0769	NIST	L3475
73.00	Ta	I	2442.39	130.0	0.05	NIST	L3475
73.00	Ta	I	2447.17	100.0	0.0385	NIST	L3475
73.00	Ta	I	2454.48	100.0	0.0385	NIST	L3475
73.00	Ta	I	2458.68	100.0	0.0385	NIST	L3475
73.00	Ta	I	2460.55	100.0	0.0385	NIST	L3475
73.00	Ta	I	2471.38	120.0	0.0462	NIST	L3475
73.00	Ta	I	2472.13	120.0	0.0462	NIST	L3475
73.00	Ta	I	2473.13	150.0	0.0577	NIST	L3475
73.00	Ta	I	2474.62	600.0	0.2308	NIST	L3475
73.00	Ta	I	2475.33	120.0	0.0462	NIST	L3475
73.00	Ta	I	2478.22	150.0	0.0577	NIST	L3475
73.00	Ta	I	2482.1	100.0	0.0385	NIST	L3475
73.00	Ta	I	2484.95	500.0	0.1923	NIST	L3475
73.00	Ta	I	2486.7	120.0	0.0462	NIST	L3475
73.00	Ta	I	2490.46	500.0	0.1923	NIST	L3475
73.00	Ta	I	2504.45	600.0	0.2308	NIST	L3475
73.00	Ta	I	2507.45	600.0	0.2308	NIST	L3475
73.00	Ta	I	2512.65	240.0	0.0923	NIST	L3475
73.00	Ta	I	2526.35	1200.0	0.4615	NIST	L3475
73.00	Ta	I	2546.8	240.0	0.0923	NIST	L3475
73.00	Ta	I	2551.07	460.0	0.1769	NIST	L3475
73.00	Ta	I	2555.05	240.0	0.0923	NIST	L3475
73.00	Ta	I	2559.43	1200.0	0.4615	NIST	L3475
73.00	Ta	I	2562.1	460.0	0.1769	NIST	L3475
73.00	Ta	I	2573.54	430.0	0.1654	NIST	L3475
73.00	Ta	I	2573.79	390.0	0.15	NIST	L3475
73.00	Ta	I	2577.78	340.0	0.1308	NIST	L3475
73.00	Ta	I	2580.16	210.0	0.0808	NIST	L3475
73.00	Ta	I	2593.08	430.0	0.1654	NIST	L3475
73.00	Ta	I	2595.26	560.0	0.2154	NIST	L3475
73.00	Ta	I	2600.14	220.0	0.0846	NIST	L3475
73.00	Ta	I	2608.63	1400.0	0.5385	NIST	L3475
73.00	Ta	I	2609.0	210.0	0.0808	NIST	L3475
73.00	Ta	I	2611.34	310.0	0.1192	NIST	L3475
73.00	Ta	I	2615.46	340.0	0.1308	NIST	L3475
73.00	Ta	I	2615.66	310.0	0.1192	NIST	L3475
73.00	Ta	I	2636.67	470.0	0.1808	NIST	L3475
73.00	Ta	I	2636.9	860.0	0.3308	NIST	L3475
73.00	Ta	I	2646.22	510.0	0.1962	NIST	L3475
73.00	Ta	I	2646.37	600.0	0.2308	NIST	L3475
73.00	Ta	I	2647.47	2400.0	0.9231	NIST	L3475
73.00	Ta	I	2653.27	2600.0	1.0	NIST	L3475
73.00	Ta	I	2656.61	1900.0	0.7308	NIST	L3475
73.00	Ta	I	2661.34	1500.0	0.5769	NIST	L3475
73.00	Ta	I	2668.07	220.0	0.0846	NIST	L3475
73.00	Ta	I	2668.62	600.0	0.2308	NIST	L3475
73.00	Ta	I	2684.28	600.0	0.2308	NIST	L3475
73.00	Ta	I	2691.31	340.0	0.1308	NIST	L3475
73.00	Ta	I	2692.4	260.0	0.1	NIST	L3475
73.00	Ta	I	2696.81	240.0	0.0923	NIST	L3475
73.00	Ta	I	2698.3	1000.0	0.3846	NIST	L3475
73.00	Ta	I	2706.69	470.0	0.1808	NIST	L3475
73.00	Ta	I	2710.13	1200.0	0.4615	NIST	L3475
73.00	Ta	I	2714.67	2600.0	1.0	NIST	L3475
