atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
90.00	Th	I	2345.372	69.0	0.0013	NIST	L3552
90.00	Th	I	2439.433	210.0	0.004	NIST	L3552
90.00	Th	I	2483.418	69.0	0.0013	NIST	L3552
90.00	Th	I	2493.25	140.0	0.0026	NIST	L3552
90.00	Th	I	2495.126	13.0	0.0002	NIST	L3552
90.00	Th	I	2500.1421	13.0	0.0002	NIST	L3552
90.00	Th	I	2523.7601	34.0	0.0006	NIST	L3552
90.00	Th	I	2536.54	34.0	0.0006	NIST	L3552
90.00	Th	I	2546.052	140.0	0.0026	NIST	L3552
90.00	Th	I	2563.402	2.0	0.0	NIST	L3552
90.00	Th	I	2575.5991	4.0	0.0001	NIST	L3552
90.00	Th	I	2577.288	100.0	0.0019	NIST	L3552
90.00	Th	I	2584.8511	2.0	0.0	NIST	L3552
90.00	Th	I	2585.224	4.0	0.0001	NIST	L3552
90.00	Th	I	2602.29	5.0	0.0001	NIST	L3552
90.00	Th	I	2611.626	20.0	0.0004	NIST	L3552
90.00	Th	I	2615.858	6.0	0.0001	NIST	L3552
90.00	Th	I	2623.1	140.0	0.0026	NIST	L3552
90.00	Th	I	2624.647	140.0	0.0026	NIST	L3552
90.00	Th	I	2627.128	6.0	0.0001	NIST	L3552
90.00	Th	I	2632.854	27.0	0.0005	NIST	L3552
90.00	Th	I	2633.914	2.0	0.0	NIST	L3552
90.00	Th	I	2640.865	13.0	0.0002	NIST	L3552
90.00	Th	I	2654.762	5.0	0.0001	NIST	L3552
90.00	Th	I	2657.633	4.0	0.0001	NIST	L3552
90.00	Th	I	2664.9961	11.0	0.0002	NIST	L3552
90.00	Th	I	2677.666	13.0	0.0002	NIST	L3552
90.00	Th	I	2685.426	4.0	0.0001	NIST	L3552
90.00	Th	I	2690.3191	13.0	0.0002	NIST	L3552
90.00	Th	I	2691.057	280.0	0.0053	NIST	L3552
90.00	Th	I	2693.425	69.0	0.0013	NIST	L3552
90.00	Th	I	2699.1531	2.0	0.0	NIST	L3552
90.00	Th	I	2711.288	6.0	0.0001	NIST	L3552
90.00	Th	I	2712.62	2.0	0.0	NIST	L3552
90.00	Th	I	2713.843	100.0	0.0019	NIST	L3552
90.00	Th	I	2719.333	20.0	0.0004	NIST	L3552
90.00	Th	I	2720.857	69.0	0.0013	NIST	L3552
90.00	Th	I	2724.522	34.0	0.0006	NIST	L3552
90.00	Th	I	2726.317	280.0	0.0053	NIST	L3552
90.00	Th	I	2733.9	69.0	0.0013	NIST	L3552
90.00	Th	I	2734.6611	55.0	0.001	NIST	L3552
90.00	Th	I	2739.75425	110.0	0.0021	NIST	L5951
90.00	Th	I	2743.274	4.0	0.0001	NIST	L3552
90.00	Th	I	2744.376	27.0	0.0005	NIST	L3552
90.00	Th	I	2746.48208	180.0	0.0034	NIST	L5951
90.00	Th	I	2746.7861	140.0	0.0026	NIST	L3552
90.00	Th	I	2748.40841	200.0	0.0038	NIST	L5951
