atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
22.00	Ti	I	2036.8215	4.0	0.0002	NIST	L10989
22.00	Ti	I	2043.1073	5.0	0.0002	NIST	L10989
22.00	Ti	I	2050.0592	5.0	0.0002	NIST	L10989
22.00	Ti	I	2059.3997	4.0	0.0002	NIST	L10989
22.00	Ti	I	2060.5923	5.0	0.0002	NIST	L10989
22.00	Ti	I	2061.7054	6.0	0.0003	NIST	L10989
22.00	Ti	I	2062.8734	4.0	0.0002	NIST	L10989
22.00	Ti	I	2062.9143	4.0	0.0002	NIST	L10989
22.00	Ti	I	2065.9877	7.0	0.0003	NIST	L10989
22.00	Ti	I	2066.6438	4.0	0.0002	NIST	L10989
22.00	Ti	I	2069.8398	1.0	0.0	NIST	L10989
22.00	Ti	I	2072.1857	2.0	0.0001	NIST	L10989
22.00	Ti	I	2118.5342	5.0	0.0002	NIST	L10989
22.00	Ti	I	2121.9432	6.0	0.0003	NIST	L10989
22.00	Ti	I	2123.5489	10.0	0.0005	NIST	L10989
22.00	Ti	I	2139.4896	8.0	0.0004	NIST	L10989
22.00	Ti	I	2142.1292	9.0	0.0004	NIST	L10989
22.00	Ti	I	2143.6167	10.0	0.0005	NIST	L10989
22.00	Ti	I	2218.376	5.0	0.0002	NIST	L10989
22.00	Ti	I	2219.7356	5.0	0.0002	NIST	L10989
22.00	Ti	I	2221.4474	9.0	0.0004	NIST	L10989
22.00	Ti	I	2223.1845	8.0	0.0004	NIST	L10989
22.00	Ti	I	2225.1111	10.0	0.0005	NIST	L10989
22.00	Ti	I	2226.7851	8.0	0.0004	NIST	L10989
22.00	Ti	I	2229.7246	8.0	0.0004	NIST	L10989
22.00	Ti	I	2230.2191	10.0	0.0005	NIST	L10989
22.00	Ti	I	2230.4709	10.0	0.0005	NIST	L10989
22.00	Ti	I	2233.8016	9.0	0.0004	NIST	L10989
22.00	Ti	I	2238.221	6.0	0.0003	NIST	L10989
22.00	Ti	I	2238.743	10.0	0.0005	NIST	L10989
22.00	Ti	I	2244.675	7.0	0.0003	NIST	L10989
22.00	Ti	I	2261.78	1.0	0.0	NIST	L10989
22.00	Ti	I	2264.016	12.0	0.0006	NIST	L10989
22.00	Ti	I	2267.367	6.0	0.0003	NIST	L10989
22.00	Ti	I	2267.545	13.0	0.0006	NIST	L10989
22.00	Ti	I	2267.914	10.0	0.0005	NIST	L10989
22.00	Ti	I	2268.751	9.0	0.0004	NIST	L10989
22.00	Ti	I	2272.612	13.0	0.0006	NIST	L10989
22.00	Ti	I	2272.773	5.0	0.0002	NIST	L10989
22.00	Ti	I	2272.927	1.0	0.0	NIST	L10989
22.00	Ti	I	2273.279	14.0	0.0007	NIST	L10989
22.00	Ti	I	2276.702	14.0	0.0007	NIST	L10989
22.00	Ti	I	2278.747	6.0	0.0003	NIST	L10989
22.00	Ti	I	2279.967	15.0	0.0007	NIST	L10989
22.00	Ti	I	2293.747	8.0	0.0004	NIST	L10989
22.00	Ti	I	2294.205	8.0	0.0004	NIST	L10989
22.00	Ti	I	2299.858	14.0	0.0007	NIST	L10989
22.00	Ti	I	2302.736	14.0	0.0007	NIST	L10989
22.00	Ti	I	2305.674	15.0	0.0007	NIST	L10989
22.00	Ti	I	2308.898	7.0	0.0003	NIST	L10989
22.00	Ti	I	2314.292	6.0	0.0003	NIST	L10989
22.00	Ti	I	2369.282	4.0	0.0002	NIST	L10989
22.00	Ti	I	2371.959	7.0	0.0003	NIST	L10989
22.00	Ti	I	2372.256	4.0	0.0002	NIST	L10989
22.00	Ti	I	2373.522	4.0	0.0002	NIST	L10989
22.00	Ti	I	2374.592	6.0	0.0003	NIST	L10989
22.00	Ti	I	2378.15	8.0	0.0004	NIST	L10989
22.00	Ti	I	2380.814	7.0	0.0003	NIST	L10989
22.00	Ti	I	2384.517	10.0	0.0005	NIST	L10989
22.00	Ti	I	2397.046	1.0	0.0	NIST	L10989
22.00	Ti	I	2399.554	6.0	0.0003	NIST	L12119
22.00	Ti	I	2404.3831	10.0	0.0005	NIST	L12119
22.00	Ti	I	2404.543	1.0	0.0	NIST	L10989
22.00	Ti	I	2404.8327	6.0	0.0003	NIST	L12119
22.00	Ti	I	2404.8508	6.0	0.0003	NIST	L12119
22.00	Ti	I	2405.3443	15.0	0.0007	NIST	L12119
22.00	Ti	I	2405.5396	5.0	0.0002	NIST	L12119
22.00	Ti	I	2406.5424	5.0	0.0002	NIST	L12119
22.00	Ti	I	2408.8399	6.0	0.0003	NIST	L12119
22.00	Ti	I	2409.5719	5.0	0.0002	NIST	L12119
