atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
22.03	Ti	IV	776.762	10.0	0.5	NIST	L2753
22.03	Ti	IV	779.074	18.0	0.9	NIST	L2753
22.03	Ti	IV	781.73	16.0	0.8	NIST	L2753
22.03	Ti	IV	1183.635	8.0	0.4	NIST	L2753
22.03	Ti	IV	1195.208	10.0	0.5	NIST	L2753
22.03	Ti	IV	1451.736	18.0	0.9	NIST	L2753
22.03	Ti	IV	1467.338	20.0	1.0	NIST	L2753
22.03	Ti	IV	1469.188	12.0	0.6	NIST	L2753
22.03	Ti	IV	2067.564	20.0	1.0	NIST	L2753
22.03	Ti	IV	2103.106	18.0	0.9	NIST	L2753
22.03	Ti	IV	2359.142	10.0	0.5	NIST	L2753
22.03	Ti	IV	2359.499	10.0	0.5	NIST	L2753
22.03	Ti	IV	2541.786	8.0	0.4	NIST	L2753
22.03	Ti	IV	2546.88	10.0	0.5	NIST	L2753
22.03	Ti	IV	2547.314	2.0	0.1	NIST	L2753
22.03	Ti	IV	2689.39	1.0	0.05	NIST	L2753
22.03	Ti	IV	2836.972	3.0	0.15	NIST	L2753
22.03	Ti	IV	2862.596	5.0	0.25	NIST	L2753
22.03	Ti	IV	2889.36	4.0	0.2	NIST	L2753
22.03	Ti	IV	2929.961	6.0	0.3	NIST	L2753
22.03	Ti	IV	2937.328	14.0	0.7	NIST	L2753
22.03	Ti	IV	2957.306	12.0	0.6	NIST	L2753
22.03	Ti	IV	3156.718	1.0	0.05	NIST	L2753
22.03	Ti	IV	3170.955	2.0	0.1	NIST	L2753
22.03	Ti	IV	3272.773	1.0	0.05	NIST	L2753
22.03	Ti	IV	3541.361	15.0	0.75	NIST	L2753
22.03	Ti	IV	3576.438	17.0	0.85	NIST	L2753
22.03	Ti	IV	3581.392	10.0	0.5	NIST	L2753
22.03	Ti	IV	3966.156	2.0	0.1	NIST	L2753
22.03	Ti	IV	4131.215	13.0	0.65	NIST	L2753
22.03	Ti	IV	4133.779	14.0	0.7	NIST	L2753
22.03	Ti	IV	4395.92	5.0	0.25	NIST	L2753
22.03	Ti	IV	4397.327	10.0	0.5	NIST	L2753
22.03	Ti	IV	4403.451	9.0	0.45	NIST	L2753
22.03	Ti	IV	4618.114	15.0	0.75	NIST	L2753
22.03	Ti	IV	4677.58	3.0	0.15	NIST	L2753
22.03	Ti	IV	5398.93	20.0	1.0	NIST	L2753
22.03	Ti	IV	5470.98	8.0	0.4	NIST	L2753
22.03	Ti	IV	5492.51	18.0	0.9	NIST	L2753
22.03	Ti	IV	5517.72	10.0	0.5	NIST	L2753
22.03	Ti	IV	5877.79	14.0	0.7	NIST	L2753
22.03	Ti	IV	5885.96	15.0	0.75	NIST	L2753
22.03	Ti	IV	5891.15	7.0	0.35	NIST	L2753
22.03	Ti	IV	6231.62	6.0	0.3	NIST	L2753
22.03	Ti	IV	6246.65	17.0	0.85	NIST	L2753
22.03	Ti	IV	6247.74	11.0	0.55	NIST	L2753
22.03	Ti	IV	6262.86	3.0	0.15	NIST	L2753
22.03	Ti	IV	6292.41	15.0	0.75	NIST	L2753
22.03	Ti	IV	6913.85	12.0	0.6	NIST	L2753
22.03	Ti	IV	6968.54	1.0	0.05	NIST	L2753
22.03	Ti	IV	6978.51	15.0	0.75	NIST	L2753
22.03	Ti	IV	6988.74	4.0	0.2	NIST	L2753
22.03	Ti	IV	7483.07	1.0	0.05	NIST	L2753
22.03	Ti	IV	7491.37	9.0	0.45	NIST	L2753
22.03	Ti	IV	7494.77	8.0	0.4	NIST	L2753
22.03	Ti	IV	7652.12	5.0	0.25	NIST	L2753
22.03	Ti	IV	7706.85	8.0	0.4	NIST	L2753
