atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
22.04	Ti	V	106.154	3.0	0.1765	NIST	L4197
22.04	Ti	V	108.443	6.0	0.3529	NIST	L4197
22.04	Ti	V	112.495	11.0	0.6471	NIST	L4197
22.04	Ti	V	120.824	12.0	0.7059	NIST	L4197
22.04	Ti	V	121.138	2.0	0.1176	NIST	L4197
22.04	Ti	V	144.551	12.0	0.7059	NIST	L4197
22.04	Ti	V	145.354	6.0	0.3529	NIST	L4197
22.04	Ti	V	146.897	1.0	0.0588	NIST	L3693
22.04	Ti	V	162.984	4.0	0.2353	NIST	L3693
22.04	Ti	V	164.446	5.0	0.2941	NIST	L3693
22.04	Ti	V	225.347	12.0	0.7059	NIST	L3693
22.04	Ti	V	228.909	10.0	0.5882	NIST	L3693
22.04	Ti	V	252.958	17.0	1.0	NIST	L3693
22.04	Ti	V	323.365	7.0	0.4118	NIST	L3693
22.04	Ti	V	444.643	2.0	0.1176	NIST	L3693
22.04	Ti	V	446.493	1.0	0.0588	NIST	L3693
22.04	Ti	V	448.822	3.0	0.1765	NIST	L3693
22.04	Ti	V	449.063	3.0	0.1765	NIST	L3693
22.04	Ti	V	450.397	4.0	0.2353	NIST	L3693
22.04	Ti	V	453.006	5.0	0.2941	NIST	L3693
22.04	Ti	V	455.419	1.0	0.0588	NIST	L3693
22.04	Ti	V	457.321	1.0	0.0588	NIST	L3693
22.04	Ti	V	458.861	2.0	0.1176	NIST	L3693
22.04	Ti	V	461.414	7.0	0.4118	NIST	L3693
22.04	Ti	V	462.565	3.0	0.1765	NIST	L3693
22.04	Ti	V	462.982	3.0	0.1765	NIST	L3693
22.04	Ti	V	464.562	5.0	0.2941	NIST	L3693
22.04	Ti	V	466.224	4.0	0.2353	NIST	L3693
22.04	Ti	V	466.749	1.0	0.0588	NIST	L3693
22.04	Ti	V	468.257	3.0	0.1765	NIST	L3693
22.04	Ti	V	469.808	6.0	0.3529	NIST	L3693
22.04	Ti	V	474.124	2.0	0.1176	NIST	L3693
22.04	Ti	V	474.69	8.0	0.4706	NIST	L3693
22.04	Ti	V	478.455	3.0	0.1765	NIST	L3693
22.04	Ti	V	481.818	5.0	0.2941	NIST	L3693
22.04	Ti	V	483.992	8.0	0.4706	NIST	L3693
22.04	Ti	V	485.175	3.0	0.1765	NIST	L3693
22.04	Ti	V	487.115	4.0	0.2353	NIST	L3693
22.04	Ti	V	487.845	4.0	0.2353	NIST	L3693
22.04	Ti	V	488.582	10.0	0.5882	NIST	L3693
22.04	Ti	V	491.358	1.0	0.0588	NIST	L3693
22.04	Ti	V	493.783	6.0	0.3529	NIST	L3693
22.04	Ti	V	498.26	15.0	0.8824	NIST	L3693
22.04	Ti	V	501.631	2.0	0.1176	NIST	L3693
22.04	Ti	V	502.077	14.0	0.8235	NIST	L3693
22.04	Ti	V	502.711	7.0	0.4118	NIST	L3693
22.04	Ti	V	503.031	3.0	0.1765	NIST	L3693
22.04	Ti	V	504.665	12.0	0.7059	NIST	L3693
22.04	Ti	V	506.468	7.0	0.4118	NIST	L3693
22.04	Ti	V	507.683	6.0	0.3529	NIST	L3693
22.04	Ti	V	513.374	8.0	0.4706	NIST	L3693
22.04	Ti	V	519.575	1.0	0.0588	NIST	L3693
22.04	Ti	V	523.05	7.0	0.4118	NIST	L3693
22.04	Ti	V	524.578	12.0	0.7059	NIST	L3693
22.04	Ti	V	526.076	6.0	0.3529	NIST	L3693
22.04	Ti	V	526.266	6.0	0.3529	NIST	L3693
22.04	Ti	V	526.57	13.0	0.7647	NIST	L3693
22.04	Ti	V	529.315	8.0	0.4706	NIST	L3693
22.04	Ti	V	530.167	1.0	0.0588	NIST	L3693
22.04	Ti	V	533.457	1.0	0.0588	NIST	L3693
22.04	Ti	V	535.836	10.0	0.5882	NIST	L3693
22.04	Ti	V	535.888	10.0	0.5882	NIST	L3693
