atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
69.01	Tm	II	2284.79	360.0	0.0404	NIST	L3475
69.01	Tm	II	2329.77	120.0	0.0135	NIST	L3475
69.01	Tm	II	2340.92	70.0	0.0079	NIST	L3475
69.01	Tm	II	2363.91	120.0	0.0135	NIST	L3475
69.01	Tm	II	2365.96	45.0	0.0051	NIST	L3475
69.01	Tm	II	2367.11	160.0	0.018	NIST	L3475
69.01	Tm	II	2383.68	150.0	0.0169	NIST	L3475
69.01	Tm	II	2388.95	110.0	0.0124	NIST	L3475
69.01	Tm	II	2409.02	450.0	0.0506	NIST	L3475
69.01	Tm	II	2412.44	110.0	0.0124	NIST	L3475
69.01	Tm	II	2421.65	120.0	0.0135	NIST	L3475
69.01	Tm	II	2426.17	450.0	0.0506	NIST	L3475
69.01	Tm	II	2445.47	140.0	0.0157	NIST	L3475
69.01	Tm	II	2480.13	770.0	0.0865	NIST	L3475
69.01	Tm	II	2481.15	150.0	0.0169	NIST	L3475
69.01	Tm	II	2487.52	130.0	0.0146	NIST	L3475
69.01	Tm	II	2491.6	250.0	0.0281	NIST	L3475
69.01	Tm	II	2499.54	100.0	0.0112	NIST	L3475
69.01	Tm	II	2507.15	130.0	0.0146	NIST	L3475
69.01	Tm	II	2509.08	1300.0	0.1461	NIST	L3475
69.01	Tm	II	2520.87	200.0	0.0225	NIST	L3475
69.01	Tm	II	2522.17	250.0	0.0281	NIST	L3475
69.01	Tm	II	2524.11	180.0	0.0202	NIST	L3475
69.01	Tm	II	2527.42	110.0	0.0124	NIST	L3475
69.01	Tm	II	2542.66	120.0	0.0135	NIST	L3475
69.01	Tm	II	2561.65	540.0	0.0607	NIST	L3475
69.01	Tm	II	2563.86	150.0	0.0169	NIST	L3475
69.01	Tm	II	2588.27	430.0	0.0483	NIST	L3475
69.01	Tm	II	2606.02	220.0	0.0247	NIST	L3475
69.01	Tm	II	2607.06	810.0	0.091	NIST	L3475
69.01	Tm	II	2624.33	730.0	0.082	NIST	L3475
69.01	Tm	II	2640.76	210.0	0.0236	NIST	L3475
69.01	Tm	II	2646.45	130.0	0.0146	NIST	L3475
69.01	Tm	II	2650.27	160.0	0.018	NIST	L3475
69.01	Tm	II	2658.48	190.0	0.0213	NIST	L3475
69.01	Tm	II	2660.09	250.0	0.0281	NIST	L3475
69.01	Tm	II	2668.2	140.0	0.0157	NIST	L3475
