atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
92.01	U	II	2565.41	440.0	0.0898	NIST	L3475
92.01	U	II	2569.71	340.0	0.0694	NIST	L3475
92.01	U	II	2591.25	340.0	0.0694	NIST	L3475
92.01	U	II	2635.53	610.0	0.1245	NIST	L3475
92.01	U	II	2645.47	470.0	0.0959	NIST	L3475
92.01	U	II	2669.17	340.0	0.0694	NIST	L3475
92.01	U	II	2683.28	470.0	0.0959	NIST	L3475
92.01	U	II	2691.04	320.0	0.0653	NIST	L3475
92.01	U	II	2706.95	370.0	0.0755	NIST	L3475
92.01	U	II	2733.97	370.0	0.0755	NIST	L3475
92.01	U	II	2754.16	470.0	0.0959	NIST	L3475
92.01	U	II	2762.85	340.0	0.0694	NIST	L3475
92.01	U	II	2770.04	390.0	0.0796	NIST	L3475
92.01	U	II	2784.45	410.0	0.0837	NIST	L3475
92.01	U	II	2793.94	830.0	0.1694	NIST	L3475
92.01	U	II	2802.56	870.0	0.1776	NIST	L3475
92.01	U	II	2807.05	630.0	0.1286	NIST	L3475
92.01	U	II	2808.98	440.0	0.0898	NIST	L3475
92.01	U	II	2817.96	630.0	0.1286	NIST	L3475
92.01	U	II	2821.12	870.0	0.1776	NIST	L3475
92.01	U	II	2824.37	390.0	0.0796	NIST	L3475
92.01	U	II	2828.9	680.0	0.1388	NIST	L3475
92.01	U	II	2832.06	920.0	0.1878	NIST	L3475
92.01	U	II	2837.19	360.0	0.0735	NIST	L3475
92.01	U	II	2839.89	460.0	0.0939	NIST	L3475
92.01	U	II	2842.09	360.0	0.0735	NIST	L3475
92.01	U	II	2849.48	360.0	0.0735	NIST	L3475
92.01	U	II	2860.47	390.0	0.0796	NIST	L3475
92.01	U	II	2865.68	970.0	0.198	NIST	L3475
92.01	U	II	2870.97	340.0	0.0694	NIST	L3475
92.01	U	II	2882.74	490.0	0.1	NIST	L3475
92.01	U	II	2887.25	460.0	0.0939	NIST	L3475
92.01	U	II	2888.26	410.0	0.0837	NIST	L3475
92.01	U	II	2889.62	1200.0	0.2449	NIST	L3475
92.01	U	II	2894.14	320.0	0.0653	NIST	L3475
92.01	U	II	2894.51	410.0	0.0837	NIST	L3475
92.01	U	II	2906.8	780.0	0.1592	NIST	L3475
92.01	U	II	2908.28	780.0	0.1592	NIST	L3475
92.01	U	II	2914.25	320.0	0.0653	NIST	L3475
92.01	U	II	2914.63	360.0	0.0735	NIST	L3475
92.01	U	II	2921.68	440.0	0.0898	NIST	L3475
92.01	U	II	2927.38	320.0	0.0653	NIST	L3475
92.01	U	II	2928.6	490.0	0.1	NIST	L3475
92.01	U	II	2931.41	580.0	0.1184	NIST	L3475
92.01	U	II	2932.61	440.0	0.0898	NIST	L3475
92.01	U	II	2933.86	340.0	0.0694	NIST	L3475
92.01	U	II	2940.37	530.0	0.1082	NIST	L3475
92.01	U	II	2941.92	1300.0	0.2653	NIST	L3475
92.01	U	II	2943.9	830.0	0.1694	NIST	L3475
92.01	U	II	2948.09	340.0	0.0694	NIST	L3475
92.01	U	II	2954.77	390.0	0.0796	NIST	L3475
92.01	U	II	2956.06	580.0	0.1184	NIST	L3475
92.01	U	II	2965.03	460.0	0.0939	NIST	L3475
92.01	U	II	2967.94	580.0	0.1184	NIST	L3475
92.01	U	II	2971.06	580.0	0.1184	NIST	L3475
92.01	U	II	2976.35	410.0	0.0837	NIST	L3475
92.01	U	II	2982.74	320.0	0.0653	NIST	L3475
92.01	U	II	2984.61	530.0	0.1082	NIST	L3475
92.01	U	II	2992.72	410.0	0.0837	NIST	L3475
92.01	U	II	3007.91	360.0	0.0735	NIST	L3475
92.01	U	II	3021.22	320.0	0.0653	NIST	L3475
92.01	U	II	3022.21	630.0	0.1286	NIST	L3475
92.01	U	II	3024.51	320.0	0.0653	NIST	L3475
92.01	U	II	3028.19	320.0	0.0653	NIST	L3475
92.01	U	II	3031.99	630.0	0.1286	NIST	L3475
92.01	U	II	3033.18	490.0	0.1	NIST	L3475
92.01	U	II	3044.16	490.0	0.1	NIST	L3475
92.01	U	II	3050.2	580.0	0.1184	NIST	L3475
92.01	U	II	3057.91	630.0	0.1286	NIST	L3475
92.01	U	II	3061.62	460.0	0.0939	NIST	L3475
92.01	U	II	3062.54	630.0	0.1286	NIST	L3475
92.01	U	II	3072.78	580.0	0.1184	NIST	L3475
92.01	U	II	3093.01	580.0	0.1184	NIST	L3475
92.01	U	II	3095.75	320.0	0.0653	NIST	L3475
92.01	U	II	3098.01	320.0	0.0653	NIST	L3475
92.01	U	II	3102.39	580.0	0.1184	NIST	L3475
92.01	U	II	3104.15	460.0	0.0939	NIST	L3475
92.01	U	II	3111.62	970.0	0.198	NIST	L3475
92.01	U	II	3119.35	530.0	0.1082	NIST	L3475
92.01	U	II	3124.95	680.0	0.1388	NIST	L3475
92.01	U	II	3139.61	530.0	0.1082	NIST	L3475
92.01	U	II	3144.97	410.0	0.0837	NIST	L3475
92.01	U	II	3145.56	490.0	0.1	NIST	L3475
92.01	U	II	3149.24	680.0	0.1388	NIST	L3475
92.01	U	II	3153.11	530.0	0.1082	NIST	L3475
92.01	U	II	3176.21	340.0	0.0694	NIST	L3475
92.01	U	II	3177.33	340.0	0.0694	NIST	L3475
92.01	U	II	3206.05	340.0	0.0694	NIST	L3475
92.01	U	II	3229.5	730.0	0.149	NIST	L3475
92.01	U	II	3232.16	680.0	0.1388	NIST	L3475
92.01	U	II	3244.22	440.0	0.0898	NIST	L3475
92.01	U	II	3265.79	340.0	0.0694	NIST	L3475
92.01	U	II	3270.12	440.0	0.0898	NIST	L3475
92.01	U	II	3288.21	440.0	0.0898	NIST	L3475
92.01	U	II	3291.33	730.0	0.149	NIST	L3475
92.01	U	II	3305.89	1100.0	0.2245	NIST	L3475
92.01	U	II	3337.79	390.0	0.0796	NIST	L3475
92.01	U	II	3341.66	440.0	0.0898	NIST	L3475
92.01	U	II	3394.77	340.0	0.0694	NIST	L3475
92.01	U	II	3424.56	580.0	0.1184	NIST	L3475
92.01	U	II	3453.55	360.0	0.0735	NIST	L3475
92.01	U	II	3454.23	320.0	0.0653	NIST	L3475
92.01	U	II	3457.05	320.0	0.0653	NIST	L3475
92.01	U	II	3457.71	320.0	0.0653	NIST	L3475
92.01	U	II	3472.52	390.0	0.0796	NIST	L3475
92.01	U	II	3482.49	680.0	0.1388	NIST	L3475
92.01	U	II	3493.33	390.0	0.0796	NIST	L3475
92.01	U	II	3494.84	320.0	0.0653	NIST	L3475
92.01	U	II	3496.41	530.0	0.1082	NIST	L3475
92.01	U	II	3505.07	320.0	0.0653	NIST	L3475
92.01	U	II	3508.84	320.0	0.0653	NIST	L3475
92.01	U	II	3509.66	390.0	0.0796	NIST	L3475
92.01	U	II	3519.96	390.0	0.0796	NIST	L3475
92.01	U	II	3531.11	390.0	0.0796	NIST	L3475
92.01	U	II	3533.57	630.0	0.1286	NIST	L3475
92.01	U	II	3540.47	530.0	0.1082	NIST	L3475
92.01	U	II	3547.19	390.0	0.0796	NIST	L3475
92.01	U	II	3550.82	1200.0	0.2449	NIST	L3475
92.01	U	II	3552.17	320.0	0.0653	NIST	L3475
92.01	U	II	3578.72	630.0	0.1286	NIST	L3475
92.01	U	II	3581.84	360.0	0.0735	NIST	L3475
92.01	U	II	3590.5	320.0	0.0653	NIST	L3475
92.01	U	II	3593.52	460.0	0.0939	NIST	L3475
92.01	U	II	3606.32	360.0	0.0735	NIST	L3475
92.01	U	II	3616.76	320.0	0.0653	NIST	L3475
92.01	U	II	3623.06	390.0	0.0796	NIST	L3475
92.01	U	II	3630.73	460.0	0.0939	NIST	L3475
92.01	U	II	3640.76	310.0	0.0633	NIST	L3475
92.01	U	II	3645.03	310.0	0.0633	NIST	L3475
92.01	U	II	3670.07	2800.0	0.5714	NIST	L3475
92.01	U	II	3678.75	380.0	0.0776	NIST	L3475
92.01	U	II	3691.92	540.0	0.1102	NIST	L3475
92.01	U	II	3693.7	330.0	0.0673	NIST	L3475
92.01	U	II	3700.57	540.0	0.1102	NIST	L3475
92.01	U	II	3701.52	1100.0	0.2245	NIST	L3475
92.01	U	II	3717.42	300.0	0.0612	NIST	L3475
92.01	U	II	3718.11	350.0	0.0714	NIST	L3475
92.01	U	II	3729.82	350.0	0.0714	NIST	L3475
92.01	U	II	3732.62	350.0	0.0714	NIST	L3475
92.01	U	II	3733.07	350.0	0.0714	NIST	L3475
92.01	U	II	3738.04	600.0	0.1224	NIST	L3475
92.01	U	II	3744.25	300.0	0.0612	NIST	L3475
92.01	U	II	3746.42	680.0	0.1388	NIST	L3475
92.01	U	II	3747.14	350.0	0.0714	NIST	L3475
92.01	U	II	3748.68	950.0	0.1939	NIST	L3475
92.01	U	II	3752.66	350.0	0.0714	NIST	L3475
92.01	U	II	3755.48	350.0	0.0714	NIST	L3475
92.01	U	II	3759.24	350.0	0.0714	NIST	L3475
92.01	U	II	3764.57	490.0	0.1	NIST	L3475
92.01	U	II	3769.53	330.0	0.0673	NIST	L3475
92.01	U	II	3780.71	380.0	0.0776	NIST	L3475
92.01	U	II	3782.84	1900.0	0.3878	NIST	L3475
92.01	U	II	3783.84	430.0	0.0878	NIST	L3475
92.01	U	II	3793.1	570.0	0.1163	NIST	L3475
92.01	U	II	3793.57	380.0	0.0776	NIST	L3475
92.01	U	II	3809.22	380.0	0.0776	NIST	L3475
92.01	U	II	3813.79	380.0	0.0776	NIST	L3475
92.01	U	II	3814.06	380.0	0.0776	NIST	L3475
92.01	U	II	3826.51	750.0	0.1531	NIST	L3475
92.01	U	II	3831.46	2000.0	0.4082	NIST	L3475
92.01	U	II	3848.6	490.0	0.1	NIST	L3475
92.01	U	II	3854.64	2400.0	0.4898	NIST	L3475
92.01	U	II	3859.57	4900.0	1.0	NIST	L3475
92.01	U	II	3861.17	490.0	0.1	NIST	L3475
92.01	U	II	3865.92	1900.0	0.3878	NIST	L3475
92.01	U	II	3866.8	380.0	0.0776	NIST	L3475
92.01	U	II	3874.04	620.0	0.1265	NIST	L3475
92.01	U	II	3878.08	620.0	0.1265	NIST	L3475
92.01	U	II	3881.45	1000.0	0.2041	NIST	L3475
92.01	U	II	3882.36	490.0	0.1	NIST	L3475
92.01	U	II	3883.28	380.0	0.0776	NIST	L3475
92.01	U	II	3890.36	2200.0	0.449	NIST	L3475
92.01	U	II	3892.68	620.0	0.1265	NIST	L3475
92.01	U	II	3896.77	490.0	0.1	NIST	L3475
92.01	U	II	3899.78	620.0	0.1265	NIST	L3475
92.01	U	II	3902.55	410.0	0.0837	NIST	L3475
92.01	U	II	3904.3	460.0	0.0939	NIST	L3475
92.01	U	II	3911.67	330.0	0.0673	NIST	L3475
92.01	U	II	3915.88	380.0	0.0776	NIST	L3475
92.01	U	II	3930.98	430.0	0.0878	NIST	L3475
92.01	U	II	3932.02	2000.0	0.4082	NIST	L3475
92.01	U	II	3935.38	490.0	0.1	NIST	L3475
92.01	U	II	3940.48	330.0	0.0673	NIST	L3475
92.01	U	II	3953.58	300.0	0.0612	NIST	L3475
92.01	U	II	3954.67	360.0	0.0735	NIST	L3475
92.01	U	II	3966.52	600.0	0.1224	NIST	L3475
92.01	U	II	3985.79	1200.0	0.2449	NIST	L3475
92.01	U	II	3990.42	460.0	0.0939	NIST	L3475
92.01	U	II	3992.53	380.0	0.0776	NIST	L3475
92.01	U	II	3998.24	350.0	0.0714	NIST	L3475
92.01	U	II	4004.06	350.0	0.0714	NIST	L3475
92.01	U	II	4017.72	570.0	0.1163	NIST	L3475
92.01	U	II	4018.99	300.0	0.0612	NIST	L3475
92.01	U	II	4044.41	520.0	0.1061	NIST	L3475
92.01	U	II	4050.04	1600.0	0.3265	NIST	L3475
92.01	U	II	4051.91	540.0	0.1102	NIST	L3475
92.01	U	II	4054.3	300.0	0.0612	NIST	L3475
92.01	U	II	4058.19	430.0	0.0878	NIST	L3475
92.01	U	II	4062.54	880.0	0.1796	NIST	L3475
92.01	U	II	4067.75	520.0	0.1061	NIST	L3475
92.01	U	II	4071.12	410.0	0.0837	NIST	L3475
92.01	U	II	4074.48	300.0	0.0612	NIST	L3475
92.01	U	II	4076.69	330.0	0.0673	NIST	L3475
92.01	U	II	4080.6	330.0	0.0673	NIST	L3475
92.01	U	II	4090.13	2200.0	0.449	NIST	L3475
92.01	U	II	4093.03	460.0	0.0939	NIST	L3475
92.01	U	II	4106.38	380.0	0.0776	NIST	L3475
92.01	U	II	4116.1	810.0	0.1653	NIST	L3475
92.01	U	II	4124.73	410.0	0.0837	NIST	L3475
92.01	U	II	4128.34	410.0	0.0837	NIST	L3475
92.01	U	II	4141.22	460.0	0.0939	NIST	L3475
92.01	U	II	4163.68	350.0	0.0714	NIST	L3475
92.01	U	II	4171.59	1400.0	0.2857	NIST	L3475
92.01	U	II	4189.27	300.0	0.0612	NIST	L3475
92.01	U	II	4241.67	1000.0	0.2041	NIST	L3475
92.01	U	II	4244.37	520.0	0.1061	NIST	L3475
92.01	U	II	4341.69	680.0	0.1388	NIST	L3475
92.01	U	II	4472.33	600.0	0.1224	NIST	L3475
92.01	U	II	4515.28	240.0	0.049	NIST	L3475
92.01	U	II	4543.63	620.0	0.1265	NIST	L3475
92.01	U	II	4627.07	240.0	0.049	NIST	L3475
92.01	U	II	4646.6	220.0	0.0449	NIST	L3475
92.01	U	II	4666.85	140.0	0.0286	NIST	L3475
92.01	U	II	4671.4	100.0	0.0204	NIST	L3475
92.01	U	II	4689.07	170.0	0.0347	NIST	L3475
92.01	U	II	4702.51	100.0	0.0204	NIST	L3475
92.01	U	II	4722.72	160.0	0.0327	NIST	L3475
92.01	U	II	4731.59	120.0	0.0245	NIST	L3475
92.01	U	II	4755.74	100.0	0.0204	NIST	L3475
92.01	U	II	4772.7	100.0	0.0204	NIST	L3475
92.01	U	II	4860.99	100.0	0.0204	NIST	L3475
92.01	U	II	5008.21	110.0	0.0224	NIST	L3475
92.01	U	II	5117.24	70.0	0.0143	NIST	L3475
92.01	U	II	5160.32	80.0	0.0163	NIST	L3475
92.01	U	II	5184.57	55.0	0.0112	NIST	L3475
92.01	U	II	5204.31	45.0	0.0092	NIST	L3475
92.01	U	II	5247.75	45.0	0.0092	NIST	L3475
92.01	U	II	5257.04	45.0	0.0092	NIST	L3475
92.01	U	II	5386.19	55.0	0.0112	NIST	L3475
92.01	U	II	5475.7	80.0	0.0163	NIST	L3475
92.01	U	II	5480.26	70.0	0.0143	NIST	L3475
92.01	U	II	5481.2	70.0	0.0143	NIST	L3475
92.01	U	II	5482.53	45.0	0.0092	NIST	L3475
92.01	U	II	5492.95	160.0	0.0327	NIST	L3475
92.01	U	II	5527.82	70.0	0.0143	NIST	L3475
92.01	U	II	5581.59	45.0	0.0092	NIST	L3475
92.01	U	II	5798.53	70.0	0.0143	NIST	L3475
92.01	U	II	5837.68	55.0	0.0112	NIST	L3475
92.01	U	II	6017.38	28.0	0.0057	NIST	L3475
92.01	U	II	6051.74	55.0	0.0112	NIST	L3475
92.01	U	II	6067.22	45.0	0.0092	NIST	L3475
92.01	U	II	6087.34	28.0	0.0057	NIST	L3475
92.01	U	II	6280.18	28.0	0.0057	NIST	L3475
92.01	U	II	6378.52	28.0	0.0057	NIST	L3475
92.01	U	II	6876.74	35.0	0.0071	NIST	L3475
92.01	U	II	8337.5	16.0	0.0033	NIST	L3475
92.01	U	II	11784.72	20.0	0.0041	NIST	u10
92.01	U	II	21150.67	20.0	0.0041	NIST	u10
